date,year,tier,P_12,G_UP,G_DOWN,ATR20,mr_atr,mr_atr_bucket,E_UP_E0,E_DN_E0,E_UP_E1,E_DN_E1,E_UP_E2,E_DN_E2,E_UP_E3,E_DN_E3,RL_UP_E0,RL_DN_E0,RL_UP_E1,RL_DN_E1,RL_UP_E2,RL_DN_E2,RL_UP_E3,RL_DN_E3,G_UP_ATR,G_DN_ATR,VU_touch_H17,VD_touch_H17,VU_touch_H19,VD_touch_H19,VU_touch_H03,VD_touch_H03
2023-01-04,2023,T3,1.06243,11.300000000000754,83.5000000000008,,,,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,1.4303797468354145,2.250673854447399,1.4303797468354145,2.250673854447399,1.4303797468354145,2.250673854447399,1.4303797468354145,2.250673854447399,,,False,False,False,False,False,False
2023-01-05,2023,T3,1.05393,92.0999999999994,3.60000000000138,,,,4.350000000000742,40.10000000000069,4.350000000000742,40.10000000000069,4.350000000000742,40.10000000000069,4.350000000000742,40.10000000000069,21.172413793099697,0.08977556109728972,21.172413793099697,0.08977556109728972,21.172413793099697,0.08977556109728972,21.172413793099697,0.08977556109728972,,,False,True,False,True,False,True
2023-01-06,2023,T2,1.05087,36.30000000000022,27.29999999999899,,,,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,4.594936708860389,0.7358490566037262,4.594936708860389,0.7358490566037262,4.594936708860389,0.7358490566037262,4.594936708860389,0.7358490566037262,,,True,False,True,False,True,False
2023-01-09,2023,,1.07281,10.499999999999954,92.20000000000006,,,,17.900000000000695,30.70000000000017,17.900000000000695,30.70000000000017,17.900000000000695,30.70000000000017,17.900000000000695,30.70000000000017,0.5865921787709244,3.0032573289902134,0.5865921787709244,3.0032573289902134,0.5865921787709244,3.0032573289902134,0.5865921787709244,3.0032573289902134,,,True,False,True,False,True,False
2023-01-10,2023,T2,1.07407,18.599999999999728,28.500000000000192,,,,27.900000000000702,24.299999999999322,27.900000000000702,24.299999999999322,27.900000000000702,24.299999999999322,27.900000000000702,24.299999999999322,0.6666666666666401,1.17283950617288,0.6666666666666401,1.17283950617288,0.6666666666666401,1.17283950617288,0.6666666666666401,1.17283950617288,,,False,False,False,False,False,False
2023-01-11,2023,T3,1.07697,6.699999999999484,44.10000000000025,,,,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,0.33250620347392157,2.0369515011547716,0.33250620347392157,2.0369515011547716,0.33250620347392157,2.0369515011547716,0.33250620347392157,2.0369515011547716,,,False,False,False,False,False,False
2023-01-12,2023,T2,1.07675,71.0999999999995,46.200000000000685,,,,12.399999999999078,24.299999999999322,12.399999999999078,24.299999999999322,12.399999999999078,24.299999999999322,12.399999999999078,24.299999999999322,5.733870967742321,1.9012345679013158,5.733870967742321,1.9012345679013158,5.733870967742321,1.9012345679013158,5.733870967742321,1.9012345679013158,,,True,False,True,False,True,False
2023-01-13,2023,T3,1.08189,48.99999999999904,38.40000000000065,,,,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,20.149999999999892,21.649999999999725,2.4317617866004615,1.7736720554273044,2.4317617866004615,1.7736720554273044,2.4317617866004615,1.7736720554273044,2.4317617866004615,1.7736720554273044,,,False,False,False,False,False,False
2023-01-16,2023,,1.08219,52.200000000000024,20.499999999998852,,,,19.899999999999363,19.000000000000128,19.899999999999363,19.000000000000128,19.899999999999363,19.000000000000128,19.899999999999363,19.000000000000128,2.6231155778895325,1.078947368420985,2.6231155778895325,1.078947368420985,2.6231155778895325,1.078947368420985,2.6231155778895325,1.078947368420985,,,False,False,False,False,False,False
2023-01-17,2023,T2,1.08629,6.500000000000394,56.700000000000635,,,,16.14999999999922,18.35000000000031,16.14999999999922,18.35000000000031,16.14999999999922,18.35000000000031,16.14999999999922,18.35000000000031,0.40247678018580235,3.0899182561307725,0.40247678018580235,3.0899182561307725,0.40247678018580235,3.0899182561307725,0.40247678018580235,3.0899182561307725,,,False,True,False,True,False,True
2023-01-18,2023,T3,1.0864,23.500000000000743,97.89999999999965,,,,12.399999999999078,19.000000000000128,7.900000000000684,34.79999999999927,12.399999999999078,19.000000000000128,12.399999999999078,19.000000000000128,1.8951612903227815,5.152631578947315,2.974683544303634,2.8132183908046464,1.8951612903227815,5.152631578947315,1.8951612903227815,5.152631578947315,,,False,False,False,False,False,False
