tier,n,p_viol,median_rlock,spearman_up
T1,232,0.40948275862068967,1.235439817914025,-0.6283715314667107
T2,139,0.35251798561151076,1.4259259259257915,-0.4739921157523733
T3,60,0.3333333333333333,1.9424160069322367,-0.6063329300947251
ALL,441,0.3786848072562358,1.3333333333332356,-0.5916374262768305
