group,n,spearman,reversal_rate,buckets
OVERALL,398,-0.29532860550001877,0.507537688442211,"[{'bucket_median': 0.4787265842965239, 'p': 0.6875, 'n': 80}, {'bucket_median': 0.636054421768733, 'p': 0.6455696202531646, 'n': 79}, {'bucket_median': 0.8072112707428465, 'p': 0.4875, 'n': 80}, {'bucket_median': 0.9827915869980604, 'p': 0.4177215189873418, 'n': 79}, {'bucket_median': 1.393487292277634, 'p': 0.3, 'n': 80}]"
T1,217,-0.194915513852007,0.5990783410138248,"[{'bucket_median': 0.4082762557078111, 'p': 0.7045454545454546, 'n': 44}, {'bucket_median': 0.5390835579514681, 'p': 0.6744186046511628, 'n': 43}, {'bucket_median': 0.6220362622036223, 'p': 0.5813953488372093, 'n': 43}, {'bucket_median': 0.7082630691399643, 'p': 0.6046511627906976, 'n': 43}, {'bucket_median': 0.8846813725490479, 'p': 0.4318181818181818, 'n': 44}]"
T2,124,-0.19691764111491436,0.47580645161290325,"[{'bucket_median': 0.7407407407407196, 'p': 0.56, 'n': 25}, {'bucket_median': 0.8911917098445747, 'p': 0.64, 'n': 25}, {'bucket_median': 0.9583754449727283, 'p': 0.5416666666666666, 'n': 24}, {'bucket_median': 1.0937499999999976, 'p': 0.24, 'n': 25}, {'bucket_median': 1.2846153846154629, 'p': 0.4, 'n': 25}]"
T3,49,0.19463525601206705,0.24489795918367346,"[{'bucket_median': 1.1099654888067594, 'p': 0.0, 'n': 10}, {'bucket_median': 1.235169020005423, 'p': 0.3, 'n': 10}, {'bucket_median': 1.372413793103527, 'p': 0.3333333333333333, 'n': 9}, {'bucket_median': 1.5418648452121662, 'p': 0.3, 'n': 10}, {'bucket_median': 1.919608359676849, 'p': 0.3, 'n': 10}]"
