side,year,n,spearman,top_bottom_delta,buckets
UP,2023,216,-0.5200359475711407,-0.6797040169133193,"[{'bucket_median': 0.30392156862740405, 'p': 0.7727272727272727, 'n': 44}, {'bucket_median': 0.7843137254900936, 'p': 0.5813953488372093, 'n': 43}, {'bucket_median': 1.5061728395062135, 'p': 0.2558139534883721, 'n': 43}, {'bucket_median': 2.5882352941178772, 'p': 0.18604651162790697, 'n': 43}, {'bucket_median': 4.1828254847646384, 'p': 0.09302325581395349, 'n': 43}]"
UP,2024,225,-0.6642584549531413,-0.8666666666666666,"[{'bucket_median': 0.23452768729635237, 'p': 0.8888888888888888, 'n': 45}, {'bucket_median': 0.6560509554138966, 'p': 0.6, 'n': 45}, {'bucket_median': 1.2893081761003926, 'p': 0.26666666666666666, 'n': 45}, {'bucket_median': 2.012658227848185, 'p': 0.1111111111111111, 'n': 45}, {'bucket_median': 3.612244897959355, 'p': 0.022222222222222223, 'n': 45}]"
DN,2023,216,-0.5434528088817856,-0.772198731501057,"[{'bucket_median': 0.20859456635318574, 'p': 0.7954545454545454, 'n': 44}, {'bucket_median': 0.7041564792176693, 'p': 0.5813953488372093, 'n': 43}, {'bucket_median': 1.2598039215685826, 'p': 0.4186046511627907, 'n': 43}, {'bucket_median': 2.188679245282933, 'p': 0.2558139534883721, 'n': 43}, {'bucket_median': 3.287356321838909, 'p': 0.023255813953488372, 'n': 43}]"
DN,2024,225,-0.5435808897728734,-0.7333333333333334,"[{'bucket_median': 0.2582056892778438, 'p': 0.8444444444444444, 'n': 45}, {'bucket_median': 0.6829268292683092, 'p': 0.6, 'n': 45}, {'bucket_median': 1.2500000000001021, 'p': 0.3333333333333333, 'n': 45}, {'bucket_median': 1.9790575916231303, 'p': 0.24444444444444444, 'n': 45}, {'bucket_median': 3.364640883977695, 'p': 0.1111111111111111, 'n': 45}]"
