variable,n,log_loss,brier
BASELINE,422,0.6931471805599453,0.25
tier,422,0.6716396411924292,0.23927447250317238
3am_state,422,0.6720451142568624,0.23942842780540555
loop_bucket,422,0.6999765074439089,0.24044059524867403
balance,422,0.6124658070644108,0.2079480389888914
mr_atr,422,0.6659045675928885,0.2366167184571361
G,422,0.4879602700113178,0.15679669807855534
E1,422,0.6704564765115689,0.23870280771425256
RLOCK,422,0.4876542875282082,0.1568792981400709
