side,outcome,bins
UP,touch_H17,"[{'bucket_median': 0.24719101123589526, 'p': 0.8651685393258427, 'n': 89}, {'bucket_median': 0.712082752829384, 'p': 0.5454545454545454, 'n': 88}, {'bucket_median': 1.341825902335345, 'p': 0.29545454545454547, 'n': 88}, {'bucket_median': 2.293491719547995, 'p': 0.125, 'n': 88}, {'bucket_median': 3.928544311806818, 'p': 0.056818181818181816, 'n': 88}]"
DN,touch_H17,"[{'bucket_median': 0.22631578947364608, 'p': 0.797752808988764, 'n': 89}, {'bucket_median': 0.6890733367583233, 'p': 0.6136363636363636, 'n': 88}, {'bucket_median': 1.253432588916496, 'p': 0.3522727272727273, 'n': 88}, {'bucket_median': 2.033268649985568, 'p': 0.2727272727272727, 'n': 88}, {'bucket_median': 3.3042920784663985, 'p': 0.06818181818181818, 'n': 88}]"
