side,horizon,n,touch_rate,close_rate
UP,17,519,0.37957610789980734,0.3371868978805395
UP,03,519,0.4393063583815029,0.4046242774566474
DN,17,519,0.41040462427745666,0.3815028901734104
DN,03,519,0.45857418111753373,0.4277456647398844
