side,spearman,n,bootstrap_p05,bootstrap_p95
UP,-0.5916374262768305,441.0,,
DN,-0.5427750124283988,441.0,,
UP-DN_diff,-0.04886241384843171,,-0.11880697634816399,0.016659296019573912
