estimator,side,n,spearman,top_bottom_delta
E0,UP,441,-0.5878735201486696,-0.8083503575076609
E0,DN,441,-0.5609534954359899,-0.7972420837589377
E1,UP,441,-0.5916374262768305,-0.8083503575076609
E1,DN,441,-0.5427750124283988,-0.7295709908069459
E2,UP,441,-0.5874695843174724,-0.7971144024514811
E2,DN,441,-0.5563367037482952,-0.7972420837589377
E3,UP,441,-0.5888466176901758,-0.7857507660878447
E3,DN,441,-0.5419815080742488,-0.7294433094994892
