target,point_estimate,p05,p95,seed,replicates,verdict
RLOCK_spearman_up,-0.5916,-0.5501,-0.6342,20260821,2000,NEGATIVE_EFFECT_EXISTS
RLOCK_spearman_dn,-0.5428,-0.4945,-0.5924,20260821,2000,NEGATIVE_EFFECT_EXISTS
RLOCK_minus_gap_brier_up,0.0001,-0.0038,0.0041,20260821,2000,NO_INCREMENTAL_INFO
RLOCK_minus_gap_logloss_up,0.0003,-0.0087,0.0092,20260821,2000,NO_INCREMENTAL_INFO
RLOCK_minus_gap_brier_dn,0.0005,-0.0051,0.0057,20260821,2000,NO_INCREMENTAL_INFO
RLOCK_minus_gap_logloss_dn,0.0013,-0.0078,0.0108,20260821,2000,NO_INCREMENTAL_INFO
RLOCK_conditional_G_spearman_up,-0.1188,-0.2012,-0.0312,20260821,2000,WEAK_INCREMENTAL
RLOCK_conditional_G_spearman_dn,-0.1526,-0.2381,-0.0641,20260821,2000,WEAK_INCREMENTAL
balance_brier_vs_null,-0.0421,-0.0551,-0.0291,20260821,2000,STRONG_PREDICTOR
balance_logloss_vs_null,-0.0807,-0.1012,-0.0601,20260821,2000,STRONG_PREDICTOR
