checkpoint,side,n,spearman,p_viol,buckets
6,UP,518,-0.3802192220652457,0.6814671814671814,"[{'bucket_median': 0.10073260073262069, 'p': 0.9423076923076923, 'n': 104}, {'bucket_median': 0.28508771929815807, 'p': 0.7281553398058253, 'n': 103}, {'bucket_median': 0.4509979605594686, 'p': 0.7115384615384616, 'n': 104}, {'bucket_median': 0.6595744680851224, 'p': 0.5922330097087378, 'n': 103}, {'bucket_median': 1.1497299367936984, 'p': 0.4326923076923077, 'n': 104}]"
6,DN,518,-0.3998250824279918,0.696911196911197,"[{'bucket_median': 0.08148559889035205, 'p': 0.9326923076923077, 'n': 104}, {'bucket_median': 0.26229508196721096, 'p': 0.7961165048543689, 'n': 103}, {'bucket_median': 0.44020508111410966, 'p': 0.6730769230769231, 'n': 104}, {'bucket_median': 0.64897959183671, 'p': 0.7378640776699029, 'n': 103}, {'bucket_median': 1.018726884409007, 'p': 0.34615384615384615, 'n': 104}]"
9,UP,518,-0.5572355313578462,0.5656370656370656,"[{'bucket_median': 0.15909431086799544, 'p': 0.9134615384615384, 'n': 104}, {'bucket_median': 0.3924349881797244, 'p': 0.7766990291262136, 'n': 103}, {'bucket_median': 0.6542836214879013, 'p': 0.6153846153846154, 'n': 104}, {'bucket_median': 1.0591397849461404, 'p': 0.3786407766990291, 'n': 103}, {'bucket_median': 1.8701247771835443, 'p': 0.14423076923076922, 'n': 104}]"
9,DN,518,-0.5324451992338101,0.5675675675675675,"[{'bucket_median': 0.16504303414359278, 'p': 0.8942307692307693, 'n': 104}, {'bucket_median': 0.43032786885245755, 'p': 0.7766990291262136, 'n': 103}, {'bucket_median': 0.7101665110095772, 'p': 0.5865384615384616, 'n': 104}, {'bucket_median': 1.081967213114771, 'p': 0.39805825242718446, 'n': 103}, {'bucket_median': 1.7795993115926845, 'p': 0.18269230769230768, 'n': 104}]"
12,UP,518,-0.5925837542055818,0.3803088803088803,"[{'bucket_median': 0.2545516141017916, 'p': 0.875, 'n': 104}, {'bucket_median': 0.7453416149068015, 'p': 0.5339805825242718, 'n': 103}, {'bucket_median': 1.2710199480664843, 'p': 0.28846153846153844, 'n': 104}, {'bucket_median': 2.2040816326528763, 'p': 0.14563106796116504, 'n': 103}, {'bucket_median': 3.823452706570981, 'p': 0.057692307692307696, 'n': 104}]"
12,DN,518,-0.5501866816547399,0.4111969111969112,"[{'bucket_median': 0.20634507688307135, 'p': 0.8557692307692307, 'n': 104}, {'bucket_median': 0.6760563380282307, 'p': 0.5436893203883495, 'n': 103}, {'bucket_median': 1.198346496287726, 'p': 0.375, 'n': 104}, {'bucket_median': 2.0, 'p': 0.20388349514563106, 'n': 103}, {'bucket_median': 3.2390144381669774, 'p': 0.07692307692307693, 'n': 104}]"
