model,checkpoint,n_scored,mae,median_ae,p50_pinball,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90,coverage_50pct,coverage_80pct,mean_interval_width_50,mean_interval_width_80,residual_iqr,residual_mad,b0_mae_same_dates,mae_delta_vs_b0,pct_better_than_b0,pct_dates_better_than_b0
B0,03AM,69,25.40579710144892,18.999999999997904,12.70289855072446,5.357275362318903,9.111865942029036,12.70289855072446,12.004710144927358,7.771507246376764,0.5797101449275363,0.8115942028985508,43.646014492751746,86.05304347826144,36.099999999997806,18.40000000000064,,,,
B0,06AM,69,24.06884057971019,16.24999999999877,12.034420289855095,4.377101449275416,8.106068840579717,12.034420289855095,12.120380434782511,9.437579710144893,0.5507246376811594,0.7681159420289855,39.65652173913052,83.05550724637642,32.40000000000131,15.700000000000731,,,,
B0,09AM,69,23.042028985507255,15.80000000000136,11.521014492753627,3.1953623188405844,7.08550724637682,11.521014492753629,11.862681159420232,8.846202898550711,0.5797101449275363,0.8405797101449275,40.59130434782572,82.67652173913024,36.40000000000308,15.250000000001092,,,,
B0,12PM,69,11.904347826086795,8.799999999999919,5.9521739130433975,1.224347826086939,3.0761775362318735,5.952173913043396,5.979257246376756,4.429985507246319,0.7391304347826086,0.927536231884058,21.52318840579625,32.924492753622644,20.250000000001656,8.799999999999919,,,,
B2,03AM,107,22.51822429906554,16.7000000000006,11.25911214953277,3.8815514018691246,7.733703271027976,11.25911214953277,10.798890186915841,6.7536915887850055,0.411214953271028,0.6822429906542056,33.93878504672802,61.228130841121185,32.15000000000244,14.80000000000146,,,,
B2,06AM,107,22.3953271028037,15.700000000000712,11.19766355140185,3.5616074766354933,7.4928738317757855,11.19766355140185,11.093049065420582,7.038439252336457,0.3925233644859813,0.7289719626168224,31.358644859812756,58.38738317757035,36.65000000000251,15.050000000000892,,,,
B2,09AM,107,20.037383177569854,15.34999999999954,10.018691588784927,2.9334672897195935,6.404205607476636,10.018691588784927,10.181250000000015,7.176766355140255,0.4953271028037383,0.7476635514018691,30.450233644859228,57.35934579439275,29.800000000000928,14.249999999998987,,,,
B2,12PM,107,13.683644859812999,9.000000000000119,6.841822429906499,1.6380373831775767,4.089836448598138,6.841822429906499,6.8896028037383195,4.875355140186959,0.5607476635514018,0.8411214953271028,20.68317757009366,35.3217757009345,19.500000000001737,9.249999999996213,,,,
B4,03AM,198,18.994444444444326,15.925000000001077,9.497222222222163,3.80379797979797,7.191256313131326,9.497222222222163,8.51341540404036,5.416585858585849,0.4393939393939394,0.7070707070707071,32.1106060606052,63.54474747474743,31.41249999999985,16.525000000001114,,,,
B4,06AM,198,17.684595959595914,15.500000000000515,8.842297979797957,3.365661616161603,6.689267676767671,8.842297979797957,8.265593434343426,5.46215656565655,0.4444444444444444,0.7272727272727273,29.95176767676737,62.36151515151578,30.399999999998755,15.550000000000836,,,,
B4,09AM,198,17.481060606060616,14.80000000000037,8.740530303030308,2.7699292929292834,5.888162878787865,8.740530303030308,8.166919191919163,5.625196969696985,0.4494949494949495,0.7474747474747475,30.124368686868788,59.763383838384065,28.937500000001116,13.450000000000406,,,,
B4,12PM,198,10.328535353535427,7.725000000000094,5.164267676767714,1.292944444444438,3.14857954545455,5.164267676767714,4.923642676767699,3.2885151515151767,0.5707070707070707,0.9191919191919192,18.459595959596047,37.23580808080849,15.250000000000252,6.899999999999684,,,,
B5,03AM,67,20.80447761194015,17.000000000000345,10.402238805970077,3.760537313432782,7.786940298507339,10.402238805970075,9.67947761194032,5.832567164179088,0.3880597014925373,0.7164179104477612,28.904477611940145,57.39522388059749,31.97500000000075,17.300000000000082,,,,
B5,06AM,67,17.935074626865465,17.099999999997678,8.967537313432732,3.423626865671631,6.692723880596917,8.967537313432732,8.44337686567167,5.233507462686624,0.40298507462686567,0.7761194029850746,27.822014925373267,54.10567164179106,30.04999999999703,12.799999999999478,,,,
B5,09AM,67,17.463432835820864,15.649999999998164,8.731716417910432,2.7134776119402524,6.22098880596998,8.731716417910432,8.001865671641813,5.055835820895607,0.43283582089552236,0.7014925373134329,28.369029850746546,53.742388059701604,26.79999999999849,14.2999999999982,,,,
B5,12PM,67,12.587313432835813,9.000000000001236,6.293656716417907,1.2267611940298535,3.454944029850749,6.293656716417907,6.358208955223941,4.742402985074674,0.5522388059701493,0.8805970149253731,20.683955223880034,35.09611940298547,18.199999999999328,7.800000000000026,,,,
HIER_MATCHED,03AM,422,20.662322274881422,,,,,,,,,,,,,,20.423578199052038,-0.23874407582938417,0.3981042654028436,
HIER_MATCHED,06AM,422,19.43933649289092,,,,,,,,,,,,,,19.19336492890998,-0.245971563980941,0.4218009478672986,
HIER_MATCHED,09AM,422,18.529146919431223,,,,,,,,,,,,,,17.999407582938353,-0.5297393364928702,0.3578199052132701,
HIER_MATCHED,12PM,422,11.554976303317545,,,,,,,,,,,,,,11.31718009478676,-0.23779620853078498,0.41706161137440756,
HIER_MATCHED,ALL,1688,17.54644549763028,,,,,,,,,,,,,,17.23338270142178,-0.31306279620849864,,0.398696682464455
