checkpoint,model,condition,n,median_prediction,mae_in_sample,iqr,mad
03AM,B0,ALL,442,42.800000000001724,20.61696832579179,33.15000000000123,16.34999999999941
03AM,B1_TIER,MISSING,10,49.5000000000001,24.72999999999992,44.72499999999934,26.6999999999995
03AM,B1_TIER,T1,232,42.800000000001724,18.902155172413806,29.22500000000271,14.800000000001479
03AM,B1_TIER,T2,139,43.100000000000364,21.656834532373917,38.699999999999285,18.19999999999933
03AM,B1_TIER,T3,61,40.19999999999912,23.837704918032646,33.30000000000055,16.700000000000607
03AM,B2_TIER_CHECKPOINT,MISSING,10,49.5000000000001,24.72999999999992,44.72499999999934,26.6999999999995
03AM,B2_TIER_CHECKPOINT,T1,232,42.800000000001724,18.902155172413806,29.22500000000271,14.800000000001479
03AM,B2_TIER_CHECKPOINT,T2,139,43.100000000000364,21.656834532373917,38.699999999999285,18.19999999999933
03AM,B2_TIER_CHECKPOINT,T3,61,40.19999999999912,23.837704918032646,33.30000000000055,16.700000000000607
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,49.5000000000001,24.72999999999992,44.72499999999934,26.6999999999995
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,38.699999999998184,20.419999999999742,33.34999999999977,14.899999999999906
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,32.95000000000048,15.421428571428887,19.87500000000031,9.000000000001231
03AM,B3_TIER_STATE,T1|ONE_SIDED_UP,29,41.600000000001636,17.427586206896407,21.199999999998994,11.099999999997216
03AM,B3_TIER_STATE,T1|PARTIAL_LOOP,120,46.200000000000685,18.582500000000074,30.32499999999994,14.750000000000044
03AM,B3_TIER_STATE,T2|BALANCED_ASIA,1,32.700000000001054,0.0,0.0,0.0
03AM,B3_TIER_STATE,T2|FULL_LOOP,4,40.25000000000057,14.874999999999195,17.62499999999834,14.799999999999264
03AM,B3_TIER_STATE,T2|ONE_SIDED_DOWN,4,33.6000000000003,19.850000000000144,22.050000000001234,5.4500000000001805
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,28.69999999999928,18.46666666666774,27.70000000000161,14.400000000001079
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,36.89999999999971,24.192307692307505,52.00000000000094,16.399999999998634
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,44.099999999999135,21.507894736841912,37.92499999999977,17.60000000000205
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,75.69999999999854,63.13333333333356,97.72500000000073,53.650000000000645
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,36.55000000000186,15.243749999999665,27.42499999999981,16.19999999999955
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,40.19999999999912,21.13333333333337,30.550000000000296,14.899999999999906
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,49.5000000000001,24.72999999999992,44.72499999999934,26.6999999999995
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,38.000000000000256,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,30.099999999999568,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,109.2000000000004,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,21.10000000000056,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,32.29999999999844,17.19999999999944,17.199999999999434,17.19999999999944
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,48.39999999999955,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,28.3000000000011,3.0333333333332235,4.549999999999837,2.700000000002145
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,25.399999999999864,14.799999999999256,14.799999999999255,14.799999999999256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,36.55000000000075,15.275000000000702,21.62500000000123,9.700000000000268
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,41.049999999999145,10.799999999999146,15.549999999998064,6.899999999998581
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,50.00000000000115,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,44.90000000000104,17.199999999999438,27.399999999997423,18.700000000000376
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,35.89999999999982,7.624999999999437,9.824999999998305,6.649999999999157
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,70.84999999999786,32.14999999999968,32.149999999999686,32.14999999999968
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,37.8999999999996,17.86666666666677,26.80000000000016,11.699999999998933
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,28.399999999999537,6.800000000000139,6.800000000000139,6.800000000000139
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,73.74999999999798,33.07499999999963,40.62499999999915,8.99999999999902
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,22.999999999999684,14.466666666665958,21.699999999998944,5.999999999999336
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,65.99999999999939,9.4333333333337,14.150000000000546,4.199999999998646
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,38.599999999999746,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,72.69999999999888,23.466666666666452,35.19999999999966,21.000000000002117
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,34.60000000000241,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,47.399999999999665,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,61.099999999998374,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,30.099999999999568,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,60.2999999999998,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,41.999999999999815,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,26.400000000001977,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,12.799999999999478,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,27.200000000000557,8.300000000000344,12.450000000000514,0.8000000000008036
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,44.39999999999999,33.73333333333302,50.599999999999525,16.899999999999693
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,22.64999999999961,2.4500000000005073,2.4500000000005073,2.4500000000005073
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,34.79999999999927,6.56666666666676,9.850000000000144,2.5999999999992696
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,33.700000000000955,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,30.9500000000007,2.949999999999342,2.9499999999993385,2.949999999999342
