event_kind,hit_bucket,n,ASIAN_MIDPOINT,ASIAN_MIDPOINT_p,E25_RETOUCH,E25_RETOUCH_p,E50_EXTENSION,E50_EXTENSION_p,E100_EXTENSION,E100_EXTENSION_p,OPPOSITE_ASIAN_BAND,OPPOSITE_ASIAN_BAND_p,SAME_BAR_ORDER_UNRESOLVED,SAME_BAR_ORDER_UNRESOLVED_p,NO_EVENT_BEFORE_HORIZON,NO_EVENT_BEFORE_HORIZON_p
E25_CEREBUS_VALID,06_09,104,0,0.0,79,0.7596153846153846,13,0.125,0,0.0,0,0.0,12,0.11538461538461539,0,0.0
E25_CEREBUS_VALID,09_12,36,0,0.0,26,0.7222222222222222,2,0.05555555555555555,0,0.0,0,0.0,8,0.2222222222222222,0,0.0
E25_CEREBUS_VALID,AFTER_12,18,0,0.0,11,0.6111111111111112,2,0.1111111111111111,0,0.0,0,0.0,5,0.2777777777777778,0,0.0
E25_CEREBUS_VALID,PRE_06,246,2,0.008130081300813009,214,0.8699186991869918,23,0.09349593495934959,0,0.0,0,0.0,7,0.028455284552845527,0,0.0
E25_CEREBUS_VALID_CLOSE,06_09,108,0,0.0,65,0.6018518518518519,22,0.2037037037037037,0,0.0,0,0.0,21,0.19444444444444445,0,0.0
E25_CEREBUS_VALID_CLOSE,09_12,46,0,0.0,24,0.5217391304347826,7,0.15217391304347827,0,0.0,0,0.0,15,0.32608695652173914,0,0.0
E25_CEREBUS_VALID_CLOSE,AFTER_12,26,0,0.0,13,0.5,5,0.19230769230769232,0,0.0,0,0.0,8,0.3076923076923077,0,0.0
E25_CEREBUS_VALID_CLOSE,PRE_06,205,0,0.0,139,0.6780487804878049,49,0.23902439024390243,0,0.0,0,0.0,17,0.08292682926829269,0,0.0
E25_RAW_FIRST_SIDE,06_09,130,1,0.007692307692307693,97,0.7461538461538462,15,0.11538461538461539,0,0.0,0,0.0,17,0.13076923076923078,0,0.0
E25_RAW_FIRST_SIDE,09_12,42,1,0.023809523809523808,27,0.6428571428571429,3,0.07142857142857142,0,0.0,0,0.0,11,0.2619047619047619,0,0.0
E25_RAW_FIRST_SIDE,AFTER_12,13,0,0.0,11,0.8461538461538461,1,0.07692307692307693,0,0.0,0,0.0,1,0.07692307692307693,0,0.0
E25_RAW_FIRST_SIDE,PRE_06,249,3,0.012048192771084338,214,0.8594377510040161,23,0.09236947791164658,0,0.0,0,0.0,9,0.03614457831325301,0,0.0
E25_RAW_FIRST_SIDE,UNKNOWN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
E25_RAW_FIRST_SIDE_CLOSE,06_09,142,0,0.0,82,0.5774647887323944,29,0.20422535211267606,0,0.0,0,0.0,31,0.21830985915492956,0,0.0
E25_RAW_FIRST_SIDE_CLOSE,09_12,61,0,0.0,33,0.5409836065573771,9,0.14754098360655737,0,0.0,0,0.0,19,0.3114754098360656,0,0.0
E25_RAW_FIRST_SIDE_CLOSE,AFTER_12,19,0,0.0,13,0.6842105263157895,3,0.15789473684210525,0,0.0,0,0.0,3,0.15789473684210525,0,0.0
E25_RAW_FIRST_SIDE_CLOSE,PRE_06,208,0,0.0,138,0.6634615384615384,49,0.23557692307692307,0,0.0,0,0.0,21,0.10096153846153846,0,0.0
