conditioning,condition,next_direction,count,probability,sample_n,ci_low,ci_high
direction_completion_tier,DOWN|COMPLETED_1_AU|2,DOWN,243,0.5083682008368201,478,0.46443514644351463,0.5543933054393305
direction_completion_tier,DOWN|COMPLETED_1_AU|2,UP,235,0.4916317991631799,478,0.44764644351464433,0.5376569037656904
direction_completion_tier,DOWN|COMPLETED_1_AU|3,DOWN,75,0.528169014084507,142,0.44366197183098594,0.6126760563380281
direction_completion_tier,DOWN|COMPLETED_1_AU|3,UP,67,0.47183098591549294,142,0.3873239436619718,0.5563380281690141
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|1,UP,5,0.625,8,0.25,0.875
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|1,DOWN,3,0.375,8,0.125,0.75
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|2,UP,8,0.5333333333333333,15,0.26666666666666666,0.8
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|2,DOWN,7,0.4666666666666667,15,0.2,0.7333333333333333
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|3,DOWN,2,0.6666666666666666,3,0.0,1.0
direction_completion_tier,DOWN|OPPOSITE_LOOP_FORMATION|3,UP,1,0.3333333333333333,3,0.0,1.0
direction_completion_tier,DOWN|ORIGIN_BREACH|1,UP,932,0.5259593679458239,1772,0.5033860045146726,0.5496613995485328
direction_completion_tier,DOWN|ORIGIN_BREACH|1,DOWN,840,0.47404063205417607,1772,0.4520316027088036,0.49774266365688485
direction_completion_tier,DOWN|ORIGIN_BREACH|2,DOWN,868,0.5046511627906977,1720,0.4808139534883721,0.5284883720930232
direction_completion_tier,DOWN|ORIGIN_BREACH|2,UP,852,0.49534883720930234,1720,0.4714970930232558,0.5186191860465116
direction_completion_tier,DOWN|ORIGIN_BREACH|3,UP,331,0.5007564296520424,661,0.4599092284417549,0.5385779122541604
direction_completion_tier,DOWN|ORIGIN_BREACH|3,DOWN,330,0.49924357034795763,661,0.4598714069591528,0.5355521936459909
direction_completion_tier,DOWN|RETRACE_INVALIDATION|1,UP,37,0.5285714285714286,70,0.4142857142857143,0.6428571428571429
direction_completion_tier,DOWN|RETRACE_INVALIDATION|1,DOWN,33,0.4714285714285714,70,0.3567857142857143,0.5857142857142857
direction_completion_tier,DOWN|RETRACE_INVALIDATION|2,DOWN,42,0.6,70,0.4857142857142857,0.7142857142857143
direction_completion_tier,DOWN|RETRACE_INVALIDATION|2,UP,28,0.4,70,0.2857142857142857,0.5142857142857142
direction_completion_tier,DOWN|RETRACE_INVALIDATION|3,UP,15,0.625,24,0.4166666666666667,0.8333333333333334
direction_completion_tier,DOWN|RETRACE_INVALIDATION|3,DOWN,9,0.375,24,0.16666666666666666,0.5833333333333334
direction_completion_tier,UP|COMPLETED_1_AU|1,DOWN,241,0.5,482,0.45435684647302904,0.5456431535269709
direction_completion_tier,UP|COMPLETED_1_AU|1,UP,241,0.5,482,0.45435684647302904,0.5456431535269709
direction_completion_tier,UP|COMPLETED_1_AU|2,DOWN,265,0.5614406779661016,472,0.5168961864406779,0.6059322033898306
direction_completion_tier,UP|COMPLETED_1_AU|2,UP,207,0.4385593220338983,472,0.3961864406779661,0.4830508474576271
direction_completion_tier,UP|COMPLETED_1_AU|3,DOWN,64,0.5245901639344263,122,0.4344262295081967,0.6147540983606558
direction_completion_tier,UP|COMPLETED_1_AU|3,UP,58,0.47540983606557374,122,0.38524590163934425,0.5655737704918032
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|1,UP,11,0.6111111111111112,18,0.3888888888888889,0.8333333333333334
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|1,DOWN,7,0.3888888888888889,18,0.16666666666666666,0.6111111111111112
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|2,UP,13,0.5416666666666666,24,0.3333333333333333,0.75
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|2,DOWN,11,0.4583333333333333,24,0.25,0.6666666666666666
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|3,DOWN,3,0.75,4,0.25,1.0
direction_completion_tier,UP|OPPOSITE_LOOP_FORMATION|3,UP,1,0.25,4,0.0,0.75
direction_completion_tier,UP|ORIGIN_BREACH|1,UP,902,0.5058889512058329,1783,0.4823331463825014,0.5283230510375772
direction_completion_tier,UP|ORIGIN_BREACH|1,DOWN,880,0.49355019629837354,1783,0.4699943914750421,0.5159983174425126
direction_completion_tier,UP|ORIGIN_BREACH|1,NONE,1,0.0005608524957936063,1783,0.0,0.0016825574873808188
direction_completion_tier,UP|ORIGIN_BREACH|2,UP,882,0.5200471698113207,1696,0.4970518867924528,0.5436320754716981
direction_completion_tier,UP|ORIGIN_BREACH|2,DOWN,814,0.47995283018867924,1696,0.4569575471698113,0.5029481132075472
direction_completion_tier,UP|ORIGIN_BREACH|3,DOWN,338,0.5184049079754601,652,0.48006134969325154,0.5552147239263804
direction_completion_tier,UP|ORIGIN_BREACH|3,UP,314,0.4815950920245399,652,0.4432131901840491,0.5184049079754601
direction_completion_tier,UP|RETRACE_INVALIDATION|1,UP,41,0.5616438356164384,73,0.4520547945205479,0.6712328767123288
direction_completion_tier,UP|RETRACE_INVALIDATION|1,DOWN,32,0.4383561643835616,73,0.3287671232876712,0.547945205479452
direction_completion_tier,UP|RETRACE_INVALIDATION|2,DOWN,31,0.5,62,0.3709677419354839,0.6290322580645161
direction_completion_tier,UP|RETRACE_INVALIDATION|2,UP,31,0.5,62,0.3709677419354839,0.6290322580645161
direction_completion_tier,UP|RETRACE_INVALIDATION|3,UP,10,0.5882352941176471,17,0.35294117647058826,0.8235294117647058
direction_completion_tier,UP|RETRACE_INVALIDATION|3,DOWN,7,0.4117647058823529,17,0.17647058823529413,0.6470588235294118
full,DOWN|COMPLETED_1_AU|1|BALANCED,UP,31,0.5535714285714286,56,0.42857142857142855,0.6785714285714286
full,DOWN|COMPLETED_1_AU|1|BALANCED,DOWN,25,0.44642857142857145,56,0.32142857142857145,0.5714285714285714
full,DOWN|COMPLETED_1_AU|1|DOWN_HEAVY,DOWN,93,0.5344827586206896,174,0.45977011494252873,0.6091954022988506
full,DOWN|COMPLETED_1_AU|1|DOWN_HEAVY,UP,81,0.46551724137931033,174,0.3850574712643678,0.5402298850574713
full,DOWN|COMPLETED_1_AU|1|DOWN_LEAN,DOWN,34,0.5230769230769231,65,0.4,0.6461538461538462
full,DOWN|COMPLETED_1_AU|1|DOWN_LEAN,UP,31,0.47692307692307695,65,0.35384615384615387,0.6
full,DOWN|COMPLETED_1_AU|1|UP_HEAVY,DOWN,45,0.5487804878048781,82,0.43902439024390244,0.6585365853658537
full,DOWN|COMPLETED_1_AU|1|UP_HEAVY,UP,37,0.45121951219512196,82,0.34146341463414637,0.5609756097560976
full,DOWN|COMPLETED_1_AU|1|UP_LEAN,DOWN,39,0.52,75,0.4,0.6269999999999982
full,DOWN|COMPLETED_1_AU|1|UP_LEAN,UP,36,0.48,75,0.37333333333333335,0.6
full,DOWN|COMPLETED_1_AU|2|BALANCED,UP,22,0.5116279069767442,43,0.37209302325581395,0.6511627906976745
full,DOWN|COMPLETED_1_AU|2|BALANCED,DOWN,21,0.4883720930232558,43,0.3488372093023256,0.6284883720930201
full,DOWN|COMPLETED_1_AU|2|DOWN_HEAVY,DOWN,119,0.5384615384615384,221,0.4751131221719457,0.6018099547511312
full,DOWN|COMPLETED_1_AU|2|DOWN_HEAVY,UP,102,0.46153846153846156,221,0.39819004524886875,0.5294117647058824
full,DOWN|COMPLETED_1_AU|2|DOWN_LEAN,UP,55,0.5238095238095238,105,0.42857142857142855,0.6190476190476191
full,DOWN|COMPLETED_1_AU|2|DOWN_LEAN,DOWN,50,0.47619047619047616,105,0.38095238095238093,0.5621428571428558
full,DOWN|COMPLETED_1_AU|2|UP_HEAVY,UP,35,0.5,70,0.37142857142857144,0.6142857142857143
full,DOWN|COMPLETED_1_AU|2|UP_HEAVY,DOWN,35,0.5,70,0.37142857142857144,0.6142857142857143
full,DOWN|COMPLETED_1_AU|2|UP_LEAN,UP,21,0.5384615384615384,39,0.38461538461538464,0.6923076923076923
full,DOWN|COMPLETED_1_AU|2|UP_LEAN,DOWN,18,0.46153846153846156,39,0.3076923076923077,0.6153846153846154
full,DOWN|COMPLETED_1_AU|3|BALANCED,DOWN,12,0.7058823529411765,17,0.47058823529411764,0.8823529411764706
full,DOWN|COMPLETED_1_AU|3|BALANCED,UP,5,0.29411764705882354,17,0.11764705882352941,0.5294117647058824
full,DOWN|COMPLETED_1_AU|3|DOWN_HEAVY,DOWN,36,0.5806451612903226,62,0.45161290322580644,0.6935483870967742
full,DOWN|COMPLETED_1_AU|3|DOWN_HEAVY,UP,26,0.41935483870967744,62,0.2903225806451613,0.5483870967741935
full,DOWN|COMPLETED_1_AU|3|DOWN_LEAN,UP,19,0.5277777777777778,36,0.3611111111111111,0.6944444444444444
full,DOWN|COMPLETED_1_AU|3|DOWN_LEAN,DOWN,17,0.4722222222222222,36,0.3055555555555556,0.6388888888888888
full,DOWN|COMPLETED_1_AU|3|UP_HEAVY,UP,10,0.625,16,0.375,0.875
full,DOWN|COMPLETED_1_AU|3|UP_HEAVY,DOWN,6,0.375,16,0.125,0.625
full,DOWN|COMPLETED_1_AU|3|UP_LEAN,UP,7,0.6363636363636364,11,0.36363636363636365,0.9090909090909091
full,DOWN|COMPLETED_1_AU|3|UP_LEAN,DOWN,4,0.36363636363636365,11,0.09090909090909091,0.6363636363636364
full,DOWN|OPPOSITE_LOOP_FORMATION|1|BALANCED,UP,1,1.0,1,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|1|DOWN_HEAVY,DOWN,1,1.0,1,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|1|DOWN_LEAN,UP,1,1.0,1,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|1|UP_HEAVY,DOWN,2,0.6666666666666666,3,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|1|UP_HEAVY,UP,1,0.3333333333333333,3,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|1|UP_LEAN,UP,2,1.0,2,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|BALANCED,UP,1,0.5,2,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|BALANCED,DOWN,1,0.5,2,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|DOWN_HEAVY,UP,1,1.0,1,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|DOWN_LEAN,DOWN,2,0.6666666666666666,3,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|DOWN_LEAN,UP,1,0.3333333333333333,3,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|2|UP_HEAVY,UP,5,0.625,8,0.25,0.875
full,DOWN|OPPOSITE_LOOP_FORMATION|2|UP_HEAVY,DOWN,3,0.375,8,0.125,0.75
full,DOWN|OPPOSITE_LOOP_FORMATION|2|UP_LEAN,DOWN,1,1.0,1,1.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|3|BALANCED,DOWN,1,0.5,2,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|3|BALANCED,UP,1,0.5,2,0.0,1.0
full,DOWN|OPPOSITE_LOOP_FORMATION|3|DOWN_LEAN,DOWN,1,1.0,1,1.0,1.0
full,DOWN|ORIGIN_BREACH|1|BALANCED,UP,124,0.5344827586206896,232,0.47413793103448276,0.5948275862068966
full,DOWN|ORIGIN_BREACH|1|BALANCED,DOWN,108,0.46551724137931033,232,0.4051724137931034,0.5301724137931034
full,DOWN|ORIGIN_BREACH|1|DOWN_HEAVY,DOWN,254,0.5009861932938856,507,0.45951676528599605,0.5443786982248521
full,DOWN|ORIGIN_BREACH|1|DOWN_HEAVY,UP,253,0.4990138067061144,507,0.4556213017751479,0.5424063116370809
full,DOWN|ORIGIN_BREACH|1|DOWN_LEAN,DOWN,152,0.5135135135135135,296,0.4594594594594595,0.5709459459459459
full,DOWN|ORIGIN_BREACH|1|DOWN_LEAN,UP,144,0.4864864864864865,296,0.42905405405405406,0.543918918918919
full,DOWN|ORIGIN_BREACH|1|UP_HEAVY,UP,280,0.5679513184584178,493,0.5253549695740365,0.6125760649087221
full,DOWN|ORIGIN_BREACH|1|UP_HEAVY,DOWN,213,0.43204868154158216,493,0.3894523326572008,0.4766734279918864
full,DOWN|ORIGIN_BREACH|1|UP_LEAN,UP,131,0.5368852459016393,244,0.47540983606557374,0.5983606557377049
full,DOWN|ORIGIN_BREACH|1|UP_LEAN,DOWN,113,0.46311475409836067,244,0.4016393442622951,0.5245901639344263
full,DOWN|ORIGIN_BREACH|2|BALANCED,DOWN,81,0.50625,160,0.425,0.58125
full,DOWN|ORIGIN_BREACH|2|BALANCED,UP,79,0.49375,160,0.4125,0.56875
full,DOWN|ORIGIN_BREACH|2|DOWN_HEAVY,DOWN,294,0.5444444444444444,540,0.5018518518518519,0.587037037037037
full,DOWN|ORIGIN_BREACH|2|DOWN_HEAVY,UP,246,0.45555555555555555,540,0.412962962962963,0.49634259259259234
full,DOWN|ORIGIN_BREACH|2|DOWN_LEAN,UP,181,0.5041782729805014,359,0.45403899721448465,0.5543175487465181
full,DOWN|ORIGIN_BREACH|2|DOWN_LEAN,DOWN,178,0.4958217270194986,359,0.4456824512534819,0.5459610027855153
full,DOWN|ORIGIN_BREACH|2|UP_HEAVY,UP,239,0.513978494623656,465,0.46876344086021504,0.5591397849462365
