model,features,n,log_loss,brier,accuracy,average_conditional_entropy,fallback_share,delta_log_loss_vs_T0,delta_log_loss_vs_T1
T0,unconditional,10820,0.6953933865777356,0.25025883772669116,0.49713493530499075,0.6928017720416927,0.0,0.0,-0.0002789637936231326
T1,direction,10820,0.6956723503713588,0.25039668942167337,0.4980591497227357,0.6924416687267926,0.0036968576709796672,0.0002789637936231326,0.0
T2,direction;completion_state,10820,0.6959432712561235,0.25052653216530885,0.5084103512014787,0.6915848986699417,0.014787430683918669,0.0005498846783879019,0.0002709208847647693
T3,direction;completion_state;session_ar_tier,10820,0.6971827755220811,0.25112980222914216,0.5049907578558226,0.6906130783113964,0.038909426987061,0.001789388944345438,0.0015104251507223054
T4,direction;completion_state;session_ar_tier;checkpoint,10820,0.7018607240838349,0.2533462625830679,0.506007393715342,0.6855573395115431,0.22292051756007394,0.006467337506099291,0.006188373712476158
T5,direction;completion_state;session_ar_tier;checkpoint;directional_balance_bucket,10820,0.7002839569632554,0.2525679474090581,0.4975970425138632,0.6867941201093346,0.639463955637708,0.004890570385519766,0.004611606591896633
