conditioning,current_state,next_state,count,probability,ci_low,ci_high,sample_n
state,AR_NO_GO_STATE,DOWN,6,0.6,0.3,0.9,10
state,AR_NO_GO_STATE,UP,4,0.4,0.1,0.7,10
state,BALANCED_ASIA,UP,30,0.5357142857142857,0.4107142857142857,0.6607142857142857,56
state,BALANCED_ASIA,DOWN,26,0.4642857142857143,0.3392857142857143,0.5892857142857143,56
state,FULL_LOOP,DOWN,8,0.8,0.5,1.0,10
state,FULL_LOOP,UP,2,0.2,0.0,0.5,10
state,ONE_SIDED_DOWN,DOWN,18,0.5625,0.375,0.7195312499999957,32
state,ONE_SIDED_DOWN,UP,14,0.4375,0.28125,0.625,32
state,ONE_SIDED_UP,UP,17,0.53125,0.34375,0.6875,32
state,ONE_SIDED_UP,DOWN,15,0.46875,0.28125,0.65625,32
state,OVER_COMPLETED,DOWN,17,0.5862068965517241,0.41379310344827586,0.7586206896551724,29
state,OVER_COMPLETED,UP,12,0.41379310344827586,0.2413793103448276,0.5862068965517241,29
state,PARTIAL_LOOP,DOWN,142,0.5201465201465202,0.45787545787545786,0.5787545787545788,273
state,PARTIAL_LOOP,UP,131,0.47985347985347987,0.4175824175824176,0.5347985347985348,273
state_tier,AR_NO_GO_STATE|MISSING,DOWN,6,0.6,0.3,0.9,10
state_tier,AR_NO_GO_STATE|MISSING,UP,4,0.4,0.1,0.7,10
state_tier,BALANCED_ASIA|T1,UP,29,0.5272727272727272,0.4,0.6545454545454545,55
state_tier,BALANCED_ASIA|T1,DOWN,26,0.4727272727272727,0.34545454545454546,0.6,55
state_tier,BALANCED_ASIA|T2,UP,1,1.0,1.0,1.0,1
state_tier,FULL_LOOP|T2,DOWN,3,0.75,0.25,1.0,4
state_tier,FULL_LOOP|T2,UP,1,0.25,0.0,0.75,4
state_tier,FULL_LOOP|T3,DOWN,5,0.8333333333333334,0.5,1.0,6
state_tier,FULL_LOOP|T3,UP,1,0.16666666666666666,0.0,0.5,6
state_tier,ONE_SIDED_DOWN|T1,DOWN,17,0.6071428571428571,0.42857142857142855,0.7857142857142857,28
state_tier,ONE_SIDED_DOWN|T1,UP,11,0.39285714285714285,0.21428571428571427,0.5714285714285714,28
state_tier,ONE_SIDED_DOWN|T2,UP,3,0.75,0.25,1.0,4
state_tier,ONE_SIDED_DOWN|T2,DOWN,1,0.25,0.0,0.75,4
state_tier,ONE_SIDED_UP|T1,UP,16,0.5517241379310345,0.3793103448275862,0.7241379310344828,29
state_tier,ONE_SIDED_UP|T1,DOWN,13,0.4482758620689655,0.27586206896551724,0.6206896551724138,29
state_tier,ONE_SIDED_UP|T2,DOWN,2,0.6666666666666666,0.0,1.0,3
state_tier,ONE_SIDED_UP|T2,UP,1,0.3333333333333333,0.0,1.0,3
state_tier,OVER_COMPLETED|T2,DOWN,9,0.6923076923076923,0.46153846153846156,0.9230769230769231,13
state_tier,OVER_COMPLETED|T2,UP,4,0.3076923076923077,0.07692307692307693,0.6153846153846154,13
state_tier,OVER_COMPLETED|T3,DOWN,8,0.5,0.25,0.75,16
state_tier,OVER_COMPLETED|T3,UP,8,0.5,0.25,0.75,16
state_tier,PARTIAL_LOOP|T1,DOWN,71,0.5916666666666667,0.5,0.6833333333333333,120
state_tier,PARTIAL_LOOP|T1,UP,49,0.4083333333333333,0.31666666666666665,0.5,120
state_tier,PARTIAL_LOOP|T2,UP,60,0.5263157894736842,0.43859649122807015,0.6228070175438597,114
state_tier,PARTIAL_LOOP|T2,DOWN,54,0.47368421052631576,0.38596491228070173,0.5701754385964912,114
state_tier,PARTIAL_LOOP|T3,UP,22,0.5641025641025641,0.41025641025641024,0.717948717948718,39
state_tier,PARTIAL_LOOP|T3,DOWN,17,0.4358974358974359,0.28205128205128205,0.5897435897435898,39
state_tier_balance,AR_NO_GO_STATE|MISSING|BALANCED,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,AR_NO_GO_STATE|MISSING|DOWN_HEAVY,DOWN,3,0.75,0.25,1.0,4
state_tier_balance,AR_NO_GO_STATE|MISSING|DOWN_HEAVY,UP,1,0.25,0.0,0.75,4
state_tier_balance,AR_NO_GO_STATE|MISSING|UP_HEAVY,UP,3,0.6,0.2,1.0,5
state_tier_balance,AR_NO_GO_STATE|MISSING|UP_HEAVY,DOWN,2,0.4,0.0,0.8,5
state_tier_balance,BALANCED_ASIA|T1|BALANCED,UP,4,0.5714285714285714,0.14285714285714285,0.8571428571428571,7
state_tier_balance,BALANCED_ASIA|T1|BALANCED,DOWN,3,0.42857142857142855,0.14285714285714285,0.8571428571428571,7
state_tier_balance,BALANCED_ASIA|T1|DOWN_HEAVY,DOWN,8,0.5,0.25,0.75,16
state_tier_balance,BALANCED_ASIA|T1|DOWN_HEAVY,UP,8,0.5,0.25,0.75,16
state_tier_balance,BALANCED_ASIA|T1|DOWN_LEAN,UP,4,0.6666666666666666,0.3333333333333333,1.0,6
state_tier_balance,BALANCED_ASIA|T1|DOWN_LEAN,DOWN,2,0.3333333333333333,0.0,0.6666666666666666,6
state_tier_balance,BALANCED_ASIA|T1|UP_HEAVY,DOWN,8,0.5714285714285714,0.2857142857142857,0.7857142857142857,14
state_tier_balance,BALANCED_ASIA|T1|UP_HEAVY,UP,6,0.42857142857142855,0.21428571428571427,0.7142857142857143,14
state_tier_balance,BALANCED_ASIA|T1|UP_LEAN,UP,7,0.5833333333333334,0.3333333333333333,0.8333333333333334,12
state_tier_balance,BALANCED_ASIA|T1|UP_LEAN,DOWN,5,0.4166666666666667,0.16666666666666666,0.6666666666666666,12
state_tier_balance,BALANCED_ASIA|T2|UP_HEAVY,UP,1,1.0,1.0,1.0,1
state_tier_balance,FULL_LOOP|T2|DOWN_HEAVY,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,FULL_LOOP|T2|DOWN_LEAN,DOWN,1,0.5,0.0,1.0,2
state_tier_balance,FULL_LOOP|T2|DOWN_LEAN,UP,1,0.5,0.0,1.0,2
state_tier_balance,FULL_LOOP|T2|UP_HEAVY,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,FULL_LOOP|T3|DOWN_HEAVY,DOWN,2,1.0,1.0,1.0,2
state_tier_balance,FULL_LOOP|T3|DOWN_LEAN,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,FULL_LOOP|T3|UP_HEAVY,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,FULL_LOOP|T3|UP_LEAN,UP,1,0.5,0.0,1.0,2
state_tier_balance,FULL_LOOP|T3|UP_LEAN,DOWN,1,0.5,0.0,1.0,2
state_tier_balance,ONE_SIDED_DOWN|T1|BALANCED,UP,3,0.6,0.2,1.0,5
state_tier_balance,ONE_SIDED_DOWN|T1|BALANCED,DOWN,2,0.4,0.0,0.8,5
state_tier_balance,ONE_SIDED_DOWN|T1|DOWN_HEAVY,DOWN,4,1.0,1.0,1.0,4
state_tier_balance,ONE_SIDED_DOWN|T1|DOWN_LEAN,DOWN,3,0.6,0.2,1.0,5
state_tier_balance,ONE_SIDED_DOWN|T1|DOWN_LEAN,UP,2,0.4,0.0,0.8,5
state_tier_balance,ONE_SIDED_DOWN|T1|UP_HEAVY,UP,5,0.5555555555555556,0.2222222222222222,0.8888888888888888,9
state_tier_balance,ONE_SIDED_DOWN|T1|UP_HEAVY,DOWN,4,0.4444444444444444,0.1111111111111111,0.7777777777777778,9
state_tier_balance,ONE_SIDED_DOWN|T1|UP_LEAN,DOWN,4,0.8,0.4,1.0,5
state_tier_balance,ONE_SIDED_DOWN|T1|UP_LEAN,UP,1,0.2,0.0,0.6,5
state_tier_balance,ONE_SIDED_DOWN|T2|BALANCED,DOWN,1,1.0,1.0,1.0,1
state_tier_balance,ONE_SIDED_DOWN|T2|DOWN_LEAN,UP,1,1.0,1.0,1.0,1
state_tier_balance,ONE_SIDED_DOWN|T2|UP_HEAVY,UP,1,1.0,1.0,1.0,1
state_tier_balance,ONE_SIDED_DOWN|T2|UP_LEAN,UP,1,1.0,1.0,1.0,1
state_tier_balance,ONE_SIDED_UP|T1|BALANCED,DOWN,5,0.8333333333333334,0.5,1.0,6
state_tier_balance,ONE_SIDED_UP|T1|BALANCED,UP,1,0.16666666666666666,0.0,0.5,6
state_tier_balance,ONE_SIDED_UP|T1|DOWN_HEAVY,DOWN,6,0.6666666666666666,0.3333333333333333,1.0,9
state_tier_balance,ONE_SIDED_UP|T1|DOWN_HEAVY,UP,3,0.3333333333333333,0.0,0.6666666666666666,9
state_tier_balance,ONE_SIDED_UP|T1|DOWN_LEAN,UP,3,1.0,1.0,1.0,3
state_tier_balance,ONE_SIDED_UP|T1|UP_HEAVY,UP,7,0.7777777777777778,0.4444444444444444,1.0,9
state_tier_balance,ONE_SIDED_UP|T1|UP_HEAVY,DOWN,2,0.2222222222222222,0.0,0.5555555555555556,9
state_tier_balance,ONE_SIDED_UP|T1|UP_LEAN,UP,2,1.0,1.0,1.0,2
state_tier_balance,ONE_SIDED_UP|T2|DOWN_LEAN,UP,1,1.0,1.0,1.0,1
state_tier_balance,ONE_SIDED_UP|T2|UP_HEAVY,DOWN,2,1.0,1.0,1.0,2
state_tier_balance,OVER_COMPLETED|T2|BALANCED,DOWN,2,0.6666666666666666,0.0,1.0,3
state_tier_balance,OVER_COMPLETED|T2|BALANCED,UP,1,0.3333333333333333,0.0,1.0,3
state_tier_balance,OVER_COMPLETED|T2|DOWN_HEAVY,DOWN,3,0.5,0.16666666666666666,0.8333333333333334,6
state_tier_balance,OVER_COMPLETED|T2|DOWN_HEAVY,UP,3,0.5,0.16666666666666666,0.8333333333333334,6
state_tier_balance,OVER_COMPLETED|T2|DOWN_LEAN,DOWN,2,1.0,1.0,1.0,2
state_tier_balance,OVER_COMPLETED|T2|UP_LEAN,DOWN,2,1.0,1.0,1.0,2
state_tier_balance,OVER_COMPLETED|T3|BALANCED,UP,2,1.0,1.0,1.0,2
state_tier_balance,OVER_COMPLETED|T3|DOWN_HEAVY,DOWN,4,0.8,0.4,1.0,5
state_tier_balance,OVER_COMPLETED|T3|DOWN_HEAVY,UP,1,0.2,0.0,0.6,5
state_tier_balance,OVER_COMPLETED|T3|DOWN_LEAN,UP,2,1.0,1.0,1.0,2
state_tier_balance,OVER_COMPLETED|T3|UP_HEAVY,DOWN,2,0.5,0.0,1.0,4
state_tier_balance,OVER_COMPLETED|T3|UP_HEAVY,UP,2,0.5,0.0,1.0,4
state_tier_balance,OVER_COMPLETED|T3|UP_LEAN,DOWN,2,0.6666666666666666,0.0,1.0,3
state_tier_balance,OVER_COMPLETED|T3|UP_LEAN,UP,1,0.3333333333333333,0.0,1.0,3
state_tier_balance,PARTIAL_LOOP|T1|BALANCED,DOWN,11,0.8461538461538461,0.6153846153846154,1.0,13
state_tier_balance,PARTIAL_LOOP|T1|BALANCED,UP,2,0.15384615384615385,0.0,0.38461538461538464,13
state_tier_balance,PARTIAL_LOOP|T1|DOWN_HEAVY,DOWN,21,0.5526315789473685,0.39473684210526316,0.7105263157894737,38
state_tier_balance,PARTIAL_LOOP|T1|DOWN_HEAVY,UP,17,0.4473684210526316,0.2894736842105263,0.6052631578947368,38
state_tier_balance,PARTIAL_LOOP|T1|DOWN_LEAN,DOWN,13,0.5416666666666666,0.3333333333333333,0.75,24
state_tier_balance,PARTIAL_LOOP|T1|DOWN_LEAN,UP,11,0.4583333333333333,0.25,0.6666666666666666,24
state_tier_balance,PARTIAL_LOOP|T1|UP_HEAVY,DOWN,19,0.5588235294117647,0.38235294117647056,0.7352941176470589,34
state_tier_balance,PARTIAL_LOOP|T1|UP_HEAVY,UP,15,0.4411764705882353,0.2647058823529412,0.6176470588235294,34
state_tier_balance,PARTIAL_LOOP|T1|UP_LEAN,DOWN,7,0.6363636363636364,0.36363636363636365,0.9090909090909091,11
state_tier_balance,PARTIAL_LOOP|T1|UP_LEAN,UP,4,0.36363636363636365,0.09090909090909091,0.6363636363636364,11
state_tier_balance,PARTIAL_LOOP|T2|BALANCED,DOWN,6,0.6,0.3,0.9,10
state_tier_balance,PARTIAL_LOOP|T2|BALANCED,UP,4,0.4,0.1,0.7,10
state_tier_balance,PARTIAL_LOOP|T2|DOWN_HEAVY,UP,18,0.5142857142857142,0.34285714285714286,0.6857142857142857,35
state_tier_balance,PARTIAL_LOOP|T2|DOWN_HEAVY,DOWN,17,0.4857142857142857,0.3142857142857143,0.6571428571428571,35
state_tier_balance,PARTIAL_LOOP|T2|DOWN_LEAN,UP,14,0.5833333333333334,0.375,0.7916666666666666,24
state_tier_balance,PARTIAL_LOOP|T2|DOWN_LEAN,DOWN,10,0.4166666666666667,0.20833333333333334,0.625,24
state_tier_balance,PARTIAL_LOOP|T2|UP_HEAVY,UP,18,0.5625,0.375,0.7195312499999957,32
state_tier_balance,PARTIAL_LOOP|T2|UP_HEAVY,DOWN,14,0.4375,0.28125,0.625,32
state_tier_balance,PARTIAL_LOOP|T2|UP_LEAN,DOWN,7,0.5384615384615384,0.3076923076923077,0.7711538461538358,13
state_tier_balance,PARTIAL_LOOP|T2|UP_LEAN,UP,6,0.46153846153846156,0.23076923076923078,0.7692307692307693,13
state_tier_balance,PARTIAL_LOOP|T3|BALANCED,UP,3,0.75,0.25,1.0,4
state_tier_balance,PARTIAL_LOOP|T3|BALANCED,DOWN,1,0.25,0.0,0.75,4
state_tier_balance,PARTIAL_LOOP|T3|DOWN_HEAVY,DOWN,7,0.5833333333333334,0.3333333333333333,0.8333333333333334,12
state_tier_balance,PARTIAL_LOOP|T3|DOWN_HEAVY,UP,5,0.4166666666666667,0.16666666666666666,0.6666666666666666,12
state_tier_balance,PARTIAL_LOOP|T3|DOWN_LEAN,UP,4,0.5,0.125,0.875,8
state_tier_balance,PARTIAL_LOOP|T3|DOWN_LEAN,DOWN,4,0.5,0.125,0.875,8
state_tier_balance,PARTIAL_LOOP|T3|UP_HEAVY,UP,10,0.7692307692307693,0.5384615384615384,1.0,13
state_tier_balance,PARTIAL_LOOP|T3|UP_HEAVY,DOWN,3,0.23076923076923078,0.0,0.46153846153846156,13
state_tier_balance,PARTIAL_LOOP|T3|UP_LEAN,DOWN,2,1.0,1.0,1.0,2
