session_ar_tier,horizon,n,p_touch_full,p_close_full,p_no_touch_full,p_no_close_full,p_viol_up_full,p_viol_dn_full
T1,H03,232,0.8620689655172413,0.8146551724137931,0.13793103448275867,0.18534482758620685,0.45689655172413796,0.47413793103448276
T1,H17,232,0.8060344827586207,0.7456896551724138,0.19396551724137934,0.2543103448275862,0.40948275862068967,0.4267241379310345
T1,H19,232,0.8362068965517241,0.7887931034482759,0.1637931034482759,0.2112068965517241,0.4267241379310345,0.45689655172413796
T2,H03,139,0.8561151079136691,0.7985611510791367,0.14388489208633093,0.20143884892086328,0.4172661870503597,0.5107913669064749
T2,H17,139,0.7769784172661871,0.7050359712230215,0.2230215827338129,0.29496402877697847,0.35251798561151076,0.4676258992805755
T2,H19,139,0.8057553956834532,0.7266187050359713,0.19424460431654678,0.27338129496402874,0.381294964028777,0.4748201438848921
T3,H03,61,0.7049180327868853,0.6557377049180327,0.29508196721311475,0.34426229508196726,0.3770491803278688,0.39344262295081966
T3,H17,61,0.639344262295082,0.5573770491803278,0.360655737704918,0.4426229508196722,0.32786885245901637,0.32786885245901637
T3,H19,61,0.6557377049180327,0.5737704918032787,0.34426229508196726,0.42622950819672134,0.36065573770491804,0.36065573770491804
OVERALL,H03,442,0.832579185520362,0.7828054298642534,0.16742081447963797,0.2171945701357466,0.4298642533936652,0.47058823529411764
OVERALL,H17,442,0.7669683257918553,0.7013574660633484,0.23303167420814475,0.29864253393665163,0.3778280542986425,0.42081447963800905
OVERALL,H19,442,0.7963800904977375,0.7352941176470589,0.2036199095022625,0.2647058823529411,0.4004524886877828,0.4457013574660634
