checkpoint,layer,n,iqr,mad,variance,delta_iqr_vs_time
03AM,TIME_ONLY,442,33.15000000000123,16.34999999999941,783.8856881001564,
03AM,TIER,442,33.15000000000123,16.34999999999941,783.8856881001564,
03AM,TIER_STATE,442,33.15000000000123,16.34999999999941,783.8856881001564,
03AM,TIER_STATE_LOOPS,442,33.15000000000123,16.34999999999941,783.8856881001564,
03AM,TIER_STATE_LOOPS_BALANCE,442,33.15000000000123,16.34999999999941,783.8856881001564,
06AM,TIME_ONLY,442,30.27500000000238,14.899999999997691,726.0523990602132,
06AM,TIER,442,30.27500000000238,14.899999999997691,726.0523990602132,
06AM,TIER_STATE,442,30.27500000000238,14.899999999997691,726.0523990602132,
06AM,TIER_STATE_LOOPS,442,30.27500000000238,14.899999999997691,726.0523990602132,
06AM,TIER_STATE_LOOPS_BALANCE,442,30.27500000000238,14.899999999997691,726.0523990602132,
09AM,TIME_ONLY,442,28.274999999999824,13.199999999999878,637.453609928133,
09AM,TIER,442,28.274999999999824,13.199999999999878,637.4536099281331,
09AM,TIER_STATE,442,28.274999999999824,13.199999999999878,637.453609928133,
09AM,TIER_STATE_LOOPS,442,28.274999999999824,13.199999999999878,637.453609928133,
09AM,TIER_STATE_LOOPS_BALANCE,442,28.274999999999824,13.199999999999878,637.4536099281329,
12PM,TIME_ONLY,442,19.3500000000002,8.549999999999386,264.4441815790023,
12PM,TIER,442,19.3500000000002,8.549999999999386,264.4441815790023,
12PM,TIER_STATE,442,19.3500000000002,8.549999999999386,264.44418157900236,
12PM,TIER_STATE_LOOPS,442,19.3500000000002,8.549999999999386,264.4441815790023,
12PM,TIER_STATE_LOOPS_BALANCE,442,19.3500000000002,8.549999999999386,264.4441815790023,
