target,seed,replicates,point_estimate,bootstrap_median,p05,p25,p75,p95,side,prob_delta_positive
R_LOCK_UP spearman(violation),20260821,2000,-0.5883736848609394,-0.4943610346708873,-0.5501029469954496,-0.5181372416770085,-0.46854870741080473,-0.43139304813635737,,
R_LOCK_DN spearman(violation),20260821,2000,-0.5359815889770629,-0.458012359335,-0.5202111848534446,-0.48446528564662433,-0.43342607331067107,-0.3969871760283458,,
,20260821,2000,-0.3130627962084959,-0.30918246445494724,-0.4712470379146284,-0.37495556872035163,-0.24063240521322093,-0.1391232227488312,hierarchy_vs_b0_mae_delta,0.0005
