date,tier,G_UP_FULL,G_DOWN_FULL,E_AFT_UP_A0,E_AFT_DN_A0,E_AFT_UP_A1,E_AFT_DN_A1,R_LOCK_UP_A0,R_LOCK_DN_A0,R_LOCK_UP_A1,R_LOCK_DN_A1,VIOL_UP_H17,VIOL_DN_H17
2023-01-03,T3,109.09999999999975,54.700000000000855,,,,,,,,,False,False
2023-01-04,T3,11.300000000000754,83.5000000000008,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,1.4303797468354145,2.250673854447399,1.4303797468354145,2.250673854447399,False,False
2023-01-05,T3,92.0999999999994,3.60000000000138,4.350000000000742,40.10000000000069,4.350000000000742,40.10000000000069,21.172413793099697,0.08977556109728972,21.172413793099697,0.08977556109728972,False,True
2023-01-06,T2,36.30000000000022,27.29999999999899,7.900000000000684,37.10000000000102,7.900000000000684,37.10000000000102,4.594936708860389,0.7358490566037262,4.594936708860389,0.7358490566037262,True,False
2023-01-10,T2,18.599999999999728,28.500000000000192,17.900000000000695,30.70000000000017,17.900000000000695,30.70000000000017,1.039106145251341,0.9283387622149848,1.039106145251341,0.9283387622149848,False,False
2023-01-11,T3,6.699999999999484,44.10000000000025,12.399999999999078,24.299999999999322,12.399999999999078,24.299999999999322,0.5403225806451598,1.8148148148148757,0.5403225806451598,1.8148148148148757,False,False
2023-01-12,T2,71.0999999999995,46.200000000000685,10.149999999999881,29.549999999999297,10.149999999999881,29.549999999999297,7.004926108374416,1.5634517766498066,7.004926108374416,1.5634517766498066,True,False
2023-01-13,T3,48.99999999999904,38.40000000000065,12.399999999999078,24.299999999999322,12.399999999999078,24.299999999999322,3.9516129032260228,1.5802469135803179,3.9516129032260228,1.5802469135803179,False,False
2023-01-17,T2,6.500000000000394,56.700000000000635,16.14999999999922,21.649999999999725,16.14999999999922,21.649999999999725,0.40247678018580235,2.618937644341864,0.40247678018580235,2.618937644341864,False,True
2023-01-18,T3,23.500000000000743,97.89999999999965,12.399999999999078,24.299999999999322,7.900000000000684,34.79999999999927,1.8951612903227815,4.028806584362238,2.974683544303634,2.8132183908046464,False,False
2023-01-19,T2,27.700000000001612,28.199999999998226,10.149999999999881,29.549999999999297,10.149999999999881,29.549999999999297,2.729064039409058,0.9543147208121454,2.729064039409058,0.9543147208121454,False,False
2023-01-20,T1,37.400000000000766,19.400000000000528,12.399999999999078,26.89999999999859,12.399999999999078,26.89999999999859,3.0161290322583505,0.7211895910781243,3.0161290322583505,0.7211895910781243,False,False
2023-01-23,T3,65.10000000000015,15.500000000001624,16.14999999999922,25.599999999998957,6.550000000000722,35.950000000000145,4.030959752322185,0.605468750000088,9.938931297708852,0.43115438108488346,False,False
2023-01-24,T1,55.49999999999944,2.100000000000435,14.199999999999768,24.299999999999322,14.199999999999768,24.299999999999322,3.9084507042253764,0.08641975308644007,3.9084507042253764,0.08641975308644007,False,True
2023-01-25,T2,17.900000000001803,35.99999999999825,17.049999999999564,21.649999999999725,25.300000000001432,19.000000000000128,1.0498533724341503,1.6628175519629889,0.7075098814229561,1.8947368421051585,True,False
2023-01-26,T1,42.29999999999956,14.000000000000679,19.899999999999363,19.099999999998563,19.899999999999363,19.099999999998563,2.1256281407035633,0.732984293193808,2.1256281407035633,0.732984293193808,False,True
2023-01-27,T3,34.89999999999993,20.299999999999763,17.049999999999564,21.699999999998944,7.900000000000684,34.79999999999927,2.0469208211144174,0.9354838709677765,4.41772151898695,0.5833333333333387,False,True
2023-01-30,T1,22.299999999999542,38.50000000000131,14.199999999999768,24.299999999999322,14.199999999999768,24.299999999999322,1.570422535211261,1.5843621399177934,1.570422535211261,1.5843621399177934,False,True
2023-01-31,T2,16.300000000000203,46.10000000000003,13.900000000000023,25.599999999998957,27.850000000001486,19.049999999999343,1.1726618705036098,1.8007812500000746,0.5852782764811251,2.4199475065617646,True,False
2023-02-01,T2,6.599999999998829,51.900000000000276,14.199999999999768,24.299999999999322,26.700000000001722,19.000000000000128,0.4647887323942913,2.1358024691358732,0.24719101123589526,2.7315789473684173,True,False
2023-02-03,T2,76.09999999999894,37.50000000000142,17.049999999999564,21.699999999998944,28.55000000000163,17.50000000000029,4.463343108504451,1.7281105990784906,2.665499124343068,2.1428571428571885,False,True
2023-02-06,T1,54.400000000001114,5.599999999998939,14.199999999999768,24.299999999999322,14.199999999999768,24.299999999999322,3.8309859154930987,0.23045267489708213,3.8309859154930987,0.23045267489708213,False,True
2023-02-07,T2,61.59999999999943,2.4000000000001798,13.900000000000023,25.599999999998957,26.700000000001722,19.000000000000128,4.431654676258945,0.09375000000001084,2.3071161048687436,0.12631578947369282,True,True
2023-02-08,T1,35.89999999999982,7.200000000000539,14.199999999999768,24.299999999999322,7.800000000000029,35.199999999999676,2.528169014084536,0.29629629629632676,4.602564102564062,0.20454545454547174,False,True
2023-02-09,T3,10.600000000000609,72.09999999999938,14.699999999999713,21.699999999998944,10.750000000000481,31.149999999999785,0.7210884353742052,3.3225806451614237,0.9860465116279195,2.31460674157303,False,False
2023-02-10,T2,55.600000000000094,16.100000000001113,14.199999999999768,24.299999999999322,28.55000000000163,17.50000000000029,3.915492957746549,0.6625514403292824,1.947460595446477,0.9200000000000483,False,True
2023-02-13,T2,2.100000000000435,49.59999999999853,13.900000000000023,25.599999999998957,26.700000000001722,19.000000000000128,0.15107913669067852,1.9375000000000215,0.07865168539326964,2.6105263157893788,True,False
2023-02-14,T2,52.499999999999766,43.69999999999985,14.199999999999768,24.299999999999322,26.000000000001577,17.50000000000029,3.697183098591593,1.7983539094650645,2.0192307692306377,2.4971428571428067,False,True
2023-02-15,T3,75.09999999999906,3.4000000000000696,14.699999999999713,25.599999999998957,9.40000000000163,34.79999999999927,5.108843537415002,0.13281250000000813,7.989361702126175,0.0977011494252914,False,True
2023-02-16,T3,59.60000000000187,3.399999999997849,15.199999999999658,24.299999999999322,11.500000000000954,31.149999999999785,3.9210526315791587,0.13991769547316643,5.182608695651907,0.10914927768853523,False,True
2023-02-17,T3,35.29999999999811,27.800000000000047,16.799999999999038,21.699999999998944,13.600000000000279,27.500000000000302,2.101190476190484,1.2811059907834745,2.5955882352939255,1.0109090909090814,True,False
