event_kind,tier,n,opposite_band_touch_rate,opposite_band_close_rate,median_time_to_opposite_min,e50_extension_rate,e100_extension_rate,e25_retouch_rate,midpoint_rate,same_bar_ambiguity_rate
E25_CEREBUS_VALID,T1,218,0.5963302752293578,0.5825688073394495,220.0,0.8944954128440367,0.7477064220183486,0.9862385321100917,0.7798165137614679,0.07339449541284404
E25_CEREBUS_VALID,T2,126,0.47619047619047616,0.4444444444444444,272.5,0.8015873015873016,0.6031746031746031,0.9761904761904762,0.6904761904761905,0.09523809523809523
E25_CEREBUS_VALID,T3,52,0.23076923076923078,0.23076923076923078,307.5,0.8653846153846154,0.5,0.9615384615384616,0.4807692307692308,0.07692307692307693
E25_CEREBUS_VALID_CLOSE,T1,212,0.5660377358490566,0.5518867924528302,227.5,0.9198113207547169,0.7641509433962265,0.9716981132075472,0.7405660377358491,0.18867924528301888
E25_CEREBUS_VALID_CLOSE,T2,115,0.41739130434782606,0.391304347826087,272.5,0.8782608695652174,0.6521739130434783,0.9217391304347826,0.6,0.12173913043478261
E25_CEREBUS_VALID_CLOSE,T3,50,0.18,0.18,310.0,0.9,0.52,0.9,0.4,0.14
E25_RAW_FIRST_SIDE,T1,231,0.5974025974025974,0.5800865800865801,202.5,0.9047619047619048,0.7619047619047619,0.9826839826839827,0.7705627705627706,0.0735930735930736
E25_RAW_FIRST_SIDE,T2,137,0.45255474452554745,0.40145985401459855,292.5,0.8467153284671532,0.6496350364963503,0.9781021897810219,0.6642335766423357,0.10948905109489052
E25_RAW_FIRST_SIDE,T3,58,0.22413793103448276,0.22413793103448276,305.0,0.8448275862068966,0.5172413793103449,0.9655172413793104,0.5,0.10344827586206896
E25_RAW_FIRST_SIDE_CLOSE,T1,231,0.5670995670995671,0.5497835497835498,220.0,0.9307359307359307,0.7792207792207793,0.9696969696969697,0.7445887445887446,0.19480519480519481
E25_RAW_FIRST_SIDE_CLOSE,T2,136,0.39705882352941174,0.35294117647058826,280.0,0.9044117647058824,0.6985294117647058,0.9191176470588235,0.5735294117647058,0.14705882352941177
E25_RAW_FIRST_SIDE_CLOSE,T3,55,0.21818181818181817,0.21818181818181817,307.5,0.8909090909090909,0.5818181818181818,0.9090909090909091,0.45454545454545453,0.16363636363636364
