target,condition,condition_value,n,p10,p25,p50,p75,p90,mean,iqr,mad,censored
remaining_range_03AM,tier|state,MISSING|AR_NO_GO_STATE,10,18.209999999999397,27.15000000000023,49.5000000000001,71.87499999999957,94.47000000000006,51.39000000000004,44.72499999999934,26.6999999999995,0
remaining_range_03AM,tier|state,T1|BALANCED_ASIA,55,21.300000000000093,29.200000000000333,38.699999999998184,62.5500000000001,80.69999999999888,48.23636363636341,33.34999999999977,14.899999999999906,0
remaining_range_03AM,tier|state,T1|ONE_SIDED_DOWN,28,22.85999999999788,26.249999999999883,32.95000000000048,46.12500000000019,64.13999999999965,40.335714285714296,19.87500000000031,9.000000000001231,0
remaining_range_03AM,tier|state,T1|ONE_SIDED_UP,29,26.78000000000136,32.499999999999744,41.600000000001636,53.69999999999874,75.01999999999897,47.179310344827556,21.199999999998994,11.099999999997216,0
remaining_range_03AM,tier|state,T1|PARTIAL_LOOP,120,20.33999999999847,32.0999999999999,46.200000000000685,62.42499999999984,79.08999999999902,48.932499999999955,30.32499999999994,14.750000000000044,0
remaining_range_03AM,tier|state,T2|BALANCED_ASIA,1,32.700000000001054,32.700000000001054,32.700000000001054,32.700000000001054,32.700000000001054,32.700000000001054,0.0,0.0,0
remaining_range_03AM,tier|state,T2|FULL_LOOP,4,20.63000000000126,31.475000000001362,40.25000000000057,49.0999999999997,60.07999999999969,40.3250000000005,17.62499999999834,14.799999999999264,0
remaining_range_03AM,tier|state,T2|ONE_SIDED_DOWN,4,26.850000000000485,29.774999999999665,33.6000000000003,51.8250000000009,80.67000000000002,48.00000000000026,22.050000000001234,5.4500000000001805,0
remaining_range_03AM,tier|state,T2|ONE_SIDED_UP,3,17.17999999999842,21.499999999998742,28.69999999999928,49.20000000000035,61.500000000000995,37.5666666666663,27.70000000000161,14.400000000001079,0
remaining_range_03AM,tier|state,T2|OVER_COMPLETED,13,19.54000000000011,23.799999999998267,36.89999999999971,75.7999999999992,89.48000000000044,47.892307692307845,52.00000000000094,16.399999999998634,0
remaining_range_03AM,tier|state,T2|PARTIAL_LOOP,114,15.810000000000102,27.725000000000662,44.099999999999135,65.65000000000043,84.25000000000038,48.64473684210535,37.92499999999977,17.60000000000205,0
remaining_range_03AM,tier|state,T3|FULL_LOOP,6,12.099999999999334,23.424999999999137,75.69999999999854,121.14999999999986,167.00000000000045,84.93333333333278,97.72500000000073,53.650000000000645,0
remaining_range_03AM,tier|state,T3|OVER_COMPLETED,16,16.35000000000053,30.050000000000356,36.55000000000186,57.475000000000165,63.34999999999978,39.83125000000031,27.42499999999981,16.19999999999955,0
remaining_range_03AM,tier|state,T3|PARTIAL_LOOP,39,15.63999999999988,26.499999999999304,40.19999999999912,57.0499999999996,85.01999999999921,45.96410256410249,30.550000000000296,14.899999999999906,0
