checkpoint,model,condition,n,quantile,prediction
03AM,B3_TIER_STATE,T2|ONE_SIDED_DOWN,4,0.9,80.67000000000002
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,0.1,17.17999999999842
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,0.25,21.499999999998742
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,0.5,28.69999999999928
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,0.75,49.20000000000035
03AM,B3_TIER_STATE,T2|ONE_SIDED_UP,3,0.9,61.500000000000995
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,0.1,19.54000000000011
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,0.25,23.799999999998267
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,0.5,36.89999999999971
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,0.75,75.7999999999992
03AM,B3_TIER_STATE,T2|OVER_COMPLETED,13,0.9,89.48000000000044
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,0.1,15.810000000000102
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,0.25,27.725000000000662
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,0.5,44.099999999999135
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,0.75,65.65000000000043
03AM,B3_TIER_STATE,T2|PARTIAL_LOOP,114,0.9,84.25000000000038
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,0.1,12.099999999999334
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,0.25,23.424999999999137
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,0.5,75.69999999999854
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,0.75,121.14999999999986
03AM,B3_TIER_STATE,T3|FULL_LOOP,6,0.9,167.00000000000045
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,0.1,16.35000000000053
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,0.25,30.050000000000356
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,0.5,36.55000000000186
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,0.75,57.475000000000165
03AM,B3_TIER_STATE,T3|OVER_COMPLETED,16,0.9,63.34999999999978
