horizon,n,anchor,touch_rate,close_rate,median_gap_up_pips,median_gap_down_pips,median_aft_up_pips,median_aft_dn_pips
H03,442,FULL_PRE_NOON_DAY_RANGE,0.832579185520362,0.7828054298642534,,,,
H03,442,LONDON_NY_MORNING_03_12,0.8552036199095022,0.8099547511312217,,,,
H03,442,STATS,,,20.799999999999706,21.20000000000011,17.35000000000042,18.850000000001366
H17,442,FULL_PRE_NOON_DAY_RANGE,0.7669683257918553,0.7013574660633484,,,,
H17,442,LONDON_NY_MORNING_03_12,0.7986425339366516,0.7352941176470589,,,,
H17,442,STATS,,,20.799999999999706,21.20000000000011,15.099999999999003,15.899999999999803
H19,442,FULL_PRE_NOON_DAY_RANGE,0.7963800904977375,0.7352941176470589,,,,
H19,442,LONDON_NY_MORNING_03_12,0.8235294117647058,0.7647058823529411,,,,
H19,442,STATS,,,20.799999999999706,21.20000000000011,15.700000000000713,16.95000000000002
