date,checkpoint,model,quantile,prediction,actual,pinball_loss
2023-01-04,03AM,B0,0.1,130.70000000000135,56.89999999999973,66.42000000000147
2023-01-04,03AM,B0,0.25,130.70000000000135,56.89999999999973,55.350000000001224
2023-01-04,03AM,B0,0.5,130.70000000000135,56.89999999999973,36.900000000000816
2023-01-04,03AM,B0,0.75,130.70000000000135,56.89999999999973,18.450000000000408
2023-01-04,03AM,B0,0.9,130.70000000000135,56.89999999999973,7.3800000000001615
2023-01-04,06AM,B0,0.1,31.400000000001427,0.0,28.260000000001284
2023-01-04,06AM,B0,0.25,31.400000000001427,0.0,23.55000000000107
2023-01-04,06AM,B0,0.5,31.400000000001427,0.0,15.700000000000713
2023-01-04,06AM,B0,0.75,31.400000000001427,0.0,7.850000000000357
2023-01-04,06AM,B0,0.9,31.400000000001427,0.0,3.140000000000142
2023-01-04,09AM,B0,0.1,0.0,0.0,0.0
2023-01-04,09AM,B0,0.25,0.0,0.0,0.0
2023-01-04,09AM,B0,0.5,0.0,0.0,0.0
2023-01-04,09AM,B0,0.75,0.0,0.0,0.0
2023-01-04,09AM,B0,0.9,0.0,0.0,0.0
2023-01-04,12PM,B0,0.1,0.0,0.0,0.0
2023-01-04,12PM,B0,0.25,0.0,0.0,0.0
2023-01-04,12PM,B0,0.5,0.0,0.0,0.0
2023-01-04,12PM,B0,0.75,0.0,0.0,0.0
2023-01-04,12PM,B0,0.9,0.0,0.0,0.0
2023-01-05,03AM,B0,0.1,64.27999999999989,84.19999999999872,1.9919999999998836
2023-01-05,03AM,B0,0.25,75.35000000000014,84.19999999999872,2.212499999999647
2023-01-05,03AM,B0,0.5,93.80000000000054,84.19999999999872,4.800000000000907
2023-01-05,03AM,B0,0.75,112.25000000000094,84.19999999999872,7.0125000000005535
2023-01-05,03AM,B0,0.9,123.32000000000119,84.19999999999872,3.9120000000002455
2023-01-05,06AM,B0,0.1,3.1400000000001427,75.29999999999815,7.215999999999801
2023-01-05,06AM,B0,0.25,7.850000000000357,75.29999999999815,16.86249999999945
2023-01-05,06AM,B0,0.5,15.700000000000713,75.29999999999815,29.799999999998718
2023-01-05,06AM,B0,0.75,23.55000000000107,75.29999999999815,38.81249999999781
2023-01-05,06AM,B0,0.9,28.260000000001284,75.29999999999815,42.33599999999718
2023-01-05,09AM,B0,0.1,0.0,75.29999999999815,7.5299999999998155
2023-01-05,09AM,B0,0.25,0.0,75.29999999999815,18.824999999999537
2023-01-05,09AM,B0,0.5,0.0,75.29999999999815,37.649999999999075
2023-01-05,09AM,B0,0.75,0.0,75.29999999999815,56.474999999998616
