date,bias_state,bias_direction,bias_confidence,markov_p_target25_from_ar,markov_p_target25_from_p90,regime_ratio,asian_range_pips,actual_mfe,target_hit,direction_correct
2022-10-12,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.928,41.5,16.1,True,0
2022-10-13,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.024,33.9,114.6,True,1
2022-10-14,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.366,53.8,7.5,False,0
2022-10-18,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.418,39.2,20.6,True,0
2022-10-19,9/9_LOCK,LONG,0.97,0.0594,0.0594,3.135,26.0,112.9,True,1
2022-10-26,9/9_LOCK,SHORT,0.97,0.0594,0.0594,4.211,22.8,85.2,True,1
2022-10-28,9/9_LOCK,LONG,0.97,0.0594,0.0594,2.429,31.0,75.9,True,1
2022-10-31,EXHAUSTION,LONG,0.3,0.0594,0.0594,0.998,47.2,75.8,True,1
2022-11-01,9/9_LOCK,SHORT,0.97,0.0594,0.0594,2.39,37.7,72.4,True,1
2022-11-03,9/9_LOCK,LONG,0.97,0.0594,0.0594,3.466,36.9,123.0,True,1
2022-11-04,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.933,56.8,117.0,True,1
2022-11-07,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.985,68.9,49.1,True,1
2022-11-08,EXHAUSTION,LONG,0.3,0.0594,0.0594,0.834,45.9,39.2,True,1
2022-11-09,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.22,40.0,15.9,True,0
2022-11-11,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.533,52.3,202.6,True,1
2022-11-14,EXHAUSTION,LONG,0.3,0.0594,0.0594,0.695,90.5,106.1,True,1
2022-11-15,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.587,44.3,73.1,True,1
2022-11-23,9/9_LOCK,SHORT,0.97,0.0594,0.0594,2.339,18.9,68.1,True,1
2022-12-01,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.122,42.5,3.7,False,0
2022-12-02,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.705,26.4,39.3,True,0
2022-12-06,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.348,44.2,38.8,True,0
2022-12-07,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.386,23.6,24.7,True,0
2022-12-08,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.081,31.0,37.4,True,1
2022-12-09,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.747,36.7,40.6,True,1
2022-12-12,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.059,52.8,45.0,True,1
2022-12-13,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.807,19.7,129.2,True,1
2022-12-19,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.161,40.4,27.7,True,0
2022-12-21,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.218,31.2,19.1,True,0
2022-12-28,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.677,49.6,12.8,True,1
