asset,model,horizon_hours,mean,median,p25,p75,observed_decay_pct,null_mean_decay_pct,null_p95_decay_pct,null_p05_decay_pct,n_perm,seed,effect,observed_resolution_rate,null_mean,null_p05,null_p95,n_episodes,n_resolved,n_censored,phi,c,n_dislocations,observed_mean_abs_after,ar1_expected_mean_abs_after,observed_minus_ar1
BTC,unconditional_future_basis_change,1,0.015185558747582152,0.01839885404894792,-0.9215377723136728,0.9296567364725943,,,,,,,,,,,,,,,,,,,,
BTC,unconditional_future_basis_change,4,0.024151221255301936,0.024337036157883407,-1.0430573196044874,1.0310751142808599,,,,,,,,,,,,,,,,,,,,
BTC,unconditional_future_basis_change,24,0.023282804939531443,-0.03280602654033782,-1.2429273685296867,1.1713644266280312,,,,,,,,,,,,,,,,,,,,
BTC,random_timestamps_matched_by_volatility_regime,,,,,,0.05093833780160858,0.15258015771255323,0.16506843107042507,0.1399224686231653,200,20260821,-0.10164181991094465,,,,,,,,,,,,,
BTC,shuffled_event_labels_preserving_time_blocks,,,,,,,,,,200,20260821,,0.995049504950495,0.9950495049504954,0.995049504950495,0.995049504950495,202,201,1,,,,,,
BTC,ar1_mean_reversion_expectation,,,,,,,,,,,,,,,,,,,,0.631604058190737,-1.758915309027719,338,5.726449493898192,5.19234147593259,0.5341080179656021
ETH,unconditional_future_basis_change,1,0.04079029697659186,-0.006470450252412441,-0.9664506205222321,0.9792232984930622,,,,,,,,,,,,,,,,,,,,
ETH,unconditional_future_basis_change,4,0.048174986984311344,0.012920874196226784,-1.0966312154697286,1.0849243320459658,,,,,,,,,,,,,,,,,,,,
ETH,unconditional_future_basis_change,24,0.03253176514402512,0.01754706343501322,-1.3351970955196837,1.301479318778747,,,,,,,,,,,,,,,,,,,,
ETH,random_timestamps_matched_by_volatility_regime,,,,,,0.07321428571428572,0.18064806939692674,0.19697848241559213,0.16502386779056769,200,20260821,-0.10743378368264102,,,,,,,,,,,,,
ETH,shuffled_event_labels_preserving_time_blocks,,,,,,,,,,200,20260821,,0.9943181818181818,0.9943181818181819,0.9943181818181818,0.9943181818181818,176,175,1,,,,,,
ETH,ar1_mean_reversion_expectation,,,,,,,,,,,,,,,,,,,,0.7369830875199673,-1.2750382561368614,338,5.9009200687818195,5.677759630621931,0.22316043815988884
