label,n,mean,median,std,mad,p1,p5,p10,p25,p50,p75,p90,p95,p97_5,p99,min,max,partition
ETH_basis_weekend,978,-4.794705377233397,-4.807932936614799,1.6492804040303655,0.9405835726742509,-8.99213495740818,-7.474913653151975,-6.907520594261704,-5.7420134138959735,-4.807932936614799,-3.8630677544519365,-2.7718858643008093,-2.0173879234906242,-1.533172967513916,-0.9377870932015983,-11.682195227797846,3.4992127128534856,weekend
ETH_basis_weekday,2423,-4.709487297432338,-4.6705935097476265,3.366937216951812,1.0044480584953002,-9.212301437549296,-7.46361154594502,-6.69716444309953,-5.6637645883520555,-4.6705935097476265,-3.646819772321151,-2.6651376654548224,-1.7796360160646256,-1.1217229524353227,-0.2961513364253538,-145.27831826579256,6.910914160267991,weekday
BTC_funding_h0,1198,0.15218875709515856,0.125,0.4307673672694783,0.019385500000000007,-0.91965945,-0.1715798,-0.08042200000000001,0.0797435,0.125,0.125,0.4859655999999997,0.8249636999999991,1.024548225,1.44180241,-6.133368,3.668668,
BTC_funding_h1,1171,0.14849975747224595,0.125,0.21366905097647856,0.0,-0.2705457,-0.096988,-0.036122,0.0993705,0.125,0.125,0.355666,0.529355,0.70953475,1.0145491,-0.572644,2.088893,
BTC_funding_h2,1171,0.15529384543125535,0.125,0.22236974284612976,0.0,-0.23784339999999998,-0.10355400000000001,-0.023212,0.10576150000000001,0.125,0.125,0.397695,0.573806,0.8125470000000001,1.031619199999999,-0.596749,1.8756329999999999,
BTC_funding_h3,1171,0.16349103074295473,0.125,0.2437428588229132,0.0,-0.24531949999999997,-0.09872600000000001,-0.034477,0.093662,0.125,0.125,0.43377200000000005,0.6232275,0.8487125,1.127140899999996,-0.5313910000000001,2.40871,
BTC_funding_h4,1171,0.16621462339880444,0.125,0.25607624416964486,0.0,-0.25583079999999997,-0.1105885,-0.01977,0.098702,0.125,0.125,0.410407,0.6545114999999999,0.9017945,1.260825499999999,-0.7023130000000001,3.102826,
BTC_funding_h5,1171,0.168277268146883,0.125,0.2520948497404153,0.0,-0.26510720000000004,-0.100909,-0.02722,0.09060000000000001,0.125,0.125,0.47883400000000004,0.708855,0.866914,1.2566380999999984,-0.715713,1.6860670000000002,
BTC_funding_h6,1171,0.17172963535439795,0.125,0.2722751369784309,0.0,-0.2241123,-0.10760149999999999,-0.027814000000000002,0.0882245,0.125,0.125,0.424867,0.726386,0.96774625,1.1933314999999975,-0.5129049999999999,2.927505,
BTC_funding_h7,1171,0.17613078138343297,0.125,0.2932032984957707,0.0013440000000000119,-0.24754679999999998,-0.0964595,-0.03725,0.088083,0.125,0.125,0.41922499999999996,0.7471835,1.027765,1.4320055999999945,-0.5371090000000001,3.212728,
BTC_funding_h8,1198,0.16626474707846411,0.125,0.44288262331325334,0.014046499999999996,-0.7434354299999999,-0.1361935,-0.03735929999999999,0.08195649999999999,0.125,0.125,0.4882792999999999,0.7949245499999986,1.0852759250000001,1.4778512399999992,-7.45027,3.780583,
BTC_funding_h9,1171,0.15062220836891546,0.125,0.21463369517644876,0.0,-0.2468139,-0.0970395,-0.008355,0.102053,0.125,0.125,0.35934299999999997,0.5233304999999999,0.73829425,1.0739286000000001,-0.47212000000000004,2.249991,
BTC_funding_h10,1171,0.15374904526046115,0.125,0.22644238146655912,0.0,-0.2756341,-0.09277450000000001,-0.023211000000000002,0.105624,0.125,0.125,0.37299099999999996,0.5823425,0.79570925,1.0420870999999998,-0.641778,2.705648,
BTC_funding_h11,1171,0.15471480102476518,0.125,0.23029271532328108,0.0,-0.2431233,-0.09647649999999999,-0.022299,0.10084599999999999,0.125,0.125,0.378108,0.5876715,0.82823325,1.0268579999999998,-0.800143,2.9722,
BTC_funding_h12,1171,0.15881345516652431,0.125,0.24484672629348395,0.0,-0.27111260000000004,-0.094545,-0.023603000000000002,0.10129350000000001,0.125,0.125,0.378604,0.6189580000000001,0.8558812499999999,1.1686664999999976,-0.62766,2.756492,
BTC_funding_h13,1170,0.16540718376068378,0.125,0.2580800154626148,0.0,-0.27275889000000003,-0.08920724999999999,-0.028291499999999997,0.09853575,0.125,0.125,0.41781390000000074,0.6257069999999998,0.8283273249999946,1.22308172,-0.655865,2.674025,
BTC_funding_h14,1171,0.17336487446626814,0.125,0.2697195311259625,0.004714999999999997,-0.28013879999999997,-0.0876975,-0.023461,0.097355,0.125,0.125,0.475427,0.7072185,0.9276955,1.2310101999999978,-0.741215,2.960339,
BTC_funding_h15,1171,0.1771028975234842,0.125,0.27884500568250575,0.0,-0.2330305,-0.111341,-0.02095,0.106447,0.125,0.125,0.433427,0.7061525,0.9904440000000001,1.3774274999999974,-0.854807,2.8205679999999997,
BTC_funding_h16,1198,0.1635201994991653,0.125,0.42110101927483135,0.0,-0.6954898799999998,-0.1350809,-0.036619200000000005,0.11294325,0.125,0.125,0.5023394999999997,0.7510249999999987,1.0035231000000004,1.3476709499999981,-8.179771,3.768682,
