label,n,mean,median,std,mad,p1,p5,p10,p25,p50,p75,p90,p95,p97_5,p99,min,max,partition
ETH_funding_h16,1198,0.1795542529215359,0.125,0.5476651989788255,0.023481500000000002,-0.42281665,-0.1292526,-0.0461288,0.08872825000000001,0.125,0.125,0.6194234999999995,0.8724985999999989,1.039676250000001,1.5348928599999991,-7.369307,7.2305839999999995,
ETH_funding_h17,1170,0.15361365897435897,0.125,0.21526660674341416,0.0006390000000000007,-0.28119462,-0.0976285,-0.037766100000000004,0.09794975,0.125,0.125,0.3927375000000004,0.5652941499999999,0.8051747999999943,1.0197425599999996,-0.515192,1.5177100000000001,
ETH_funding_h18,1170,0.164640958974359,0.125,0.24166550710650736,0.0,-0.30158579,-0.10643165,-0.02123009999999999,0.09755925,0.125,0.125,0.44645960000000007,0.6491990999999999,0.8084785249999947,1.1515804799999956,-0.6297200000000001,1.919659,
ETH_funding_h19,1170,0.17531541623931624,0.125,0.2549845194837781,0.014520499999999992,-0.29208211,-0.08576024999999998,-0.015455199999999997,0.0922665,0.125,0.125,0.49755830000000023,0.7064908999999996,0.8632406749999992,1.1219275299999982,-0.598237,2.3581860000000003,
ETH_funding_h20,1168,0.17032583304794524,0.125,0.25104361349886867,0.01963700000000001,-0.31608498,-0.11145195000000001,-0.0337526,0.084623,0.125,0.125,0.4945398999999997,0.7393646999999992,0.8655371250000002,1.0156246799999995,-0.573791,1.808066,
ETH_funding_h21,1170,0.1779940606837607,0.125,0.2706842437310056,0.019001000000000004,-0.33256553,-0.12242734999999999,-0.043382,0.08222725,0.125,0.125,0.5359010000000003,0.81482785,0.9550101999999998,1.1592304599999992,-0.577155,2.00552,
ETH_funding_h22,1170,0.17030596324786323,0.125,0.3168982968832051,0.021912999999999995,-0.3603289,-0.12843239999999997,-0.050735800000000005,0.07393025,0.125,0.125,0.5715656000000001,0.7846330499999998,0.9929295249999952,1.238949099999999,-3.855844,1.65631,
ETH_funding_h23,1170,0.17383992905982906,0.125,0.30899489182720813,0.019819000000000003,-0.38599317,-0.1362912,-0.05364749999999999,0.07170325,0.125,0.125,0.5277025000000022,0.7842066999999997,1.0863708249999995,1.2862798099999966,-2.295805,3.1328410000000004,
ETH_funding_weekend,8039,0.14458305908695113,0.125,0.272209235112437,0.02295399999999999,-0.40114879999999997,-0.1417071,-0.0714884,0.064961,0.125,0.125,0.4460088,0.6375375999999997,0.81661765,1.0432723999999984,-4.147689000000001,2.086143,weekend
ETH_funding_weekday,20136,0.1742178912395709,0.125,0.31483463686473706,0.008864999999999998,-0.3109345,-0.1027985,-0.0277145,0.09332275000000001,0.125,0.125,0.5051515,0.7385435,0.9602927499999999,1.238367600000003,-7.369307,7.2305839999999995,weekday
