historical_date,cmc_id,symbol,historical_rank,venue,venue_instrument_id,listing_timestamp,listing_timestamp_authority,delisting_timestamp,delisting_timestamp_authority,contract_age_days_at_t,tradable_at_t,mature_30d_at_t,historical_price_data_available,historical_funding_data_available,historical_volume_data_available,liquidity_evidence_status,contract_existence_eligible,contract_maturity_eligible,historical_data_eligible,historical_liquidity_verified,eligibility_status,exclusion_reason
2024-06-01,1,BTC,1,HYPERLIQUID,BTC-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1,BTC,1,OKX,BTC-USDT-SWAP,2019-11-12T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1662,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1,BTC,1,BINANCE_USDM,BTCUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1,BTC,1,BYBIT_LINEAR,BTCUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,1027,ETH,2,HYPERLIQUID,ETH-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1027,ETH,2,OKX,ETH-USDT-SWAP,2019-11-12T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1662,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1027,ETH,2,BINANCE_USDM,ETHUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1027,ETH,2,BYBIT_LINEAR,ETHUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,825,USDT,3,HYPERLIQUID,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no HL perp (current meta)
2024-06-01,825,USDT,3,OKX,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no OKX SWAP (current list)
