strategy_id,control_id,mapping_type,strategy_net_EV,control_net_EV,strategy_net_PF,control_net_PF,bootstrap_observed_diff,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value,F8_triggered
ALPHA1_S001,ALPHA1_C006,FAMILY_SHARED_CONTROL,-9.3879,-11.4901,0.4754,0.7746,2.1021,-11.2647,15.5572,0.3758,True
ALPHA1_S002,ALPHA1_C001,FAMILY_SHARED_CONTROL,-6.831,-8.171,0.9063,0.8577,1.34,-28.0861,30.1948,0.4691,False
ALPHA1_S003,ALPHA1_C001,FAMILY_SHARED_CONTROL,-4.3527,-8.171,0.6674,0.8577,3.8183,-9.0966,17.0211,0.2833,True
ALPHA1_S004,ALPHA1_C002,DIRECT_CONTROL_MAPPING,-9.8489,-8.171,0.5878,0.8577,-1.6778,-14.6697,11.4829,0.5938,True
ALPHA1_S005,ALPHA1_C002,FAMILY_SHARED_CONTROL,-24.6568,-8.171,0.5012,0.8577,-16.4858,-52.2942,17.7393,0.8236,True
ALPHA1_S006,ALPHA1_C002,FAMILY_SHARED_CONTROL,-9.3276,-8.171,0.7086,0.8577,-1.1565,-30.4414,28.0463,0.5291,True
ALPHA1_S007,ALPHA1_C003,DIRECT_CONTROL_MAPPING,-13.215,-19.9407,0.5698,0.7588,6.7257,-21.4998,35.289,0.3237,True
ALPHA1_S008,ALPHA1_C003,FAMILY_SHARED_CONTROL,-26.1741,-19.9407,0.4259,0.7588,-6.2334,-40.4779,28.3816,0.6302,True
ALPHA1_S009,ALPHA1_C004,DIRECT_CONTROL_MAPPING,-19.3742,-29.2006,0.4075,0.7898,9.8264,-48.3935,65.6187,0.3615,True
ALPHA1_S010,ALPHA1_C004,FAMILY_SHARED_CONTROL,-18.6456,-29.2006,0.438,0.7898,10.555,-45.963,65.7982,0.3573,True
ALPHA1_S011,ALPHA1_C005,DIRECT_CONTROL_MAPPING,-3.6521,3.1987,0.5642,1.0896,-6.8507,-22.1636,8.638,0.8098,True
ALPHA1_S012,ALPHA1_C005,FAMILY_SHARED_CONTROL,-18.4709,3.1987,0.3972,1.0896,-21.6696,-47.4699,3.3697,0.9547,True
ALPHA1_S013,ALPHA1_C006,FAMILY_SHARED_CONTROL,-0.0904,-11.4901,0.9959,0.7746,11.3996,-3.7316,26.6803,0.0659,False
