strategy_id,old_trade_count,new_trade_count,old_gross_EV,new_gross_EV,old_funding_bps,new_funding_bps,old_net_EV,new_net_EV,old_net_PF,new_net_PF,old_status,new_status
ALPHA1_S001,848,848,-0.9438,-4.4675,-9.5104,0.0795,-5.955,-9.3879,0.8016,0.4754,,FALSIFIED
ALPHA1_S002,212,212,14.4671,5.2071,-11.571,0.4619,1.9125,-6.831,1.025,0.9063,,FALSIFIED
ALPHA1_S003,174,174,5.2211,0.5628,-3.9305,0.0845,0.1985,-4.3527,1.0077,0.6674,,FALSIFIED
ALPHA1_S004,345,344,0.3508,-5.0594,-9.5092,0.2105,-4.6768,-9.8489,0.8666,0.5878,,FALSIFIED
ALPHA1_S005,45,45,-6.7066,-20.6183,-4.0229,0.9615,-11.796,-24.6568,0.7563,0.5012,,FALSIFIED
ALPHA1_S006,30,30,-16.9789,-5.141,-1.4925,0.8134,-22.0287,-9.3276,0.5838,0.7086,,FALSIFIED
ALPHA1_S007,205,205,3.1611,-8.4196,-5.6384,0.2045,-1.8664,-13.215,0.9528,0.5698,,FALSIFIED
ALPHA1_S008,76,76,-9.0912,-14.025,-2.6671,0.3509,-21.6262,-26.1741,0.6181,0.4259,,FALSIFIED
ALPHA1_S009,234,234,-9.1051,-14.5729,-4.7674,0.1987,-14.1254,-19.3742,0.6819,0.4075,,FALSIFIED
ALPHA1_S010,259,259,-0.662,-6.2479,-2.6136,0.1022,-13.1721,-18.6456,0.7063,0.438,,FALSIFIED
ALPHA1_S011,79,79,4.682,1.2988,-0.1213,0.0491,-0.3195,-3.6521,0.9867,0.5642,,FALSIFIED
ALPHA1_S012,78,78,5.6553,-6.0953,-0.8371,0.1244,-6.8554,-18.4709,0.828,0.3972,,FALSIFIED
ALPHA1_S013,431,431,3.8923,5.0301,8.4691,-0.1205,-1.088,-0.0904,0.9661,0.9959,,FALSIFIED
