gross_trading_bps,funding_bps,costs_bps,net_bps,funding_share_of_gross,funding_share_of_net,strategy_id
-3788.4048,67.4392,4240.0,-7960.9665,0.0178,0.0085,ALPHA1_S001
1103.8976,97.9283,2650.0,-1448.1725,0.0887,0.0676,ALPHA1_S002
97.9209,14.7058,870.0,-757.3731,0.1502,0.0194,ALPHA1_S003
-1740.4338,72.4269,1720.0,-3388.0079,0.0416,0.0214,ALPHA1_S004
-927.8233,43.2656,225.0,-1109.5576,0.0466,0.039,ALPHA1_S005
-154.2309,24.4034,150.0,-279.8271,0.1582,0.0872,ALPHA1_S006
-1726.01,41.9312,1025.0,-2709.0797,0.0243,0.0155,ALPHA1_S007
-1065.9,26.6696,950.0,-1989.2304,0.025,0.0134,ALPHA1_S008
-3410.0583,46.4935,1170.0,-4533.5649,0.0136,0.0103,ALPHA1_S009
-1618.1961,26.4825,3237.5,-4829.2129,0.0164,0.0055,ALPHA1_S010
102.6061,3.8812,395.0,-288.5126,0.0378,0.0135,ALPHA1_S011
-475.4348,9.7038,975.0,-1440.731,0.0204,0.0067,ALPHA1_S012
2167.959,-51.9335,2155.0,-38.9738,-0.024,-1.3325,ALPHA1_S013
