strategy_id,base_net_EV,base_net_PF,stress_net_EV,stress_net_PF,pf_decay_pct,cost_fragile
ALPHA1_S001,-9.3879,0.4754,-14.3879,0.3496,26.46,NO
ALPHA1_S002,-6.831,0.9063,-19.331,0.758,16.36,NO
ALPHA1_S003,-4.3527,0.6674,-9.3527,0.468,29.88,NO
ALPHA1_S004,-9.8489,0.5878,-14.8489,0.4663,20.67,NO
ALPHA1_S005,-24.6568,0.5012,-29.6568,0.4418,11.85,NO
ALPHA1_S006,-9.3276,0.7086,-14.3276,0.5946,16.09,NO
ALPHA1_S007,-13.215,0.5698,-18.215,0.4729,17.01,NO
ALPHA1_S008,-26.1741,0.4259,-38.6741,0.3057,28.22,NO
ALPHA1_S009,-19.3742,0.4075,-24.3742,0.3373,17.23,NO
ALPHA1_S010,-18.6456,0.438,-31.1456,0.2887,34.09,YES
ALPHA1_S011,-3.6521,0.5642,-8.6521,0.3279,41.88,YES
ALPHA1_S012,-18.4709,0.3972,-30.9709,0.2494,37.21,YES
ALPHA1_S013,-0.0904,0.9959,-5.0904,0.8019,19.48,NO
