strategy_id,raw_trade_count,effective_event_count,trades_per_month,win_rate,gross_EV,net_EV,gross_PF,net_PF,payoff_ratio,mean_R,median_R,p5_R,worst_R,max_drawdown_R,max_losing_streak,MAE,MFE,median_hold_hours,mean_hold_hours,total_transaction_cost_bps,cost_share_of_gross_edge,funding_contribution_bps,funding_share_of_net_edge,month_concentration,state_concentration,asset_concentration
ALPHA1_S001,848,169,180.85,0.1616,-4.4675,-9.3879,0.676,0.4754,2.4674,-0.0939,-0.05,-0.8646,-4.4896,81.8724,33,-4.4519,4.8099,1,1.88,4240.0,1.1192,0.0795,-0.0085,0.2594,0.0,0.5083
ALPHA1_S002,212,87,46.54,0.4575,5.2071,-6.831,1.0783,0.9063,1.0745,-0.0683,-0.125,-3.2768,-9.111,37.8182,7,-8.9894,8.5335,10,11.54,2650.0,2.4006,0.4619,-0.0676,0.2736,0.0,0.5094
ALPHA1_S003,174,96,39.95,0.1034,0.5628,-4.3527,1.0649,0.6674,5.7844,-0.0435,-0.05,-0.4295,-2.427,11.2647,21,-2.3859,3.7493,1,1.48,870.0,8.8847,0.0845,-0.0194,0.3793,0.0,0.5172
ALPHA1_S004,344,140,77.33,0.2238,-5.0594,-9.8489,0.749,0.5878,2.0383,-0.0985,-0.05,-1.2713,-4.4896,39.6665,19,-4.4519,3.6968,2,2.4,1720.0,0.9883,0.2105,-0.0214,0.2936,0.0,0.5349
ALPHA1_S005,45,30,17.47,0.2667,-20.6183,-24.6568,0.5569,0.5012,1.3783,-0.2466,-0.0971,-1.6285,-3.9453,13.1363,8,-3.9222,2.6524,3,4.78,225.0,0.2425,0.9615,-0.039,0.3778,0.0,0.5778
ALPHA1_S006,30,25,8.35,0.3333,-5.141,-9.3276,0.8238,0.7086,1.4171,-0.0933,-0.05,-1.4076,-2.1379,4.3402,5,-2.1033,1.6649,4,4.1,150.0,0.9726,0.8134,-0.0872,0.3667,0.0,0.5333
ALPHA1_S007,205,62,46.08,0.2341,-8.4196,-13.215,0.6884,0.5698,1.8636,-0.1322,-0.05,-2.2354,-4.4305,34.1634,15,-4.381,2.8199,1,2.32,1025.0,0.5939,0.2045,-0.0155,0.4537,0.0,0.5854
ALPHA1_S008,76,22,17.85,0.1974,-14.025,-26.1741,0.6087,0.4259,1.7319,-0.2617,-0.125,-2.7422,-4.5055,23.2361,17,-4.381,2.8199,2,2.62,950.0,0.8913,0.3509,-0.0134,0.4868,0.0,0.5
ALPHA1_S009,234,132,50.22,0.1923,-14.5729,-19.3742,0.4951,0.4075,1.7113,-0.1937,-0.05,-2.1032,-8.8746,48.0461,27,-8.8823,3.8029,1,2.98,1170.0,0.3431,0.1987,-0.0103,0.2564,0.0,1.0
ALPHA1_S010,259,137,55.58,0.1622,-6.2479,-18.6456,0.7288,0.438,2.2631,-0.1865,-0.125,-1.7739,-4.206,50.4026,30,-4.1464,5.7191,1,2.42,3237.5,2.0007,0.1022,-0.0055,0.2587,0.0,1.0
ALPHA1_S011,79,70,18.44,0.1013,1.2988,-3.6521,1.332,0.5642,5.0073,-0.0365,-0.05,-0.5091,-1.1653,5.0187,25,-1.1169,1.2422,1,1.27,395.0,3.8497,0.0491,-0.0135,0.2911,0.0,0.557
ALPHA1_S012,78,67,18.2,0.1923,-6.0953,-18.4709,0.708,0.3972,1.6684,-0.1847,-0.125,-1.2297,-5.4473,19.5605,11,-5.3248,3.7159,1,2.0,975.0,2.0508,0.1244,-0.0067,0.2949,0.0,0.5641
ALPHA1_S013,431,123,91.32,0.3318,5.0301,-0.0904,1.2648,0.9959,2.0058,-0.0009,-0.05,-1.1144,-4.7106,13.8256,17,-4.6518,4.8837,3,3.75,2155.0,0.994,-0.1205,1.3325,0.2599,0.0,1.0
