partition,variant,n,continuation_6,rejection_6,median_displacement_6,n_next_state,temporal_class
2023-07-03..2023-12-31,A0,1764,0.43303064699205446,0.7956867196367764,-0.15595972904620548,769,UNSTABLE
2023-07-03..2023-12-31,A1,675,0.5727002967359051,0.6320474777448071,-0.20303120334148445,250,STABLE
2023-07-03..2023-12-31,A2_2of3,486,0.6556701030927835,0.5216494845360825,-0.16129300663388027,182,STABLE
2023-07-03..2023-12-31,A2_3of4,388,0.7216494845360825,0.42010309278350516,-0.1492401495379723,158,STABLE
2023-07-03..2023-12-31,A2_3of5,388,0.7216494845360825,0.42010309278350516,-0.1492401495379723,158,STABLE
2023-07-03..2023-12-31,A3_n2,486,0.6556701030927835,0.5216494845360825,-0.16129300663388027,182,STABLE
2023-07-03..2023-12-31,A3_n3,388,0.7216494845360825,0.42010309278350516,-0.1492401495379723,158,STABLE
2023-07-03..2023-12-31,A3_n4,343,0.7667638483965015,0.3673469387755102,-0.0497018323216463,132,STABLE
2023-07-03..2023-12-31,A4_R1,419,0.6220095693779905,0.562200956937799,-0.1685862708755424,157,STABLE
2023-07-03..2023-12-31,A4_R2,294,0.5767918088737202,0.6450511945392492,-0.32047783334595153,99,STABLE
2023-07-03..2023-12-31,A5,1089,0.34650735294117646,0.8970588235294118,-0.13457878678939184,519,STABLE
2024-01-01..2024-06-30,A0,1304,0.521505376344086,0.7327188940092166,0.24742487611510702,687,UNSTABLE
2024-01-01..2024-06-30,A1,577,0.6330434782608696,0.5721739130434783,0.182807314478858,255,STABLE
2024-01-01..2024-06-30,A2_2of3,425,0.7382075471698113,0.4221698113207547,0.20087058230885074,190,STABLE
2024-01-01..2024-06-30,A2_3of4,358,0.7899159663865546,0.33613445378151263,0.08951293717412748,149,STABLE
2024-01-01..2024-06-30,A2_3of5,358,0.7899159663865546,0.33613445378151263,0.08951293717412748,149,STABLE
2024-01-01..2024-06-30,A3_n2,425,0.7382075471698113,0.4221698113207547,0.20087058230885074,190,STABLE
2024-01-01..2024-06-30,A3_n3,358,0.7899159663865546,0.33613445378151263,0.08951293717412748,149,STABLE
2024-01-01..2024-06-30,A3_n4,317,0.8201892744479495,0.2902208201892745,0.0,134,STABLE
2024-01-01..2024-06-30,A4_R1,362,0.7091412742382271,0.47368421052631576,0.09870701472387328,161,STABLE
2024-01-01..2024-06-30,A4_R2,254,0.6798418972332015,0.5177865612648221,0.09870701472387328,105,STABLE
2024-01-01..2024-06-30,A5,727,0.4332874828060523,0.859697386519945,0.27676707782221105,432,STABLE
2024-07-01..2024-12-31,A0,1759,0.43874643874643876,0.784045584045584,-0.10789726599307753,771,UNSTABLE
2024-07-01..2024-12-31,A1,756,0.5883134130146083,0.6334661354581673,-0.11924191604612439,288,STABLE
2024-07-01..2024-12-31,A2_2of3,499,0.6659959758551308,0.46277665995975853,-0.23953745834804513,188,STABLE
2024-07-01..2024-12-31,A2_3of4,425,0.7186761229314421,0.3947990543735225,0.03029000738105986,176,STABLE
2024-07-01..2024-12-31,A2_3of5,425,0.7186761229314421,0.3947990543735225,0.03029000738105986,176,STABLE
2024-07-01..2024-12-31,A3_n2,499,0.6659959758551308,0.46277665995975853,-0.23953745834804513,188,STABLE
2024-07-01..2024-12-31,A3_n3,425,0.7186761229314421,0.3947990543735225,0.03029000738105986,176,STABLE
2024-07-01..2024-12-31,A3_n4,369,0.7445652173913043,0.35597826086956524,-0.1910262517195958,149,STABLE
2024-07-01..2024-12-31,A4_R1,417,0.6231884057971014,0.5120772946859904,-0.24055688980896756,150,STABLE
2024-07-01..2024-12-31,A4_R2,290,0.5972222222222222,0.5555555555555556,-0.14922898908927834,107,STABLE
2024-07-01..2024-12-31,A5,1003,0.3263473053892216,0.8972055888223552,-0.10563819704518085,483,STABLE
