stage,variant,boundary,horizon,acc_n,acc_p,acc_ci_lo,acc_ci_hi,a0_n,a0_p,a0_ci_lo,a0_ci_hi,delta,delta_lo,delta_hi,matched_n,matched_p_a0,matched_delta,failed_n,failed_p_cont,failed_ci_lo,failed_ci_hi,n_d+1,p_cont_d+1,delta_d+1,delta_d+1_lo,delta_d+1_hi,n_d-1,p_cont_d-1,delta_d-1,delta_d-1_lo,delta_d-1_hi
confirmation,A1_CLOSE,1.0,6,259,0.6216216216216216,0.5611861600694767,0.6785020545777318,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.09843052700195554,0.024257884972170702,0.1707478814621671,259,0.4942084942084942,0.12741312741312738,280,0.43214285714285716,0.37542460014470136,0.49069784666809846,156.0,0.5833333333333334,0.07346491228070184,-0.02716346153846156,0.16685644399460178,103.0,0.6796116504854369,0.1391861185705433,0.021345796323073714,0.24665978103697578
confirmation,A2_2OF3,1.0,6,68,0.6029411764705882,0.48416055016632126,0.7107129981971936,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.07975008185092214,-0.043778647822765485,0.20468869365928188,68,0.5294117647058824,0.07352941176470584,117,0.15384615384615385,0.09958656287229517,0.23011368412498184,51.0,0.5686274509803921,0.05875902992776061,-0.09165699174406601,0.202592879256966,17.0,0.7058823529411765,0.1654568210262829,-0.07843554443053818,0.3837672090112638
confirmation,A2_3OF4,1.0,6,15,0.7333333333333333,0.4804956594401943,0.8910254667430761,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.21014223871366722,-0.04724799010513292,0.42127396413110696,15,0.6,0.1333333333333333,138,0.15217391304347827,0.10173687918594745,0.22145113087705984,14.0,0.7142857142857143,0.20441729323308278,-0.046052631578947345,0.4361254699248118,1.0,1.0,0.4595744680851064,0.39574468085106385,0.5234042553191489
confirmation,A2_3OF5,1.0,6,19,0.6842105263157895,0.46010407675327475,0.8463562091220773,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.16101943169612343,-0.056928034371643454,0.3548481593594376,19,0.5263157894736842,0.1578947368421053,136,0.14705882352941177,0.09725925047472692,0.21624905521956658,17.0,0.6470588235294118,0.13719040247678027,-0.0948142414860681,0.3691950464396284,2.0,1.0,0.4595744680851064,0.3998936170212766,0.5234042553191489
confirmation,A3_PERS_2,1.0,6,44,0.6363636363636364,0.4886637687904344,0.762164702911798,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.11317254174397029,-0.029243970315398812,0.2588126159554731,44,0.5681818181818182,0.06818181818181812,223,0.2600896860986547,0.20692097308133406,0.3213839472084896,33.0,0.5757575757575758,0.06588915470494427,-0.12182765151515149,0.23975029904306214,11.0,0.8181818181818182,0.2777562862669246,0.017688588007736924,0.4765957446808511
confirmation,A3_PERS_3,1.0,6,5,0.6,0.2307242812760128,0.882379225767352,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.07680890538033391,-0.3435992578849722,0.4897959183673469,5,0.4,0.19999999999999996,256,0.25,0.20091686568173925,0.3064750625311965,5.0,0.6,0.09013157894736845,-0.3394736842105263,0.5032894736842105,0.0,,,,
confirmation,A3_PERS_4,1.0,6,1,1.0,0.20654931437723745,1.0,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,0.47680890538033394,0.43413729128014844,0.5176252319109462,1,0.0,1.0,260,0.24615384615384617,0.1977403402993889,0.3019592118862029,1.0,1.0,0.4901315789473685,0.4342105263157895,0.5460526315789473,0.0,,,,
confirmation,A4_RETEST_HOLD,1.0,6,4,0.25,0.04558726080970055,0.6993581574175981,539,0.5231910946196661,0.48101073479058903,0.5650432273631341,-0.27319109461966606,-0.5547309833024119,0.22866419294990725,4,0.5,-0.25,377,0.3076923076923077,0.26323785775401887,0.3560262831590949,4.0,0.25,-0.2598684210526315,-0.5493421052631579,0.2402138157894733,0.0,,,,
confirmation,A1_CLOSE,2.0,6,79,0.6075949367088608,0.4973399088270549,0.7078713494246327,202,0.4603960396039604,0.39304086205983224,0.5292294128805655,0.14719889710490036,0.012882253415214921,0.2693319964907883,79,0.5063291139240507,0.10126582278481011,123,0.36585365853658536,0.28599442793442076,0.45383827103627206,45.0,0.6,0.16451612903225804,0.002997311827956961,0.3322580645161291,34.0,0.6176470588235294,0.11764705882352944,-0.07317119155354446,0.2978883861236802
confirmation,A2_2OF3,2.0,6,4,0.75,0.30064184258240184,0.9544127391902995,202,0.4603960396039604,0.39304086205983224,0.5292294128805655,0.2896039603960396,-0.20544554455445546,0.5891089108910892,4,0.25,0.5,95,0.11578947368421053,0.06589857581116428,0.19554494322443078,3.0,0.6666666666666666,0.2311827956989247,-0.43548387096774194,0.6290322580645161,1.0,1.0,0.5,0.3846153846153846,0.6025641025641026
