variant,horizon,n,mean_disp,median_disp
A0,1,3995,-0.030955027439062865,-0.0168655855697967
A0,2,3994,-0.052451556193935676,0.0293645783761685
A0,3,3993,-0.03762848460732141,0.022455576544001
A0,6,3991,-0.024541834240802314,-0.0099494044709825
A0,12,3983,0.04853311460281801,0.0687012722951655
A0,24,3978,0.24862980534824408,0.13871916524143418
A1,1,1648,-0.023654842196867507,-0.0389999998130482
A1,2,1647,-0.05698126029592255,-0.0203924305294916
A1,3,1647,-0.04401873826335048,0.0
A1,6,1645,0.010741182691645748,-0.0243573331065909
A1,12,1639,-0.026416051121312505,0.0332965563980732
A1,24,1636,0.10621778837416507,-0.01534210569211465
A2_2of3,1,1169,-0.053121451718764395,0.0
A2_2of3,2,1169,0.012864330078614618,0.0657509694853604
A2_2of3,3,1169,0.009571739353005546,0.0949513438389617
A2_2of3,6,1168,0.03120823314749046,0.03135462561122075
A2_2of3,12,1165,-0.07736022745374273,0.0844676495207658
A2_2of3,24,1163,0.032516857317485985,-0.0079296522406984
A2_3of4,1,967,0.05771296735632246,0.0520788102006962
A2_3of4,2,967,0.04188695874049971,0.0105128281482072
A2_3of4,3,967,0.08458105980876632,0.0457273001041224
A2_3of4,6,965,0.06853867917303677,-0.0418269338766137
A2_3of4,12,963,-0.1222659196014066,0.0914432397690909
A2_3of4,24,962,-0.11190140557375075,0.08774511581211974
A2_3of5,1,967,0.05771296735632246,0.0520788102006962
A2_3of5,2,967,0.04188695874049971,0.0105128281482072
A2_3of5,3,967,0.08458105980876632,0.0457273001041224
A2_3of5,6,965,0.06853867917303677,-0.0418269338766137
A2_3of5,12,963,-0.1222659196014066,0.0914432397690909
A2_3of5,24,962,-0.11190140557375075,0.08774511581211974
A3_n2,1,1169,-0.053121451718764395,0.0
A3_n2,2,1169,0.012864330078614618,0.0657509694853604
A3_n2,3,1169,0.009571739353005546,0.0949513438389617
A3_n2,6,1168,0.03120823314749046,0.03135462561122075
A3_n2,12,1165,-0.07736022745374273,0.0844676495207658
A3_n2,24,1163,0.032516857317485985,-0.0079296522406984
A3_n3,1,967,0.05771296735632246,0.0520788102006962
A3_n3,2,967,0.04188695874049971,0.0105128281482072
A3_n3,3,967,0.08458105980876632,0.0457273001041224
A3_n3,6,965,0.06853867917303677,-0.0418269338766137
A3_n3,12,963,-0.1222659196014066,0.0914432397690909
A3_n3,24,962,-0.11190140557375075,0.08774511581211974
A3_n4,1,852,-0.08806716922704588,-0.06376263152885775
A3_n4,2,852,-0.009790136861915467,-0.036048331497043645
A3_n4,3,852,-0.022667927698578744,-0.0282070175147643
A3_n4,6,851,0.014932131057373144,-0.0778243659339215
A3_n4,12,849,-0.2540953544599479,-0.0671424843216819
A3_n4,24,849,-0.14448220604807802,0.1780741714451742
A4_R1,1,995,-0.07373316650940262,0.0113427097357149
A4_R1,2,995,-0.0235710417577177,0.0519014839285307
A4_R1,3,995,0.01302876809311877,0.0610023826035497
A4_R1,6,993,-0.04061951853087726,0.0
A4_R1,12,992,-0.09826673152776413,0.04254064738314245
A4_R1,24,990,-0.05540876119547713,-0.047377276793765105
A4_R2,1,691,-0.14441948501319365,0.01035407056086
A4_R2,2,691,-0.10072618892862283,0.0398587153197255
A4_R2,3,691,-0.05737781797327527,0.0723107760318416
A4_R2,6,690,-0.21808170775280683,-0.0604387372508596
A4_R2,12,690,-0.24933056106051452,0.00844748418283505
A4_R2,24,688,-0.16913176257731782,-0.11942431360831235
A5,1,2347,-0.03608102031470752,0.0
A5,2,2347,-0.04927285033284816,0.0699539777080109
A5,3,2346,-0.033142232360313786,0.0349918967099216
A5,6,2346,-0.04928205711116769,0.0
A5,12,2344,0.1009399757896141,0.0989461458215745
A5,24,2342,0.3481114704932454,0.2342293174247379
