variant,side,n,continuation_6,rejection_6,median_displacement_6,continuation_symmetry_p,compatible_with_symmetry
A0,positive,1454,0.47139903514817366,0.7615437629221227,0.0440888236193475,0.5591262425545604,True
A0,negative,2541,0.46181102362204723,0.7795275590551181,-0.0416394930168894,0.5591262425545604,True
A1,positive,594,0.6131756756756757,0.5945945945945946,0.0670310374984738,0.5043672582386385,True
A1,negative,1054,0.5963912630579298,0.6210826210826211,-0.0847046487413176,0.5043672582386385,True
A2_2of3,positive,430,0.6962616822429907,0.45794392523364486,0.0379381456763685,0.8759732238954996,True
A2_2of3,negative,740,0.6918918918918919,0.48243243243243245,0.03060589543505595,0.8759732238954996,True
A2_3of4,positive,354,0.7648725212464589,0.3654390934844193,0.0581102904467978,0.39433075924136185,True
A2_3of4,negative,613,0.7401960784313726,0.39052287581699346,-0.07666806952561125,0.39433075924136185,True
A2_3of5,positive,354,0.7648725212464589,0.3654390934844193,0.0581102904467978,0.39433075924136185,True
A2_3of5,negative,613,0.7401960784313726,0.39052287581699346,-0.07666806952561125,0.39433075924136185,True
A3_n2,positive,430,0.6962616822429907,0.45794392523364486,0.0379381456763685,0.8759732238954996,True
A3_n2,negative,740,0.6918918918918919,0.48243243243243245,0.03060589543505595,0.8759732238954996,True
A3_n3,positive,354,0.7648725212464589,0.3654390934844193,0.0581102904467978,0.39433075924136185,True
A3_n3,negative,613,0.7401960784313726,0.39052287581699346,-0.07666806952561125,0.39433075924136185,True
A3_n4,positive,315,0.8152866242038217,0.31210191082802546,0.1681059570624046,0.14318608218151785,True
A3_n4,negative,537,0.7728119180633147,0.3370577281191806,-0.2320844856573304,0.14318608218151785,True
A4_R1,positive,376,0.6711229946524064,0.4919786096256685,0.06927015995929645,0.4852452897264814,True
A4_R1,negative,620,0.6494345718901454,0.5395799676898223,-0.0408796249571239,0.4852452897264814,True
A4_R2,positive,259,0.6381322957198443,0.5680933852140078,-0.0273619141839078,0.5727637541186563,True
A4_R2,negative,433,0.6166281755196305,0.5796766743648961,-0.0842693065174901,0.5727637541186563,True
A5,positive,860,0.37369033760186265,0.8766006984866124,0.0352074238071478,0.7284371890366566,True
A5,negative,1487,0.3665097511768662,0.8917283120376597,-0.0239309685175736,0.7284371890366566,True
