variant,boundary,group,stage,bar,at_risk,events,censored,hazard,survival
A3_PERS_3,1.0,failed,development,6,14,1,0,0.07142857142857142,0.03703703703703705
A3_PERS_3,1.0,failed,development,12,8,0,0,0.0,0.0227920227920228
A3_PERS_3,1.0,failed,development,24,0,0,0,,0.0
A3_PERS_4,1.0,failed,development,1,362,315,0,0.8701657458563536,0.12983425414364635
A3_PERS_4,1.0,failed,development,2,47,17,0,0.3617021276595745,0.08287292817679555
A3_PERS_4,1.0,failed,development,3,30,7,0,0.23333333333333334,0.06353591160220992
A3_PERS_4,1.0,failed,development,6,15,1,0,0.06666666666666667,0.03867403314917125
A3_PERS_4,1.0,failed,development,12,9,0,0,0.0,0.024861878453038656
A3_PERS_4,1.0,failed,development,24,0,0,0,,0.0
A4_RETEST_HOLD,1.0,accepted,development,1,6,1,0,0.16666666666666666,0.8333333333333334
A4_RETEST_HOLD,1.0,accepted,development,2,5,2,0,0.4,0.5
A4_RETEST_HOLD,1.0,accepted,development,3,3,0,0,0.0,0.5
A4_RETEST_HOLD,1.0,accepted,development,6,1,0,0,0.0,0.16666666666666669
A4_RETEST_HOLD,1.0,accepted,development,12,1,0,0,0.0,0.16666666666666669
A4_RETEST_HOLD,1.0,accepted,development,24,0,0,0,,0.0
A4_RETEST_HOLD,1.0,failed,development,1,530,473,0,0.8924528301886793,0.10754716981132073
A4_RETEST_HOLD,1.0,failed,development,2,57,22,0,0.38596491228070173,0.06603773584905659
A4_RETEST_HOLD,1.0,failed,development,3,35,9,0,0.2571428571428571,0.049056603773584895
A4_RETEST_HOLD,1.0,failed,development,6,17,3,0,0.17647058823529413,0.026415094339622636
A4_RETEST_HOLD,1.0,failed,development,12,8,0,0,0.0,0.015094339622641506
A4_RETEST_HOLD,1.0,failed,development,24,1,1,0,1.0,0.0
A1_CLOSE,2.0,accepted,development,1,85,37,0,0.43529411764705883,0.5647058823529412
A1_CLOSE,2.0,accepted,development,2,48,12,0,0.25,0.4235294117647059
A1_CLOSE,2.0,accepted,development,3,36,5,0,0.1388888888888889,0.3647058823529412
A1_CLOSE,2.0,accepted,development,6,22,1,0,0.045454545454545456,0.24705882352941175
A1_CLOSE,2.0,accepted,development,12,19,0,0,0.0,0.22352941176470584
A1_CLOSE,2.0,accepted,development,24,0,0,0,,0.0
A1_CLOSE,2.0,failed,development,1,137,107,0,0.781021897810219,0.21897810218978098
A1_CLOSE,2.0,failed,development,2,30,9,0,0.3,0.15328467153284667
A1_CLOSE,2.0,failed,development,3,21,4,0,0.19047619047619047,0.12408759124087587
A1_CLOSE,2.0,failed,development,6,8,1,0,0.125,0.05109489051094889
A1_CLOSE,2.0,failed,development,12,5,0,0,0.0,0.036496350364963494
A1_CLOSE,2.0,failed,development,24,1,1,0,1.0,0.0
A2_2OF3,2.0,accepted,development,1,9,5,0,0.5555555555555556,0.4444444444444444
A2_2OF3,2.0,accepted,development,2,4,0,0,0.0,0.4444444444444444
A2_2OF3,2.0,accepted,development,3,4,0,0,0.0,0.4444444444444444
A2_2OF3,2.0,accepted,development,6,3,0,0,0.0,0.3333333333333333
A2_2OF3,2.0,accepted,development,12,3,0,0,0.0,0.3333333333333333
A2_2OF3,2.0,accepted,development,24,0,0,0,,0.0
A2_2OF3,2.0,failed,development,1,138,134,0,0.9710144927536232,0.02898550724637683
A2_2OF3,2.0,failed,development,2,4,3,0,0.75,0.007246376811594207
A2_2OF3,2.0,failed,development,3,1,0,0,0.0,0.007246376811594207
A2_2OF3,2.0,failed,development,6,1,0,0,0.0,0.007246376811594207
A2_2OF3,2.0,failed,development,12,0,0,0,,0.0
A2_2OF3,2.0,failed,development,24,0,0,0,,0.0
A2_3OF4,2.0,accepted,development,1,1,1,0,1.0,0.0
A2_3OF4,2.0,accepted,development,2,0,0,0,,0.0
A2_3OF4,2.0,accepted,development,3,0,0,0,,0.0
A2_3OF4,2.0,accepted,development,6,0,0,0,,0.0
A2_3OF4,2.0,accepted,development,12,0,0,0,,0.0
A2_3OF4,2.0,accepted,development,24,0,0,0,,0.0
A2_3OF4,2.0,failed,development,1,147,143,0,0.9727891156462585,0.027210884353741527
A2_3OF4,2.0,failed,development,2,4,3,0,0.75,0.006802721088435382
A2_3OF4,2.0,failed,development,3,1,0,0,0.0,0.006802721088435382
A2_3OF4,2.0,failed,development,6,1,0,0,0.0,0.006802721088435382
A2_3OF4,2.0,failed,development,12,0,0,0,,0.0
A2_3OF4,2.0,failed,development,24,0,0,0,,0.0
A2_3OF5,2.0,accepted,development,1,1,1,0,1.0,0.0
A2_3OF5,2.0,accepted,development,2,0,0,0,,0.0
A2_3OF5,2.0,accepted,development,3,0,0,0,,0.0
A2_3OF5,2.0,accepted,development,6,0,0,0,,0.0
A2_3OF5,2.0,accepted,development,12,0,0,0,,0.0
A2_3OF5,2.0,accepted,development,24,0,0,0,,0.0
A2_3OF5,2.0,failed,development,1,147,143,0,0.9727891156462585,0.027210884353741527
A2_3OF5,2.0,failed,development,2,4,3,0,0.75,0.006802721088435382
A2_3OF5,2.0,failed,development,3,1,0,0,0.0,0.006802721088435382
A2_3OF5,2.0,failed,development,6,1,0,0,0.0,0.006802721088435382
A2_3OF5,2.0,failed,development,12,0,0,0,,0.0
A2_3OF5,2.0,failed,development,24,0,0,0,,0.0
A3_PERS_2,2.0,accepted,development,1,4,3,0,0.75,0.25
A3_PERS_2,2.0,accepted,development,2,1,0,0,0.0,0.25
A3_PERS_2,2.0,accepted,development,3,1,0,0,0.0,0.25
A3_PERS_2,2.0,accepted,development,6,0,0,0,,0.0
A3_PERS_2,2.0,accepted,development,12,0,0,0,,0.0
A3_PERS_2,2.0,accepted,development,24,0,0,0,,0.0
A3_PERS_2,2.0,failed,development,1,167,158,0,0.9461077844311377,0.053892215568862256
A3_PERS_2,2.0,failed,development,2,9,4,0,0.4444444444444444,0.02994011976047903
A3_PERS_2,2.0,failed,development,3,5,0,0,0.0,0.02994011976047903
A3_PERS_2,2.0,failed,development,6,4,0,0,0.0,0.023952095808383228
A3_PERS_2,2.0,failed,development,12,3,0,0,0.0,0.01796407185628742
A3_PERS_2,2.0,failed,development,24,1,1,0,1.0,0.0
A3_PERS_3,2.0,accepted,development,1,1,1,0,1.0,0.0
A3_PERS_3,2.0,accepted,development,2,0,0,0,,0.0
A3_PERS_3,2.0,accepted,development,3,0,0,0,,0.0
A3_PERS_3,2.0,accepted,development,6,0,0,0,,0.0
