stage,variant,boundary,n,n_variant,lr_p,coef,coef_p,dev_null,dev_full,converged,bh_q
development,A1_CLOSE,1.0,1135,366,0.4577966539459948,-0.11001567456066952,0.2942316166793062,1418.8853156629257,1418.3340393306203,True,0.726897261159832
development,A2_2OF3,1.0,867,98,0.8169694364670822,0.05495492135838883,0.7436840075015363,1085.4762599372878,1085.4226933443606,True,0.8169694364670822
development,A2_3OF4,1.0,789,20,0.1756281863081483,-0.6406882945852533,0.05640471728289054,992.8704456113344,991.0362109508992,True,0.614698652078519
development,A2_3OF5,1.0,800,31,0.3085411656104172,-0.3944881459598634,0.14911679763783336,1006.6269650490717,1005.5900548387172,True,0.7199293864243068
development,A3_PERS_2,1.0,825,56,0.51921232939988,0.1956238677519567,0.36506039967178916,1035.9667150199416,1035.5512573585645,True,0.726897261159832
development,A3_PERS_3,1.0,779,10,0.7588231229531816,-0.20938926753983098,0.6621478511370893,977.186449660442,977.0921843252545,True,0.8169694364670822
development,A4_RETEST_HOLD,1.0,779,10,0.06448987240136925,1.6418198476019008,0.030252729468367434,975.6557730651077,972.2377928967344,True,0.4514291068095847
development,A1_CLOSE,2.0,383,118,0.814818033157467,0.061436930689563116,0.7404757157171766,475.18601750036896,475.131160811588,True,0.814818033157467
development,A2_2OF3,2.0,279,14,0.6798834566277119,-0.2438614649494265,0.5578815481119741,341.79926503838215,341.6290079843465,True,0.7931973660656638
development,A2_3OF4,2.0,266,1,0.1927246333587965,-45.762599364731216,0.9999483611074509,327.5413619292052,325.84469641687315,True,0.3372681083778939
development,A2_3OF5,2.0,266,1,0.1927246333587965,-45.762599364731216,0.9999483611074509,327.5413619292052,325.84469641687315,True,0.3372681083778939
development,A3_PERS_2,2.0,273,8,0.5504522646541092,-0.44606900398899363,0.39713378926763987,335.03529604244216,334.67878846545307,True,0.770633170515753
development,A3_PERS_3,2.0,266,1,0.1927246333587965,-45.762599364731216,0.9999483611074509,327.5413619292052,325.84469641687315,True,0.3372681083778939
development,A4_RETEST_HOLD,2.0,267,2,0.13674281711535677,45.14801741622189,0.9999279527293492,328.05893156056203,325.8446964168734,True,0.3372681083778939
