stage,boundary,outcome_class,from_state,to_state,count,prob
development,1.0,accepted,0,0,0,
development,1.0,accepted,0,1,0,
development,1.0,accepted,0,2,0,
development,1.0,accepted,0,3,0,
development,1.0,accepted,0,4,0,
development,1.0,accepted,1,0,69,0.3165137614678899
development,1.0,accepted,1,1,56,0.25688073394495414
development,1.0,accepted,1,2,49,0.22477064220183487
development,1.0,accepted,1,3,27,0.12385321100917432
development,1.0,accepted,1,4,17,0.0779816513761468
development,1.0,accepted,2,0,12,0.18461538461538463
development,1.0,accepted,2,1,12,0.18461538461538463
development,1.0,accepted,2,2,15,0.23076923076923078
development,1.0,accepted,2,3,16,0.24615384615384617
development,1.0,accepted,2,4,10,0.15384615384615385
development,1.0,accepted,3,0,0,0.0
development,1.0,accepted,3,1,4,0.3076923076923077
development,1.0,accepted,3,2,1,0.07692307692307693
development,1.0,accepted,3,3,4,0.3076923076923077
development,1.0,accepted,3,4,4,0.3076923076923077
development,1.0,accepted,4,0,0,0.0
development,1.0,accepted,4,1,2,0.5
development,1.0,accepted,4,2,0,0.0
development,1.0,accepted,4,3,1,0.25
development,1.0,accepted,4,4,1,0.25
development,1.0,touch_only,0,0,116,0.3778501628664495
development,1.0,touch_only,0,1,85,0.2768729641693811
development,1.0,touch_only,0,2,58,0.18892508143322476
development,1.0,touch_only,0,3,32,0.10423452768729642
development,1.0,touch_only,0,4,16,0.05211726384364821
development,1.0,touch_only,1,0,7,0.2692307692307692
development,1.0,touch_only,1,1,9,0.34615384615384615
development,1.0,touch_only,1,2,6,0.23076923076923078
development,1.0,touch_only,1,3,3,0.11538461538461539
development,1.0,touch_only,1,4,1,0.038461538461538464
development,1.0,touch_only,2,0,5,0.7142857142857143
development,1.0,touch_only,2,1,0,0.0
development,1.0,touch_only,2,2,1,0.14285714285714285
development,1.0,touch_only,2,3,0,0.0
development,1.0,touch_only,2,4,1,0.14285714285714285
development,1.0,touch_only,3,0,0,0.0
development,1.0,touch_only,3,1,2,0.5
development,1.0,touch_only,3,2,1,0.25
development,1.0,touch_only,3,3,1,0.25
development,1.0,touch_only,3,4,0,0.0
development,1.0,touch_only,4,0,2,1.0
development,1.0,touch_only,4,1,0,0.0
development,1.0,touch_only,4,2,0,0.0
development,1.0,touch_only,4,3,0,0.0
development,1.0,touch_only,4,4,0,0.0
development,1.0,failed,0,0,13,0.3939393939393939
development,1.0,failed,0,1,13,0.3939393939393939
development,1.0,failed,0,2,3,0.09090909090909091
development,1.0,failed,0,3,2,0.06060606060606061
