variant,n_events,n_episodes,coverage,continuation_lift_h6,incremental_info_sig_fdr,incremental_info_coef,temporal_class,confirmation_delta,confirmation_n,grade
A0,3995,965,HIGH_COVERAGE,0.0,False,,UNSTABLE,-0.0052152379455752,1043,D
A1,1648,792,HIGH_COVERAGE,0.13713469287660157,False,0.08626772084391966,STABLE,-0.0240422750354791,468,B
A2_2of3,1170,684,HIGH_COVERAGE,0.22819623261928385,True,0.22111926501567242,STABLE,-0.0254238481521328,344,A
A2_3of4,967,613,HIGH_COVERAGE,0.28392587986181345,True,0.3157132699323714,STABLE,-0.0412059275453056,291,A
A2_3of5,967,613,HIGH_COVERAGE,0.28392587986181345,True,0.3157132699323714,STABLE,-0.0412059275453056,291,A
A3_n2,1170,684,HIGH_COVERAGE,0.22819623261928385,True,0.22111926501567242,STABLE,-0.0254238481521328,344,A
A3_n3,967,613,HIGH_COVERAGE,0.28392587986181345,True,0.3157132699323714,STABLE,-0.0412059275453056,291,A
A3_n4,852,567,HIGH_COVERAGE,0.3231872182445756,True,0.350479972367577,STABLE,-0.0463007529311286,254,A
A4_R1,996,623,HIGH_COVERAGE,0.19230630449225766,True,0.1922087079048466,STABLE,-0.0089298463736853,310,A
A4_R2,692,498,HIGH_COVERAGE,0.1593407630937726,False,0.10468590318636804,STABLE,-0.0128285536559981,221,B
A5,2347,885,HIGH_COVERAGE,-0.09615795813384892,False,,STABLE,-0.0049827690388913,575,D
