event_id,decision_id,family,direction,decision,split,pos,requested_f_pct,admitted_f_pct,model_heat_before,model_heat_after,one_R_budget_account_ccy,target_notional_account_ccy,one_R_price_move_bps,known_time,translation_status,translation_id,account_snapshot_id
EUR_ORIGIN_202307101100,DEC-EUR_ORIGIN_202307101100,A,LONG,ACCEPT_FULL,inner_sel,0.442757,0.7,0.7,0.0,0.7,0.007,1.265284653874,55.323519324801,2023-07-10T13:00:00+00:00,ECONOMIC_TARGET,TR-ee16a46a01d716091c3ec56e631bc22f,SNP-b441d8c217904c72c7bd0700f292a1e8
EUR_ORIGIN_202307111000,DEC-EUR_ORIGIN_202307111000,B,SHORT,ACCEPT_FULL,inner_sel,0.74633,0.3,0.3,0.0,0.3,0.003,0.914063433503,32.820479301993,2023-07-11T11:00:00+00:00,ECONOMIC_TARGET,TR-eff94f13e3746d92ab5a8d009f9dbc8b,SNP-d8ae20f2d79b8c32cb08115157205649
EUR_ORIGIN_202307111400,DEC-EUR_ORIGIN_202307111400,B,SHORT,ACCEPT_FULL,inner_sel,1.131426,0.3,0.3,0.3,0.6,0.003,1.385707694242,21.649587517382,2023-07-11T15:00:00+00:00,ECONOMIC_TARGET,TR-fc9e9a1ad82ff47db99365e6bae61b45,SNP-e8ed135d3019daab9c05da6aec97518c
EUR_ORIGIN_202307121500,DEC-EUR_ORIGIN_202307121500,A,LONG,ACCEPT_FULL,inner_sel,1.463726,0.7,0.7,0.0,0.7,0.007,4.182944828241,16.734621869117,2023-07-12T17:00:00+00:00,ECONOMIC_TARGET,TR-3c389eef5d6771db57dd89ae766ceece,SNP-625790d8d80c9871ef60d793c026aa0a
EUR_ORIGIN_202307131600,DEC-EUR_ORIGIN_202307131600,A,LONG,ACCEPT_FULL,inner_sel,4.246029,0.7,0.7,0.0,0.7,0.007,12.13403761396,5.768895913053,2023-07-13T18:00:00+00:00,ECONOMIC_TARGET,TR-cf58f656bf89a5aafebcaf41fc63b2a9,SNP-f5033bd08c8afd1c02708997c6a4ccc6
EUR_ORIGIN_202307140500,DEC-EUR_ORIGIN_202307140500,A,LONG,ACCEPT_FULL,inner_sel,0.68228,0.7,0.7,0.0,0.7,0.007,1.949778885385,35.90150684506,2023-07-14T07:00:00+00:00,ECONOMIC_TARGET,TR-950205979c7d487e02f5a12ff8d9bb41,SNP-7609e9ff5940b566e3b702fcf2705ec3
EUR_ORIGIN_202307141100,DEC-EUR_ORIGIN_202307141100,A,LONG,ACCEPT_FULL,inner_sel,0.750399,0.7,0.7,0.0,0.7,0.007,2.144443628072,32.64249947337,2023-07-14T13:00:00+00:00,ECONOMIC_TARGET,TR-d615ed6ed453a8d3b962c968f90b13eb,SNP-2dd5c495af6490e80251a3add9160fa6
EUR_ORIGIN_202307170000,DEC-EUR_ORIGIN_202307170000,B,SHORT,ACCEPT_FULL,inner_sel,0.818351,0.3,0.3,0.0,0.3,0.003,1.00227113742,29.93202026872,2023-07-17T01:00:00+00:00,ECONOMIC_TARGET,TR-308dec16631ff8373a7747fd7179cd1a,SNP-3a2a23ab359a214ad660a245c128c927
EUR_ORIGIN_202307171100,DEC-EUR_ORIGIN_202307171100,A,LONG,ACCEPT_FULL,inner_sel,0.5083,0.7,0.7,0.0,0.7,0.007,1.452589466418,48.189802844018,2023-07-17T13:00:00+00:00,ECONOMIC_TARGET,TR-da6a66f60b74a69a5c5da61c414bd25c,SNP-7087a04999c5eab10ab0e7ecea34f9d9
EUR_ORIGIN_202307181100,DEC-EUR_ORIGIN_202307181100,B,SHORT,ACCEPT_FULL,inner_sel,0.497939,0.3,0.3,0.0,0.3,0.003,0.609848022739,49.192583859273,2023-07-18T12:00:00+00:00,ECONOMIC_TARGET,TR-1c4233f9fda15a36095936e364d056cd,SNP-4cc5b2edcddfd0e29089598a11cc45f9
EUR_ORIGIN_202307190600,DEC-EUR_ORIGIN_202307190600,A,LONG,ACCEPT_FULL,inner_sel,1.243853,0.7,0.7,0.0,0.7,0.007,3.554605889499,19.692759809689,2023-07-19T08:00:00+00:00,ECONOMIC_TARGET,TR-77ab2f5de8b24c67c1bee675988a94cf,SNP-509152d74db4a3a333fa9acbd0ae8afe
EUR_ORIGIN_202307191300,DEC-EUR_ORIGIN_202307191300,B,SHORT,ACCEPT_FULL,inner_sel,1.2892,0.3,0.3,0.0,0.3,0.003,1.578941169416,19.000074594984,2023-07-19T14:00:00+00:00,ECONOMIC_TARGET,TR-d40804fff223f4981ffa9fb049b4a655,SNP-4224c1bec7bafc9a99e08e1ac3688fbd
EUR_ORIGIN_202307201500,DEC-EUR_ORIGIN_202307201500,B,SHORT,ACCEPT_FULL,inner_sel,1.069987,0.3,0.3,0.0,0.3,0.003,1.31046163032,22.892696211696,2023-07-20T16:00:00+00:00,ECONOMIC_TARGET,TR-96d527265c169926faa42c720f6fac45,SNP-02a34e9b3f947bf72842d6e10266ce89
EUR_ORIGIN_202307210600,DEC-EUR_ORIGIN_202307210600,A,LONG,ACCEPT_FULL,inner_sel,0.292219,0.7,0.7,0.0,0.7,0.007,0.835084041685,83.823898560884,2023-07-21T08:00:00+00:00,ECONOMIC_TARGET,TR-fa07541434180cfa7dd02c9188c839f9,SNP-5426ea00c4127cd10a83a1a3ca8985b0
EUR_ORIGIN_202307240600,DEC-EUR_ORIGIN_202307240600,B,SHORT,ACCEPT_FULL,inner_sel,2.110808,0.3,0.3,0.0,0.3,0.003,2.58520156825,11.604510986086,2023-07-24T07:00:00+00:00,ECONOMIC_TARGET,TR-4ebbc61f2cfde589acb01526c95813d7,SNP-3886e1a21e9a505813d0e0c3e7f1466b
EUR_ORIGIN_202307241000,DEC-EUR_ORIGIN_202307241000,B,SHORT,ACCEPT_FULL,inner_sel,1.227929,0.3,0.3,0.3,0.6,0.003,1.503899183045,19.948145685705,2023-07-24T11:00:00+00:00,ECONOMIC_TARGET,TR-be073739a7242e7a5b8644693b6e2e59,SNP-36d4679e0203cbd15ab0917dc7b36eee
EUR_ORIGIN_202307262100,DEC-EUR_ORIGIN_202307262100,A,LONG,ACCEPT_FULL,inner_sel,0.514061,0.7,0.7,0.0,0.7,0.007,1.469050475485,47.649826311721,2023-07-26T23:00:00+00:00,ECONOMIC_TARGET,TR-5577929764482b68ddd2c972275e8267,SNP-b7d92f1059b96005062ee7fc0334bae0
EUR_ORIGIN_202307270900,DEC-EUR_ORIGIN_202307270900,A,LONG,ACCEPT_FULL,inner_sel,0.533652,0.7,0.7,0.0,0.7,0.007,1.525036635706,45.900536656688,2023-07-27T11:00:00+00:00,ECONOMIC_TARGET,TR-fbeb862f995080d8d81cdd70b46d2514,SNP-ac728baa2e493d66a990ca3e8978d518
EUR_ORIGIN_202307271100,DEC-EUR_ORIGIN_202307271100,B,SHORT,ACCEPT_FULL,inner_sel,0.438002,0.3,0.3,0.7,1.0,0.003,0.536440839824,55.924153742356,2023-07-27T12:00:00+00:00,ECONOMIC_TARGET,TR-b635e69b5460a622f31eb06e3b9aa00d,SNP-12fa3cf7e381777940d1b450cd6a6ffd
EUR_ORIGIN_202307271500,DEC-EUR_ORIGIN_202307271500,B,SHORT,REJECT_HEAT_CAP,inner_sel,0.232644,0.3,0.0,1.0,1.0,0.0,0.0,0.0,2023-07-27T16:00:00+00:00,NO_EXPOSURE,TR-4e87815ac3b4d94a15e58304f5c29e04,SNP-58e19594c8a74f0c746aa418b66fecce
