origin_currency,direction,n,CHF_lead_rate_1h,CHF_lead_rate_2h,CHF_lead_rate_4h,CHF_lead_rate_8h,CHF_lead_rate_12h,CHF_lead_rate_24h,median_time_to_leadership_loss_h,p_loss_within_24h
CHF,ACCUMULATION,466,0.1781115879828326,0.15450643776824036,0.2145922746781116,0.21244635193133046,0.2145922746781116,0.2145922746781116,1.0,0.9933920704845814
CHF,LIQUIDATION,408,0.2107843137254902,0.22794117647058823,0.17647058823529413,0.16911764705882354,0.15196078431372548,0.18627450980392157,1.0,0.9949748743718593
EUR,ACCUMULATION,440,0.17727272727272728,0.20681818181818182,0.19772727272727272,0.20227272727272727,0.22045454545454546,0.2159090909090909,1.0,0.9953703703703703
EUR,LIQUIDATION,460,0.14782608695652175,0.1391304347826087,0.18695652173913044,0.17391304347826086,0.1608695652173913,0.1673913043478261,1.0,0.9977924944812362
GBP,ACCUMULATION,378,0.22486772486772486,0.2275132275132275,0.21957671957671956,0.1931216931216931,0.19576719576719576,0.20899470899470898,1.0,0.9945652173913043
GBP,LIQUIDATION,480,0.14791666666666667,0.13541666666666666,0.14166666666666666,0.16875,0.16458333333333333,0.175,1.0,0.9957356076759062
JPY,ACCUMULATION,475,0.14526315789473684,0.12631578947368421,0.11368421052631579,0.16,0.16631578947368422,0.15789473684210525,1.0,1.0
JPY,LIQUIDATION,408,0.17647058823529413,0.19362745098039216,0.19607843137254902,0.20833333333333334,0.21323529411764705,0.19852941176470587,1.0,0.9975
USD,ACCUMULATION,379,0.17678100263852242,0.19525065963060687,0.1741424802110818,0.18997361477572558,0.15303430079155672,0.19261213720316622,1.0,0.9946236559139785
USD,LIQUIDATION,463,0.16846652267818574,0.16414686825053995,0.15982721382289417,0.1857451403887689,0.1900647948164147,0.19438444924406048,1.0,0.995575221238938
