origin_currency,direction,horizon_h,currency,n,mean_mfe,median_mfe,mean_mae,median_mae
CHF,ACCUMULATION,1,EUR,465,-5.331930644414699e-06,-1.348898753847343e-05,-5.331930644414699e-06,-1.348898753847343e-05
CHF,ACCUMULATION,1,GBP,465,3.0613648822703876e-05,4.510245982495344e-05,3.0613648822703876e-05,4.510245982495344e-05
CHF,ACCUMULATION,1,USD,465,1.3610334587532542e-05,4.210768617581365e-05,1.3610334587532542e-05,4.210768617581365e-05
CHF,ACCUMULATION,1,CHF,465,-3.541591585532496e-05,-7.412355641297922e-05,-3.541591585532496e-05,-7.412355641297922e-05
CHF,ACCUMULATION,1,JPY,465,-3.4761369104967475e-06,-6.702012095169895e-06,-3.4761369104967475e-06,-6.702012095169895e-06
CHF,ACCUMULATION,2,EUR,465,0.00016092208081146405,0.00012348356212655448,-0.00016560860808791003,-0.00014006378206832991
CHF,ACCUMULATION,2,GBP,465,0.00025707840607610774,0.0002526764420106311,-0.00017475380507676167,-6.427797654649157e-05
CHF,ACCUMULATION,2,USD,465,0.0002636435017246645,0.00025567790735635964,-0.0002538392736069285,-0.0001526064383754113
CHF,ACCUMULATION,2,CHF,465,0.00017377958840293558,8.895359708558861e-05,-0.00022794557028607955,-0.00022190847982836857
CHF,ACCUMULATION,2,JPY,465,0.00023716217664679093,0.0001434872448873957,-0.000270438496604283,-0.00019891539714083509
CHF,ACCUMULATION,4,EUR,465,0.00033689148530715907,0.00023249110124401977,-0.0003406106142140229,-0.00030614453023878637
CHF,ACCUMULATION,4,GBP,465,0.0004456246465461657,0.00039404049809706545,-0.0004775845596412393,-0.0002654535215784056
CHF,ACCUMULATION,4,USD,465,0.0006047875476432882,0.0005008624107186194,-0.0005891162224010958,-0.000445605594989169
CHF,ACCUMULATION,4,CHF,465,0.0004407869716259264,0.00028255866091282406,-0.00040782091041989744,-0.00036829989780286763
CHF,ACCUMULATION,4,JPY,465,0.0005202770087307606,0.0003356465040224441,-0.000548972335186764,-0.0003824250043188154
CHF,ACCUMULATION,6,EUR,465,0.0004495086218271585,0.0002826314887513617,-0.0004530606165784487,-0.00036729441268695725
CHF,ACCUMULATION,6,GBP,465,0.0005926741893825049,0.0005126867579073807,-0.0007406195125626314,-0.00043304716184346126
CHF,ACCUMULATION,6,USD,465,0.0008662479355512378,0.0006293887907529261,-0.00085164098575612,-0.0006093620163533366
CHF,ACCUMULATION,6,CHF,465,0.0006476060902452659,0.00044409916636002644,-0.0005488043519867194,-0.0004483189727325031
CHF,ACCUMULATION,6,JPY,465,0.0007656077706472609,0.00044994115591273306,-0.0007412560036762466,-0.0004987940173913518
CHF,ACCUMULATION,8,EUR,465,0.0005487886964656441,0.00037577521575667957,-0.0005336790219938884,-0.00042799455924320677
CHF,ACCUMULATION,8,GBP,465,0.0006848538529506728,0.0005636910613872941,-0.0008780066778768821,-0.0005331716505077122
CHF,ACCUMULATION,8,USD,465,0.001004587509086821,0.0007719721364440361,-0.0010313016084714064,-0.0007262921239779192
CHF,ACCUMULATION,8,CHF,465,0.0007908542498726163,0.0005811126206127289,-0.0006388766181980556,-0.0005279566785781381
