origin_currency,direction,from_h,to_h,dest_from,dest_to,count,n,prob
CHF,ACCUMULATION,1,2,USD,USD,79,465,0.16989247311827957
CHF,ACCUMULATION,1,2,GBP,GBP,68,465,0.14623655913978495
CHF,ACCUMULATION,1,2,JPY,JPY,56,465,0.12043010752688173
CHF,ACCUMULATION,1,2,CHF,CHF,39,465,0.08387096774193549
CHF,ACCUMULATION,1,2,EUR,EUR,29,465,0.06236559139784946
CHF,ACCUMULATION,1,2,JPY,USD,23,465,0.04946236559139785
CHF,ACCUMULATION,1,2,CHF,JPY,19,465,0.04086021505376344
CHF,ACCUMULATION,1,2,USD,JPY,13,465,0.02795698924731183
CHF,ACCUMULATION,1,2,JPY,GBP,13,465,0.02795698924731183
CHF,ACCUMULATION,1,2,USD,GBP,12,465,0.025806451612903226
CHF,ACCUMULATION,1,2,GBP,JPY,12,465,0.025806451612903226
CHF,ACCUMULATION,1,2,GBP,USD,12,465,0.025806451612903226
CHF,ACCUMULATION,1,2,CHF,GBP,11,465,0.023655913978494623
CHF,ACCUMULATION,1,2,GBP,CHF,10,465,0.021505376344086023
CHF,ACCUMULATION,1,2,CHF,USD,9,465,0.01935483870967742
CHF,ACCUMULATION,1,2,USD,CHF,9,465,0.01935483870967742
CHF,ACCUMULATION,1,2,EUR,JPY,7,465,0.015053763440860216
CHF,ACCUMULATION,1,2,EUR,USD,7,465,0.015053763440860216
CHF,ACCUMULATION,1,2,JPY,CHF,7,465,0.015053763440860216
CHF,ACCUMULATION,1,2,EUR,CHF,7,465,0.015053763440860216
CHF,ACCUMULATION,1,2,GBP,EUR,7,465,0.015053763440860216
CHF,ACCUMULATION,1,2,JPY,EUR,5,465,0.010752688172043012
CHF,ACCUMULATION,1,2,CHF,EUR,5,465,0.010752688172043012
CHF,ACCUMULATION,1,2,USD,EUR,5,465,0.010752688172043012
CHF,ACCUMULATION,1,2,EUR,GBP,1,465,0.002150537634408602
CHF,LIQUIDATION,1,2,USD,USD,67,403,0.1662531017369727
CHF,LIQUIDATION,1,2,CHF,CHF,47,403,0.11662531017369727
CHF,LIQUIDATION,1,2,GBP,GBP,45,403,0.11166253101736973
CHF,LIQUIDATION,1,2,JPY,JPY,45,403,0.11166253101736973
CHF,LIQUIDATION,1,2,USD,CHF,23,403,0.05707196029776675
CHF,LIQUIDATION,1,2,EUR,EUR,21,403,0.052109181141439205
CHF,LIQUIDATION,1,2,CHF,USD,14,403,0.034739454094292806
CHF,LIQUIDATION,1,2,JPY,USD,14,403,0.034739454094292806
CHF,LIQUIDATION,1,2,CHF,GBP,13,403,0.03225806451612903
CHF,LIQUIDATION,1,2,USD,JPY,13,403,0.03225806451612903
CHF,LIQUIDATION,1,2,JPY,CHF,11,403,0.02729528535980149
CHF,LIQUIDATION,1,2,USD,GBP,9,403,0.022332506203473945
CHF,LIQUIDATION,1,2,GBP,USD,9,403,0.022332506203473945
CHF,LIQUIDATION,1,2,CHF,JPY,8,403,0.019851116625310174
CHF,LIQUIDATION,1,2,GBP,JPY,8,403,0.019851116625310174
CHF,LIQUIDATION,1,2,EUR,JPY,8,403,0.019851116625310174
CHF,LIQUIDATION,1,2,JPY,GBP,7,403,0.017369727047146403
CHF,LIQUIDATION,1,2,EUR,USD,7,403,0.017369727047146403
CHF,LIQUIDATION,1,2,GBP,CHF,6,403,0.01488833746898263
CHF,LIQUIDATION,1,2,EUR,CHF,6,403,0.01488833746898263
CHF,LIQUIDATION,1,2,EUR,GBP,6,403,0.01488833746898263
CHF,LIQUIDATION,1,2,GBP,EUR,5,403,0.01240694789081886
CHF,LIQUIDATION,1,2,CHF,EUR,4,403,0.009925558312655087
CHF,LIQUIDATION,1,2,USD,EUR,4,403,0.009925558312655087
CHF,LIQUIDATION,1,2,JPY,EUR,3,403,0.007444168734491315
CHFJPY,,1,2,USD,USD,39,258,0.1511627906976744
CHFJPY,,1,2,GBP,GBP,32,258,0.12403100775193798
CHFJPY,,1,2,JPY,JPY,31,258,0.12015503875968993
CHFJPY,,1,2,EUR,EUR,18,258,0.06976744186046512
CHFJPY,,1,2,CHF,CHF,17,258,0.06589147286821706
CHFJPY,,1,2,USD,GBP,13,258,0.050387596899224806
CHFJPY,,1,2,JPY,USD,12,258,0.046511627906976744
CHFJPY,,1,2,GBP,USD,12,258,0.046511627906976744
CHFJPY,,1,2,CHF,GBP,10,258,0.03875968992248062
CHFJPY,,1,2,USD,JPY,10,258,0.03875968992248062
CHFJPY,,1,2,EUR,USD,9,258,0.03488372093023256
CHFJPY,,1,2,JPY,GBP,9,258,0.03488372093023256
