origin_currency,direction,currency,horizon_h,split,n,dest_prob,dest_prob_ci_low,dest_prob_ci_high,mean_forward,median_forward,std_forward,effect,ci_low,ci_high,t,p,q
CHF,ACCUMULATION,CHF,1,development,333,0.2012012012012012,0.1560810810810811,0.24324324324324326,-2.031686876268829e-05,-3.885212296030333e-05,0.0007437061279279925,-0.027318409785451466,-0.00010920192997693315,6.29623535208727e-05,-0.4985141982908292,0.6181216528794002,0.9668596234688138
CHF,ACCUMULATION,CHF,2,development,333,0.14114114114114115,0.10803303303303304,0.17424924924924926,-1.4283863335089687e-05,-4.084325678231247e-05,0.0009357354264197972,-0.015264852576695697,-0.00011432361004766177,8.68563722939719e-05,-0.27855741985215243,0.7805846152720859,0.9668596234688138
CHF,ACCUMULATION,CHF,4,development,333,0.2072072072072072,0.1710960960960961,0.24031531531531533,0.0001259396632585393,5.649155898270863e-05,0.0011977630679574304,0.1051457225787624,-4.334516940331696e-06,0.00024487335485606613,1.918729384569682,0.05501845404594241,0.2445264624264107
CHF,ACCUMULATION,CHF,6,development,333,0.2072072072072072,0.1650900900900901,0.24331831831831835,0.00015205775175506164,0.0001234230274549509,0.0015787305597485934,0.09631646820042315,-1.1263386881605218e-05,0.0003135377460113616,1.757610611460582,0.07881369647010805,0.26743002716605346
CHF,ACCUMULATION,CHF,8,development,333,0.21021021021021022,0.16816816816816818,0.2523273273273273,0.00018595519568187082,0.00015628376118755375,0.001837016299850418,0.10122675323948542,-3.348958222640089e-05,0.0003684378137038187,1.8472149050066575,0.06471587760882125,0.258863510435285
CHF,ACCUMULATION,CHF,12,development,333,0.1891891891891892,0.14707207207207207,0.23130630630630633,0.0001883718311304636,0.00011694685451323327,0.002133587504201581,0.08828877688846189,-2.2896209248369705e-05,0.0004186595245448125,1.611118991708986,0.10715377839831164,0.3061536525666047
CHF,ACCUMULATION,CHF,24,development,333,0.19519519519519518,0.1560810810810811,0.24031531531531533,0.00033396525940078853,0.00010629030502101652,0.0028916378430061443,0.1154934599464221,0.00010755652311204923,0.0006417561436895645,2.107557871969784,0.03506912624892178,0.1753456312446089
CHF,ACCUMULATION,CHF,48,development,333,0.22522522522522523,0.1831831831831832,0.27334834834834837,0.0005791322118495005,0.00015928271154009416,0.004026193011198757,0.14384114478333712,0.0002309192215998943,0.000987760294309479,2.624854577409853,0.008668674184502345,0.070755340019882
CHF,ACCUMULATION,EUR,1,development,333,0.12012012012012012,0.087012012012012,0.16223723723723726,1.4877354463179986e-06,1.54143450738731e-06,0.0005838301305253496,0.0025482334133376866,-6.017848577089671e-05,6.678570020429891e-05,0.04650089617531325,0.9629108864996812,0.9668596234688138
CHF,ACCUMULATION,EUR,2,development,333,0.10510510510510511,0.07507507507507508,0.14114114114114115,-5.576249957579489e-06,-4.127036331310401e-05,0.0007108946262688163,-0.00784398946275182,-7.575268792327023e-05,7.86121504288776e-05,-0.14313937557624254,0.8861800564287494,0.9668596234688138
CHF,ACCUMULATION,EUR,4,development,333,0.1111111111111111,0.081006006006006,0.14714714714714713,-3.5609358986233934e-06,-4.618918909336415e-05,0.0009052860844463991,-0.003933492362031587,-0.0001008030698699339,0.00010283645204013588,-0.07177949985893993,0.9427772468191231,0.9668596234688138
CHF,ACCUMULATION,EUR,6,development,333,0.10510510510510511,0.07507507507507508,0.14114114114114115,-2.5975194589209274e-06,-4.618918909336415e-05,0.0011408808554946319,-0.002276766628531746,-0.00011631831878574333,0.0001240736586184785,-0.041547092214798936,0.9668596234688138,0.9668596234688138
