pair,horizon_h,n,mean_return,median_return,mean_mfe,median_mfe,mean_mae,median_mae,mean_rv
EURUSD,1,8026,2.167083948737913e-05,0.0,2.1670839487379755e-05,0.0,2.1670839487379755e-05,0.0,
GBPUSD,1,8026,6.949191041413991e-06,8.219139153496404e-06,6.94919104141468e-06,8.219139153470278e-06,6.94919104141468e-06,8.219139153470278e-06,
USDJPY,1,8026,2.8773668029982708e-05,5.42678252978606e-05,2.8773668029978682e-05,5.4267825297493744e-05,2.8773668029978682e-05,5.4267825297493744e-05,
USDCHF,1,8026,4.974171872397996e-05,6.12143105945178e-05,4.974171872397907e-05,6.121431059459559e-05,4.974171872397907e-05,6.121431059459559e-05,
EURGBP,1,8026,-8.37678637503064e-07,-1.2005594607188474e-05,-8.376786375025236e-07,-1.2005594607178427e-05,-8.376786375025236e-07,-1.2005594607178427e-05,
EURJPY,1,8026,1.8035617027195066e-06,2.4669131362675082e-05,1.8035617027198905e-06,2.4669131363008745e-05,1.8035617027198905e-06,2.4669131363008745e-05,
GBPJPY,1,8026,3.660489109831408e-05,6.849165820108719e-05,3.660489109831555e-05,6.849165820099756e-05,3.660489109831555e-05,6.849165820099756e-05,
CHFJPY,1,8026,7.819904891364245e-05,5.462498774406362e-05,7.819904891364522e-05,5.4624987743778775e-05,7.819904891364522e-05,5.4624987743778775e-05,
EURCHF,1,8026,-1.4729558237614453e-05,-1.0408862784954816e-05,-1.4729558237613262e-05,-1.0408862785006578e-05,-1.4729558237613262e-05,-1.0408862785006578e-05,
GBPCHF,1,8026,5.48909974945766e-05,5.2614168335200266e-05,5.4890997494576316e-05,5.261416833511612e-05,5.4890997494576316e-05,5.261416833511612e-05,
EURUSD,2,8028,2.526832741741184e-05,0.0,0.00036483476346730443,0.0002464117305015605,-0.0003171795246166673,-0.00022053282539637176,0.0007327587061397395
GBPUSD,2,8028,2.45338454218392e-05,4.723163781372612e-05,0.0003753453038481237,0.00026414596104595844,-0.00034399026633757414,-0.00022814499817458422,0.000760380858728414
USDJPY,2,8028,1.5884179178028435e-05,9.071583274059241e-05,0.0004753540109405811,0.0003617617985200994,-0.00043137104395196056,-0.00022695111303505655,0.0009605173245173249
USDCHF,2,8028,4.2681712031956935e-05,7.586472969629848e-05,0.00044178622206645084,0.00033983501105974007,-0.0003506252225648274,-0.00020173944298669533,0.0008709960545103877
EURGBP,2,8028,-8.835571629226109e-06,-2.2991148408820413e-05,0.0002170485290088829,0.00012824997103241809,-0.00022715273778490183,-0.0001617917281730441,0.0004736798362765985
EURJPY,2,8028,-8.313236626264417e-06,4.915393785480551e-05,0.0003931258139716136,0.00030308652139865444,-0.000399878703678225,-0.00020803270716251987,0.0008383003469548751
GBPJPY,2,8028,4.1050548082969114e-05,0.00012605906962343582,0.0005035442284929332,0.0004217591294399803,-0.00042656125133991177,-0.0002287460375054451,0.00097153258726644
CHFJPY,2,8028,0.0001089568197216774,0.0001617084501242052,0.0005108213256772063,0.00040414399967181325,-0.00032284579086227025,-0.00019673421271448888,0.0008939723524866492
EURCHF,2,8028,-3.252407412568276e-05,-1.0670593445069644e-05,0.00023580166011084755,0.0001610366469208674,-0.00028364532721547353,-0.00018263172382763926,0.0005640616308457469
GBPCHF,2,8028,6.468344329566204e-05,7.753515814308033e-05,0.00042182204720246554,0.00032043579542000156,-0.00030343488278630765,-0.0001910592542830325,0.0007895582233856652
EURUSD,4,8028,3.7603380915116424e-05,4.628052503651182e-05,0.0008504377406871633,0.0005707166396968846,-0.0007992404928673221,-0.0005271546508307315,0.0008775332434677769
GBPUSD,4,8028,2.9078344347633183e-05,7.258971890795383e-05,0.0008714022703373734,0.0006375183502441151,-0.0008418778039941968,-0.0005498247441857868,0.0009079582351795392
USDJPY,4,8028,-6.079030162317117e-05,0.00010894156022330806,0.0010962185476828424,0.0007658261800433941,-0.0011365152190582354,-0.0006195282875869346,0.001173746691124331
USDCHF,4,8028,-9.970581295728833e-06,4.464672987332025e-05,0.000973863897242913,0.0007183867396008681,-0.0009193381953709232,-0.0006112642935909574,0.001017884406128816
EURGBP,4,8028,-8.191546432240158e-06,-3.479738134388609e-05,0.00046735643805661777,0.0002880345663177353,-0.00047943136613241627,-0.0003301513603194417,0.0005237081167387331
EURJPY,4,8028,3.834809045159979e-05,8.573480087988497e-05,0.0008640133256700713,0.0006034952151789952,-0.0008643559465352694,-0.000506602343771867,0.0009525500182230955
GBPJPY,4,8028,-3.39225481578646e-05,0.00012359168200185548,0.0011046579367436466,0.000863989647039709,-0.0011172941521317148,-0.0006723324353599125,0.001181912605686838
CHFJPY,4,8028,6.65438169480815e-05,0.0001737408138915265,0.0010326480972142659,0.0008435214563862203,-0.0009019463072628053,-0.0006012053472401746,0.001053018607355987
EURCHF,4,8028,-4.6392730888705846e-05,-3.6637935686942886e-05,0.000522215774906752,0.0003527431873608655,-0.0006153431294467567,-0.0004278532528634166,0.0006382623824530877
GBPCHF,4,8028,1.8099033878913117e-05,6.242047628953138e-05,0.0008569836926708167,0.0006515619602119084,-0.0007951812672431045,-0.0005448054844693004,0.0009101355209425016
