cooldown_h,origin_currency,direction,horizon_h,n_events,dominant_destination,top_dest_prob,mean_forward
6,CHF,ACCUMULATION,1,92,USD,0.30434782608695654,1.9062895340404474e-21
6,CHF,ACCUMULATION,2,92,USD,0.30434782608695654,3.812579068080895e-21
6,CHF,ACCUMULATION,4,92,USD,0.32608695652173914,-1.525031627232358e-20
6,CHF,ACCUMULATION,6,92,USD,0.358695652173913,0.0
6,CHF,ACCUMULATION,8,92,USD,0.33695652173913043,-3.050063254464716e-20
6,CHF,ACCUMULATION,12,92,USD,0.31521739130434784,-1.525031627232358e-20
6,CHF,ACCUMULATION,24,92,USD,0.32608695652173914,2.2875474408485368e-20
6,CHF,ACCUMULATION,48,92,USD,0.32608695652173914,1.525031627232358e-20
6,CHF,LIQUIDATION,1,83,USD,0.25301204819277107,1.0450141421547032e-21
6,CHF,LIQUIDATION,2,83,USD,0.3855421686746988,-6.2700848529282186e-21
6,CHF,LIQUIDATION,4,83,USD,0.2891566265060241,1.672022627447525e-20
6,CHF,LIQUIDATION,6,83,USD,0.2891566265060241,-1.672022627447525e-20
6,CHF,LIQUIDATION,8,83,GBP,0.30120481927710846,0.0
6,CHF,LIQUIDATION,12,83,USD,0.3253012048192771,1.672022627447525e-20
6,CHF,LIQUIDATION,24,83,JPY,0.25301204819277107,0.0
6,CHF,LIQUIDATION,48,83,USD,0.30120481927710846,-8.360113137237625e-20
6,CHFJPY,,1,138,GBP,0.2971014492753623,0.0
6,CHFJPY,,2,138,GBP,0.3333333333333333,0.0
6,CHFJPY,,4,138,USD,0.2826086956521739,1.0056367976677143e-20
6,CHFJPY,,6,138,USD,0.32608695652173914,-7.542275982507857e-21
6,CHFJPY,,8,138,USD,0.26811594202898553,-7.542275982507857e-21
6,CHFJPY,,12,138,USD,0.2608695652173913,2.5140919941692857e-21
6,CHFJPY,,24,138,USD,0.2971014492753623,2.5140919941692857e-20
6,CHFJPY,,48,138,CHF,0.2826086956521739,2.0112735953354285e-20
6,EUR,ACCUMULATION,1,109,USD,0.30275229357798167,6.365957710006632e-21
6,EUR,ACCUMULATION,2,109,USD,0.3486238532110092,1.1140425992511606e-20
6,EUR,ACCUMULATION,4,109,USD,0.3211009174311927,0.0
6,EUR,ACCUMULATION,6,109,GBP,0.3119266055045872,1.2731915420013264e-20
6,EUR,ACCUMULATION,8,109,GBP,0.3577981651376147,1.2731915420013264e-20
6,EUR,ACCUMULATION,12,109,USD,0.3211009174311927,2.5463830840026528e-20
6,EUR,ACCUMULATION,24,109,USD,0.25688073394495414,-1.9097873130019896e-20
6,EUR,ACCUMULATION,48,109,USD,0.28440366972477066,2.5463830840026528e-20
6,EUR,LIQUIDATION,1,123,USD,0.24390243902439024,4.265713465516739e-21
6,EUR,LIQUIDATION,2,123,GBP,0.24390243902439024,-7.109522442527898e-21
6,EUR,LIQUIDATION,4,123,JPY,0.3252032520325203,0.0
6,EUR,LIQUIDATION,6,123,JPY,0.3170731707317073,0.0
6,EUR,LIQUIDATION,8,123,JPY,0.3008130081300813,0.0
6,EUR,LIQUIDATION,12,123,JPY,0.3252032520325203,0.0
6,EUR,LIQUIDATION,24,123,JPY,0.3252032520325203,-2.2750471816089273e-20
6,EUR,LIQUIDATION,48,123,JPY,0.25203252032520324,-4.5500943632178547e-20
6,EURCHF,,1,145,JPY,0.2482758620689655,4.785444071660157e-21
6,EURCHF,,2,145,USD,0.2896551724137931,0.0
6,EURCHF,,4,145,USD,0.2482758620689655,0.0
6,EURCHF,,6,145,USD,0.25517241379310346,0.0
6,EURCHF,,8,145,USD,0.30344827586206896,7.178166107490236e-21
6,EURCHF,,12,145,USD,0.32413793103448274,4.785444071660157e-21
6,EURCHF,,24,145,USD,0.33793103448275863,1.4356332214980473e-20
6,EURCHF,,48,145,USD,0.33793103448275863,4.7854440716601574e-20
6,EURGBP,,1,62,JPY,0.24193548387096775,-7.109522442527898e-22
6,EURGBP,,2,62,CHF,0.27419354838709675,0.0
6,EURGBP,,4,62,GBP,0.3225806451612903,5.687617954022318e-21
6,EURGBP,,6,62,USD,0.27419354838709675,-5.687617954022318e-21
6,EURGBP,,8,62,USD,0.25806451612903225,-4.5500943632178547e-20
6,EURGBP,,12,62,USD,0.27419354838709675,-1.1375235908044637e-20
6,EURGBP,,24,62,USD,0.4032258064516129,-1.1375235908044637e-20
6,EURGBP,,48,62,USD,0.41935483870967744,-1.1375235908044637e-20
6,EURJPY,,1,70,JPY,0.3142857142857143,-2.4781763942525816e-21
6,EURJPY,,2,70,USD,0.22857142857142856,-9.912705577010326e-21
6,EURJPY,,4,70,GBP,0.22857142857142856,-9.912705577010326e-21
6,EURJPY,,6,70,JPY,0.24285714285714285,-3.469446951953614e-20
