pair,horizon_h,n,mean_base_forward,mean_quote_forward,p_network_in_window,destination_change_rate,rho_shock_base,rho_shock_quote
CHFJPY,1,258,-1.2376811218389622e-05,-8.429625123736162e-05,0.031007751937984496,0.0,-0.013018266660470986,0.17646055895988028
CHFJPY,2,258,-4.006388651590763e-05,-0.0001900882096978442,0.07364341085271318,0.4689922480620155,0.07309843550907708,0.26323968654979424
CHFJPY,4,258,-1.5151078210697617e-05,-0.00023182698355014974,0.14728682170542637,0.5697674418604651,-0.18895929682283855,0.32847391647500235
CHFJPY,6,258,3.3067573563874306e-05,-0.0002620414560798229,0.22093023255813954,0.6162790697674418,-0.17977967367162914,0.2773260093864564
CHFJPY,8,258,7.369282072652141e-05,-0.0002875071087327789,0.3023255813953488,0.6356589147286822,-0.179094189138529,0.2097670016410402
CHFJPY,12,258,0.0001368012155011511,-0.0003663040089330028,0.5852713178294574,0.7054263565891473,-0.11696315677855812,0.1525279949856911
CHFJPY,24,258,0.00022415535919304558,-0.00033257600934895077,1.0813953488372092,0.7674418604651163,-0.13669826347412087,0.13468443429532923
CHFJPY,48,258,0.0004096239994396313,-0.0004992660864462562,1.9186046511627908,0.751937984496124,-0.08304250318547667,0.015663077014990867
EURCHF,1,421,-1.2651136816586021e-05,-5.3426499975405285e-06,0.061611374407582936,0.0,-0.05455431421141589,0.014126181818766615
EURCHF,2,421,-5.8134827290586455e-05,-3.423910509886124e-06,0.14218009478672985,0.45260663507109006,-0.09801436757116644,0.02136287685926888
EURCHF,4,421,-3.8900788921467545e-05,4.4443650461087466e-05,0.2938388625592417,0.5734597156398105,-0.06473817859595347,-0.32082525887841595
EURCHF,6,421,-6.818322167103764e-05,5.0781543754977636e-05,0.4099526066350711,0.590047393364929,-0.05964761336534704,-0.37187999041518643
EURCHF,8,421,-1.561237616454636e-05,7.235854687636639e-05,0.514218009478673,0.6208530805687204,-0.04116323612895755,-0.3287735780784379
EURCHF,12,421,-2.9247045904128293e-05,6.453165330579771e-05,0.6303317535545023,0.5995260663507109,-0.0661709152371196,-0.2617062576288522
EURCHF,24,421,-2.294827860047146e-05,0.000145135641495108,1.2014218009478672,0.6611374407582938,-0.04627100899460774,-0.2208222033170531
EURCHF,48,421,-4.34111269327774e-05,0.0003243626771678644,2.085308056872038,0.6682464454976303,-0.00690814178448,-0.1838246622398551
EURGBP,1,246,3.583281774893303e-05,-3.39073304724274e-05,0.06882591093117409,0.0,0.010328017846814837,-0.07369468968588719
EURGBP,2,246,-2.5039758304022858e-05,-2.5861378754353407e-05,0.1659919028340081,0.44129554655870445,-0.07306997055759204,-0.016423664360579817
EURGBP,4,246,-5.9214402145666627e-05,-6.611673224184529e-05,0.31983805668016196,0.4979757085020243,-0.012919594617742424,-0.3445656489118803
EURGBP,6,246,-3.309565244116821e-05,-1.8028318701070516e-05,0.4493927125506073,0.5748987854251012,0.037281222353659535,-0.45936806637338445
EURGBP,8,246,-6.723392074622668e-05,-8.655905034416179e-05,0.5465587044534413,0.5506072874493927,0.068507505698043,-0.36824451909726064
EURGBP,12,246,-8.873983056386404e-05,-0.00012479895906602247,0.7206477732793523,0.5951417004048583,0.02570175102725992,-0.36463888211550044
EURGBP,24,246,8.588488477240552e-05,-0.00016138860731265928,1.2955465587044535,0.6639676113360324,0.001960811973648944,-0.2796488675454382
EURGBP,48,246,0.00019981522015488198,-0.0002776309813001437,2.097165991902834,0.6558704453441295,-0.011210685518406037,-0.2428645991822225
EURJPY,1,245,2.4595118709690506e-05,-1.4359967716720489e-05,0.044897959183673466,0.0,-0.039522966323674615,-0.08273425323748053
EURJPY,2,245,1.0497205763421583e-05,-7.306589664987894e-05,0.10204081632653061,0.4163265306122449,-0.07488596398175425,-0.03193824511011923
EURJPY,4,245,6.476887104238349e-05,-0.00013019362694424025,0.23673469387755103,0.5469387755102041,-0.009338305494128882,-0.4452015112322419
EURJPY,6,245,3.8365563341045615e-05,-0.00017087783017062256,0.37551020408163266,0.6,0.033553925368628064,-0.4518404882944782
EURJPY,8,245,1.7749672680146593e-05,-0.0001929461265733504,0.4775510204081633,0.6285714285714286,0.014377922300467572,-0.3849170535867286
EURJPY,12,245,-6.784416535413346e-07,-0.00013424437744515128,0.6816326530612244,0.6612244897959184,0.05417832866853259,-0.3248031399685024
EURJPY,24,245,1.875346879428914e-07,-0.00010776352485945748,1.1591836734693877,0.7061224489795919,0.05603636096581776,-0.234457237513158
EURJPY,48,245,-0.00022838203066229468,0.00022586659258197128,1.9387755102040816,0.7061224489795919,0.03177422908387666,-0.19137243061958892
EURUSD,1,411,1.9585477429692125e-06,-3.489699264357149e-05,0.038929440389294405,0.0,-0.022804212593185387,0.00966483507936206
EURUSD,2,411,1.594731306238637e-05,-1.8660471642950827e-05,0.09975669099756691,0.46228710462287104,0.031116185089992063,-0.045375947842108987
EURUSD,4,411,-2.5471681562828094e-05,-5.405022119942181e-05,0.25304136253041365,0.583941605839416,-0.011693523993563227,-0.1199189008402025
EURUSD,6,411,-4.760487813838339e-05,2.1426489322792596e-05,0.35523114355231145,0.5644768856447688,-0.04292689840653633,-0.06958124694279329
EURUSD,8,411,-2.492462699853865e-05,-4.652498406713986e-05,0.45742092457420924,0.5985401459854015,-0.046353389761663186,-0.06662869824786406
EURUSD,12,411,-2.904354109605139e-05,-1.7593333385636906e-05,0.6277372262773723,0.6374695863746959,-0.012929197253137579,-0.07258461224680278
EURUSD,24,411,-4.365687113305097e-05,7.03728350463446e-05,1.1167883211678833,0.6399026763990268,-0.0011762143700382508,-0.07464752459160902
EURUSD,48,411,-0.00011381506577481602,4.5758253628162856e-05,1.8905109489051095,0.6982968369829684,-0.01864900415002307,-0.08748494082630572
GBPCHF,1,150,0.00014598909367839798,-6.50717859207036e-05,0.05333333333333334,0.0,-0.33174985554913555,0.11693141917418552
GBPCHF,2,150,0.00021463386733901811,-0.00018078611740709335,0.1,0.47333333333333333,-0.44520200897817686,0.27345748699942224
GBPCHF,4,150,0.00024219863169623574,-6.892096717542327e-05,0.20666666666666667,0.5466666666666666,-0.4953909062625006,0.3318031912529446
GBPCHF,6,150,0.00032208529596733886,-8.395163434517534e-05,0.2866666666666667,0.58,-0.5050482243655273,0.3362051646739855
GBPCHF,8,150,0.00022607602010883538,-6.632772445394477e-05,0.36666666666666664,0.6533333333333333,-0.40730521356504734,0.2715907373661052
GBPCHF,12,150,0.0002987696968870098,-2.142545866741547e-05,0.5933333333333334,0.74,-0.3489737321658741,0.2126085603804614
GBPCHF,24,150,7.625787902922065e-05,0.00017272099695879353,1.0666666666666667,0.7333333333333333,-0.33258900395573143,0.15685141561847193
GBPCHF,48,150,8.87332447431755e-05,0.00036845393938337244,1.76,0.7666666666666667,-0.35990399573314374,0.11774567758567049
GBPJPY,1,151,1.959074363815802e-05,3.6826467895759046e-05,0.05921052631578947,0.0,-0.06455907981875217,0.03432554897176716
GBPJPY,2,151,-1.637164496871617e-05,2.0796161416240805e-05,0.125,0.5,0.01508888114325549,-0.03316835134193098
GBPJPY,4,151,4.357164038346177e-05,9.075262159905866e-05,0.26973684210526316,0.6052631578947368,-0.17073544789125128,0.2368072499128616
GBPJPY,6,151,3.322974005475821e-05,0.000139866766678446,0.39473684210526316,0.5394736842105263,-0.3249006622516556,0.34011153712094805
GBPJPY,8,151,5.08984909837053e-05,8.890603889584036e-05,0.506578947368421,0.5789473684210527,-0.22923318229348202,0.27923318229348204
GBPJPY,12,151,0.0001781789279030479,-2.5857362805118928e-05,0.6447368421052632,0.5921052631578947,-0.1881352387591495,0.2684210526315789
GBPJPY,24,151,0.0001935028505595269,-0.00012097601631335922,1.0394736842105263,0.6513157894736842,-0.17872429417915647,0.22432903450679678
