pair,n,mean_residual_T,mean_residual_1h,mean_residual_2h,mean_residual_4h,mean_residual_8h,mean_residual_12h,mean_residual_24h,median_half_life_h,p_decayed_12h,p_decayed_24h
CHFJPY,258,-0.00019780931931702547,0.00024759306201582753,0.00018362123170924418,1.4482437245571928e-05,-2.4352998812313646e-06,-1.1118443777548613e-05,-2.82494550592438e-05,1.0,1.0,1.0
EURCHF,422,-0.0001003547949406082,5.5808481324660784e-05,-5.70473437458796e-05,4.43085610267156e-05,-3.483908272187738e-05,-1.4423582570572792e-05,-5.266059467135705e-05,1.0,0.990521327014218,0.9928909952606635
EURGBP,247,-0.0001577033952683033,-2.0261846669239833e-05,-3.7787268369376014e-05,1.4622850969355359e-05,-3.330854098382301e-05,-1.4902410419170841e-05,7.366187830362347e-05,1.0,0.9878542510121457,0.9878542510121457
EURJPY,245,0.0001339902279458947,8.153279980425713e-05,-6.609477727749716e-05,-6.56170646198053e-05,-3.23975990926208e-05,-7.597631793360793e-05,-6.32374119565806e-05,1.0,0.9918367346938776,0.9918367346938776
EURUSD,411,3.482312506921005e-05,1.7343053517438602e-05,2.756355097787097e-05,-0.00012351276972049724,1.0134266031671017e-05,-1.634338932232103e-06,-1.7121443621556534e-05,1.0,0.9927007299270073,0.9951338199513382
GBPCHF,150,-0.00017062903372921676,0.0001941526949191338,9.366190596674808e-05,-2.9985513832323368e-05,4.87046297268801e-05,3.802135743129923e-06,1.2680730697689376e-05,1.0,1.0,1.0
GBPJPY,152,-6.683118850809795e-05,-2.076447169628421e-05,-4.444370937025879e-05,-1.8060041675733766e-05,-1.1680347418640026e-05,-1.5149645588934412e-05,1.932956003913227e-05,1.0,0.9868421052631579,0.993421052631579
GBPUSD,478,1.2693059522688468e-05,8.974660331574138e-06,-1.4899129137573853e-05,-2.3969473572576848e-05,1.0404787014940193e-05,7.133717248364952e-06,-1.1666172057337112e-05,1.0,0.9874476987447699,0.9895397489539749
USDCHF,252,-0.00024711650579026717,0.00021465930307422112,0.00011218859857142796,2.6296301556170558e-05,-1.911180400864042e-05,-1.2650413326310619e-05,-4.517547570355971e-05,1.0,0.9880952380952381,0.9920634920634921
USDJPY,257,0.00010995755787440146,2.369689390117479e-05,-4.681513321073963e-05,-6.283259040437528e-05,2.456552152742087e-05,2.1641452373046793e-05,2.897207120742544e-05,1.0,0.9727626459143969,0.9727626459143969
