date,bias,asian_range,range_pips,asian_open,asian_high,asian_low,asian_close,day_high,day_low,fib_25,fib_50,fib_100,fib_168,fib_132,hit_25,hit_50,hit_168,hit_132_violation,hit_25_tol,hit_50_tol,hit_168_tol,hit_132_violation_tol,fib_100_distance_pips
2021-10-21,Bearish,0.00479,47.9,1.16475,1.16669,1.1619,1.16459,1.16669,1.16183,1.1607,1.1595,1.15711,1.15385,1.16822,False,False,False,False,True,True,True,True,95.8
2021-10-25,Bullish,0.00306,30.6,1.16385,1.1665,1.16344,1.16448,1.1665,1.15907,1.16726,1.16803,1.16956,1.17164,1.16246,False,False,False,True,True,True,True,True,30.6
2021-10-26,Bearish,0.00148,14.8,1.16076,1.16116,1.15968,1.16047,1.16257,1.15849,1.15931,1.15894,1.1582,1.15719,1.16163,True,True,False,True,True,True,True,True,43.7
2021-10-27,Bullish,0.00231,23.1,1.15955,1.1608,1.15849,1.16061,1.16257,1.15848,1.16138,1.16196,1.16311,1.16468,1.15775,True,True,False,False,True,True,True,True,5.4
2021-10-28,Bearish,0.00204,20.4,1.16023,1.16097,1.15893,1.1598,1.1692,1.15824,1.15842,1.15791,1.15689,1.1555,1.16162,True,False,False,True,True,True,True,True,123.1
2021-11-01,Bearish,0.0063,63.0,1.15569,1.16085,1.15455,1.15548,1.1609,1.15455,1.15298,1.1514,1.14825,1.14397,1.16287,False,False,False,False,True,True,True,True,126.5
2021-11-05,Bullish,0.00168,16.8,1.1554,1.15577,1.15409,1.15543,1.1573,1.15134,1.15619,1.15661,1.15745,1.15859,1.15355,True,True,False,True,True,True,True,True,1.5
2021-11-08,Bearish,0.00181,18.1,1.15627,1.15692,1.15511,1.15595,1.1595,1.15503,1.15466,1.15421,1.1533,1.15207,1.1575,False,False,False,True,True,True,True,True,62.0
2021-11-09,Bullish,0.00294,29.4,1.1584,1.16065,1.15771,1.15962,1.16087,1.15696,1.16138,1.16212,1.16359,1.16559,1.15677,False,False,False,False,True,True,True,True,27.2
2021-11-11,Bearish,0.00275,27.5,1.14784,1.14876,1.14601,1.14601,1.14876,1.14429,1.14532,1.14464,1.14326,1.14139,1.14964,True,True,False,False,True,True,True,True,55.0
2021-11-12,Bullish,0.00202,20.2,1.145,1.14561,1.14359,1.14507,1.14621,1.14329,1.14612,1.14662,1.14763,1.149,1.14294,True,False,False,False,True,True,True,True,14.2
2021-11-15,Bullish,0.00228,22.8,1.14413,1.14639,1.14411,1.14501,1.14639,1.13563,1.14696,1.14753,1.14867,1.15022,1.14338,False,False,False,True,True,True,True,True,22.8
2021-11-16,Bullish,0.00263,26.3,1.13675,1.13857,1.13594,1.13797,1.13857,1.1309,1.13923,1.13988,1.1412,1.14299,1.1351,False,False,False,True,True,True,True,True,26.3
2021-11-17,Bearish,0.00633,63.3,1.132,1.13267,1.12634,1.13029,1.13322,1.12634,1.12476,1.12317,1.12001,1.11571,1.1347,False,False,False,False,True,True,True,True,132.1
2021-11-22,Bearish,0.00297,29.7,1.12849,1.12896,1.12599,1.12602,1.12904,1.12308,1.12525,1.12451,1.12302,1.121,1.12991,True,True,False,False,True,True,True,True,60.2
2021-11-23,Bullish,0.00383,38.3,1.12369,1.12642,1.12259,1.12532,1.12751,1.12259,1.12738,1.12833,1.13025,1.13285,1.12136,True,False,False,False,True,True,True,True,27.4
2021-11-25,Bullish,0.00259,25.9,1.11964,1.12201,1.11942,1.12155,1.12297,1.11994,1.12266,1.1233,1.1246,1.12636,1.11859,True,False,False,False,True,True,True,True,16.3
2021-11-29,Bearish,0.00385,38.5,1.12988,1.12998,1.12613,1.12639,1.12998,1.12584,1.12517,1.12421,1.12228,1.11966,1.13121,False,False,False,False,True,True,True,True,77.0
2021-12-01,Bullish,0.00274,27.4,1.1334,1.13437,1.13163,1.13404,1.13596,1.13025,1.13506,1.13574,1.13711,1.13897,1.13075,True,True,False,True,True,True,True,True,11.5
2021-12-02,Bearish,0.00322,32.2,1.13182,1.13393,1.13071,1.13099,1.13478,1.12954,1.12991,1.1291,1.12749,1.1253,1.13496,True,False,False,False,True,True,True,True,72.9
2021-12-03,Bearish,0.0026,26.0,1.13006,1.13076,1.12816,1.12921,1.13333,1.12666,1.12751,1.12686,1.12556,1.12379,1.13159,True,True,False,True,True,True,True,True,77.7
2021-12-06,Bearish,0.00359,35.9,1.13071,1.13105,1.12746,1.12751,1.13105,1.12665,1.12656,1.12566,1.12387,1.12143,1.1322,False,False,False,False,True,True,True,True,71.8
2021-12-07,Bullish,0.00228,22.8,1.12848,1.12984,1.12756,1.12887,1.12984,1.12273,1.13041,1.13098,1.13212,1.13367,1.12683,False,False,False,True,True,True,True,True,22.8
2021-12-13,Bearish,0.00343,34.3,1.13108,1.13193,1.1285,1.12852,1.13193,1.12601,1.12764,1.12678,1.12507,1.12274,1.13303,True,True,False,False,True,True,True,True,68.6
2021-12-15,Bullish,0.00236,23.6,1.12544,1.12767,1.12531,1.12752,1.12991,1.12216,1.12826,1.12885,1.13003,1.13163,1.12455,True,True,False,True,True,True,True,True,1.2
2021-12-17,Bullish,0.00287,28.7,1.1332,1.13489,1.13202,1.13337,1.13489,1.1235,1.13561,1.13632,1.13776,1.13971,1.1311,False,False,False,True,True,True,True,True,28.7
2021-12-21,Bullish,0.0042,42.0,1.12776,1.13022,1.12602,1.12782,1.13027,1.12602,1.13127,1.13232,1.13442,1.13728,1.12468,False,False,False,False,True,True,True,True,41.5
2021-12-22,Bearish,0.00292,29.2,1.12825,1.1294,1.12648,1.12667,1.13424,1.12644,1.12575,1.12502,1.12356,1.12157,1.13033,False,False,False,True,True,True,True,True,106.8
2021-12-23,Bearish,0.00274,27.4,1.13378,1.13422,1.13148,1.13358,1.13422,1.12901,1.1308,1.13011,1.12874,1.12688,1.1351,True,True,False,False,True,True,True,True,54.8
2021-12-24,Bearish,0.00405,40.5,1.13339,1.13429,1.13024,1.13296,1.13434,1.13024,1.12923,1.12822,1.12619,1.12344,1.13559,False,False,False,False,True,True,True,True,81.5
2021-12-27,Bullish,0.00316,31.6,1.13078,1.13339,1.13023,1.13166,1.13346,1.13023,1.13418,1.13497,1.13655,1.1387,1.12922,False,False,False,False,True,True,True,True,30.9
2021-12-30,Bearish,0.0045,45.0,1.1348,1.13598,1.13148,1.13169,1.13598,1.12985,1.13036,1.12923,1.12698,1.12392,1.13742,True,False,False,False,True,True,True,True,90.0
2021-12-31,Bearish,0.00204,20.4,1.13195,1.13285,1.13081,1.13154,1.13863,1.13031,1.1303,1.12979,1.12877,1.12738,1.1335,False,False,False,True,True,True,True,True,98.6
2022-01-03,Bearish,0.0099,99.0,1.13706,1.13782,1.12792,1.13431,1.13782,1.12792,1.12544,1.12297,1.11802,1.11129,1.14099,False,False,False,False,True,True,True,True,198.0
2022-01-06,Bearish,0.00244,24.4,1.13104,1.13205,1.12961,1.1297,1.13318,1.12847,1.129,1.12839,1.12717,1.12551,1.13283,True,False,False,True,True,True,True,True,60.1
2022-01-10,Bearish,0.00768,76.8,1.1353,1.13614,1.12846,1.13334,1.13614,1.12846,1.12654,1.12462,1.12078,1.11556,1.1386,False,False,False,False,True,True,True,True,153.6
2022-01-12,Bearish,0.00139,13.9,1.13654,1.1378,1.13641,1.13642,1.14527,1.13547,1.13606,1.13571,1.13502,1.13407,1.13824,True,True,False,True,True,True,True,True,102.5
2022-01-13,Bearish,0.00191,19.1,1.14495,1.14502,1.14311,1.14385,1.14816,1.14311,1.14263,1.14216,1.1412,1.1399,1.14563,False,False,False,True,True,True,True,True,69.6
2022-01-14,Bullish,0.00316,31.6,1.14521,1.14827,1.14511,1.14698,1.14827,1.13985,1.14906,1.14985,1.15143,1.15358,1.1441,False,False,False,True,True,True,True,True,31.6
2022-01-17,Bearish,0.00426,42.6,1.14125,1.14338,1.13912,1.14125,1.14344,1.13912,1.13805,1.13699,1.13486,1.13196,1.14474,False,False,False,False,True,True,True,True,85.8
2022-01-18,Bearish,0.01074,107.4,1.14065,1.14215,1.13141,1.14012,1.14215,1.13141,1.12872,1.12604,1.12067,1.11337,1.14559,False,False,False,False,True,True,True,True,214.8
2022-01-20,Bullish,0.00262,26.2,1.13458,1.13652,1.1339,1.13499,1.1369,1.13032,1.13718,1.13783,1.13914,1.14092,1.13306,False,False,False,True,True,True,True,True,22.4
2022-01-21,Bullish,0.00343,34.3,1.13046,1.13351,1.13008,1.13292,1.13599,1.13008,1.13437,1.13523,1.13694,1.13927,1.12898,True,True,False,False,True,True,True,True,9.5
2022-01-24,Bearish,0.00551,55.1,1.13429,1.1345,1.12899,1.13232,1.1345,1.12899,1.12761,1.12623,1.12348,1.11973,1.13626,False,False,False,False,True,True,True,True,110.2
