Quarter,Directional_Bias,Hit_Minus_25_count,Hit_Minus_25_sum,Hit_Minus_25_mean,Hit_Minus_50_count,Hit_Minus_50_sum,Hit_Minus_50_mean,Hit_132_Violation_count,Hit_132_Violation_sum,Hit_132_Violation_mean,Monday_Range_mean,Monday_Range_std
1,Bearish,32,32,100.0,32,32,100.0,32,28,87.5,1.5727,0.8396
1,Bullish,46,45,97.83,46,44,95.65,46,31,67.39,1.7058,1.072
2,Bearish,36,36,100.0,36,35,97.22,36,33,91.67,1.8838,1.1787
2,Bullish,36,35,97.22,36,35,97.22,36,23,63.89,1.9904,1.3626
3,Bearish,32,30,93.75,32,30,93.75,32,25,78.12,1.6582,1.1038
3,Bullish,34,33,97.06,34,32,94.12,34,21,61.760000000000005,1.7529,1.0278
4,Bearish,31,31,100.0,31,31,100.0,31,19,61.29,1.6685,1.1335
4,Bullish,34,34,100.0,34,32,94.12,34,21,61.760000000000005,1.9391,1.249
