from_state,to_state,n,base_hazard,hazard_early_run,hazard_mid_run,hazard_late_run,hazard_demand_lo,hazard_demand_hi,hazard_sat_lo,hazard_sat_hi,hazard_ent_lo,hazard_ent_hi,hazard_rising,hazard_falling
6C_0,6C_0,443,0.9191,0.7407,0.9333,0.9589,0.9115,0.9029,0.8929,0.9023,,0.9207,0.9123,0.9252
6C_0,6C_1,24,0.0498,0.0741,0.0667,0.0411,0.0442,0.0514,0.0625,0.0632,,0.0501,0.0439,0.0551
6C_0,6C_2,1,0.0021,0.0123,0.0,0.0,0.0088,0.0,0.0089,0.0,,0.0021,0.0,0.0039
6C_0,6C_3,2,0.0041,0.0247,0.0,0.0,0.0,0.0114,0.0,0.0057,,0.0042,0.0088,0.0
6C_0,6C_4,2,0.0041,0.0247,0.0,0.0,0.0,0.0114,0.0,0.0057,,0.0042,0.0088,0.0
6C_0,6C_5,9,0.0187,0.1111,0.0,0.0,0.0354,0.0171,0.0357,0.0172,,0.0188,0.0219,0.0157
6C_1,6C_0,8,0.0278,0.0178,0.042,,0.038,0.0206,0.0405,0.0187,,0.0278,0.015,0.0387
6C_1,6C_1,216,0.75,0.787,0.6975,,0.7468,0.7629,0.7162,0.7757,,0.75,0.782,0.7226
6C_1,6C_2,12,0.0417,0.0237,0.0672,,0.038,0.0412,0.0135,0.0374,,0.0417,0.0451,0.0387
6C_1,6C_3,7,0.0243,0.0355,0.0084,,0.0253,0.0309,0.0,0.028,,0.0243,0.0301,0.0194
6C_1,6C_4,26,0.0903,0.0769,0.1092,,0.1013,0.1031,0.1216,0.0935,,0.0903,0.0752,0.1032
6C_1,6C_5,19,0.066,0.0592,0.0756,,0.0506,0.0412,0.1081,0.0467,,0.066,0.0526,0.0774
6C_2,6C_0,11,0.022,0.1,0.0,0.0,0.0,0.0,0.0098,0.0331,,0.022,0.0,0.0362
6C_2,6C_1,2,0.004,0.0182,0.0,0.0,0.0,0.0,0.0,0.0066,,0.004,0.0,0.0066
6C_2,6C_2,440,0.8818,0.6727,0.978,0.9295,0.9261,0.8783,0.9069,0.8609,,0.8818,0.8769,0.8849
6C_2,6C_3,7,0.014,0.0636,0.0,0.0,0.0,0.0348,0.0098,0.0265,,0.014,0.0205,0.0099
6C_2,6C_4,35,0.0701,0.1091,0.022,0.0705,0.0682,0.087,0.0686,0.0662,,0.0701,0.0974,0.0526
6C_2,6C_5,4,0.008,0.0364,0.0,0.0,0.0057,0.0,0.0049,0.0066,,0.008,0.0051,0.0099
6C_3,6C_0,4,0.0282,0.0288,,,,0.0315,,0.0339,,0.0282,0.0259,0.0385
6C_3,6C_1,8,0.0563,0.0504,,,,0.063,,0.0593,,0.0563,0.0517,0.0769
6C_3,6C_2,7,0.0493,0.0504,,,,0.0315,,0.0339,,0.0493,0.0345,0.1154
6C_3,6C_3,48,0.338,0.3453,,,,0.3307,,0.3475,,0.338,0.3534,0.2692
6C_3,6C_4,75,0.5282,0.5252,,,,0.5433,,0.5254,,0.5282,0.5345,0.5
6C_4,6C_0,8,0.0157,0.0248,0.0,0.0,0.0116,0.0106,0.0136,0.0,,0.0157,0.0216,0.0123
6C_4,6C_1,23,0.045,0.0619,0.0171,0.0,0.0462,0.0106,0.0591,0.0206,,0.045,0.0378,0.0491
6C_4,6C_2,21,0.0411,0.0402,0.0457,0.0,0.0347,0.0532,0.0318,0.0619,,0.0411,0.0541,0.0337
6C_4,6C_3,75,0.1468,0.1517,0.1314,0.2308,0.1676,0.0957,0.1727,0.0619,,0.1468,0.1459,0.1472
6C_4,6C_4,350,0.6849,0.678,0.7086,0.5385,0.6994,0.7234,0.6591,0.7216,,0.6849,0.6703,0.6933
6C_4,6C_5,34,0.0665,0.0433,0.0971,0.2308,0.0405,0.1064,0.0636,0.134,,0.0665,0.0703,0.0644
6C_5,6C_0,8,0.0292,0.0656,0.0,0.0,0.0444,0.0147,0.0435,0.0128,,0.0292,0.0252,0.0323
6C_5,6C_1,15,0.0547,0.1066,0.0,0.0213,0.0667,0.0588,0.0783,0.0385,,0.0547,0.0336,0.071
6C_5,6C_2,17,0.062,0.0902,0.0345,0.0426,0.037,0.0735,0.0609,0.0897,,0.062,0.0672,0.0581
6C_5,6C_3,3,0.0109,0.0164,0.0,0.0106,0.0074,0.0147,0.0087,0.0256,,0.0109,0.0084,0.0129
6C_5,6C_4,23,0.0839,0.1311,0.0345,0.0532,0.0667,0.0882,0.1043,0.0641,,0.0839,0.084,0.0839
6C_5,6C_5,208,0.7591,0.5902,0.931,0.8723,0.7778,0.75,0.7043,0.7692,,0.7591,0.7815,0.7419
