level,comparison,d_prop7,ranksums_p
OPEN,STABLE_vs_COLLAPSING,0.0077,0.8158
OPEN,STABLE_vs_REOPENING,0.0887,0.0206
CONSTRAINED,STABLE_vs_COLLAPSING,0.0345,0.682
CONSTRAINED,STABLE_vs_REOPENING,-0.0978,0.1117
