route,from_state,to_state,edge_class,n,prob,median_days_to_exit,prob_demand_lo,prob_demand_hi,prob_rising,prob_falling,prob_ent_lo,prob_ent_hi,top_forcing_family,top_family_rho,second_forcing_family,thr50_mean,thr50_regime_range,hysteresis_gap_mean,exit_p1_mean,exit_entropy_mean,capacity_ceiling,transfer_eff_mean,resp_ceiling_patch_mean,resp_slope_patch_mean,regime_modulation_std
6C_0->6C_0,6C_0,6C_0,STAY,443,0.9191,16.0,1.0,1.0,0.9123,0.9252,1.0,1.0,PHYSICAL_DISTURBANCE_FORCING,0.332,STABLECOIN_CAPITAL_FORCING,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.063
6C_0->6C_1,6C_0,6C_1,MINOR,24,0.0498,10.0,0.0498,0.0498,0.0439,0.0551,1.0,1.0,,,,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.024
6C_0->6C_2,6C_0,6C_2,NEAR_ZERO,1,0.0021,0.0,0.0021,0.0021,0.0,0.0039,1.0,1.0,,,,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.002
6C_0->6C_3,6C_0,6C_3,NEAR_ZERO,2,0.0041,0.0,0.0041,0.0041,0.0088,0.0,,1.0,,,,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.009
6C_0->6C_4,6C_0,6C_4,NEAR_ZERO,2,0.0041,0.0,0.0041,0.0041,0.0088,0.0,,1.0,,,,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.018
6C_0->6C_5,6C_0,6C_5,NEAR_ZERO,9,0.0187,0.0,0.0187,0.0187,0.0219,0.0157,1.0,1.0,,,,1.659,2.446,0.11,0.285,0.007,0.808,0.902,0.742,0.652,0.024
6C_1->6C_0,6C_1,6C_0,MINOR,8,0.0278,4.5,0.0278,0.0278,0.015,0.0387,,1.0,,,,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.017
6C_1->6C_1,6C_1,6C_1,STAY,216,0.75,2.0,1.0,1.0,0.782,0.7226,1.0,1.0,DISPERSION_FORCING,-0.232,CONCENTRATION_RELEASE_FORCING,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.062
6C_1->6C_2,6C_1,6C_2,MINOR,12,0.0417,5.0,0.0417,0.0417,0.0451,0.0387,1.0,1.0,,,,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.035
6C_1->6C_3,6C_1,6C_3,MINOR,7,0.0243,1.0,0.0243,0.0243,0.0301,0.0194,,1.0,,,,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.013
6C_1->6C_4,6C_1,6C_4,MINOR,26,0.0903,2.5,0.0903,1.0,0.0752,0.1032,1.0,1.0,,,,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.07
6C_1->6C_5,6C_1,6C_5,MINOR,19,0.066,2.0,0.066,0.066,0.0526,0.0774,1.0,1.0,,,,1.659,2.446,0.11,0.766,0.667,0.866,0.826,0.742,0.652,0.04
6C_2->6C_0,6C_2,6C_0,MINOR,11,0.022,0.0,0.022,0.022,0.0,0.0362,1.0,1.0,,,,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.027
6C_2->6C_1,6C_2,6C_1,NEAR_ZERO,2,0.004,0.0,0.004,0.004,0.0,0.0066,1.0,1.0,,,,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.006
6C_2->6C_2,6C_2,6C_2,STAY,440,0.8818,10.0,1.0,1.0,0.8769,0.8849,1.0,1.0,PHYSICAL_DISTURBANCE_FORCING,-0.241,BTC_ANCHOR_FORCING,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.044
6C_2->6C_3,6C_2,6C_3,NEAR_ZERO,7,0.014,0.0,0.014,0.014,0.0205,0.0099,,1.0,,,,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.017
6C_2->6C_4,6C_2,6C_4,MINOR,35,0.0701,8.0,1.0,1.0,0.0974,0.0526,1.0,1.0,,,,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.027
6C_2->6C_5,6C_2,6C_5,NEAR_ZERO,4,0.008,0.0,0.008,0.008,0.0051,0.0099,1.0,1.0,,,,1.659,2.446,0.11,0.39,0.034,0.937,0.13,0.742,0.652,0.009
6C_3->6C_0,6C_3,6C_0,MINOR,4,0.0282,0.5,0.0282,0.0282,0.0259,0.0385,1.0,1.0,,,,1.659,2.446,0.11,0.809,0.583,0.946,0.498,0.742,0.652,0.019
6C_3->6C_1,6C_3,6C_1,MINOR,8,0.0563,0.0,0.0563,0.0563,0.0517,0.0769,,1.0,,,,1.659,2.446,0.11,0.809,0.583,0.946,0.498,0.742,0.652,0.045
6C_3->6C_2,6C_3,6C_2,MINOR,7,0.0493,0.0,0.0493,0.0493,0.0345,0.1154,1.0,1.0,,,,1.659,2.446,0.11,0.809,0.583,0.946,0.498,0.742,0.652,0.005
6C_3->6C_3,6C_3,6C_3,STAY,48,0.338,0.0,0.338,1.0,0.3534,0.2692,1.0,1.0,STABLECOIN_CAPITAL_FORCING,0.148,BTC_ANCHOR_FORCING,1.659,2.446,0.11,0.809,0.583,0.946,0.498,0.742,0.652,0.013
6C_3->6C_4,6C_3,6C_4,PRIMARY,75,0.5282,0.0,0.5282,1.0,0.5345,0.5,1.0,1.0,VOLATILITY_FORCING,-0.295,PHYSICAL_DISTURBANCE_FORCING,1.659,2.446,0.11,0.809,0.583,0.946,0.498,0.742,0.652,0.058
6C_4->6C_0,6C_4,6C_0,NEAR_ZERO,8,0.0157,0.0,0.0157,0.0157,0.0216,0.0123,1.0,1.0,,,,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.009
6C_4->6C_1,6C_4,6C_1,MINOR,23,0.045,0.0,0.045,0.045,0.0378,0.0491,1.0,1.0,,,,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.016
6C_4->6C_2,6C_4,6C_2,MINOR,21,0.0411,2.0,0.0411,0.0411,0.0541,0.0337,1.0,1.0,,,,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.023
6C_4->6C_3,6C_4,6C_3,MINOR,75,0.1468,1.0,1.0,0.1468,0.1459,0.1472,1.0,1.0,,,,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.067
6C_4->6C_4,6C_4,6C_4,STAY,350,0.6849,2.0,1.0,1.0,0.6703,0.6933,1.0,1.0,PHYSICAL_DISTURBANCE_FORCING,-0.246,ETH_RELATIVE_FORCING,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.04
6C_4->6C_5,6C_4,6C_5,MINOR,34,0.0665,3.0,0.0665,1.0,0.0703,0.0644,1.0,1.0,,,,1.659,2.446,0.11,0.781,0.531,1.1,0.373,0.742,0.652,0.03
6C_5->6C_0,6C_5,6C_0,MINOR,8,0.0292,0.0,0.0292,0.0292,0.0252,0.0323,1.0,1.0,,,,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.024
6C_5->6C_1,6C_5,6C_1,MINOR,15,0.0547,0.0,0.0547,0.0547,0.0336,0.071,1.0,1.0,,,,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.021
6C_5->6C_2,6C_5,6C_2,MINOR,17,0.062,1.0,0.062,0.062,0.0672,0.0581,1.0,1.0,,,,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.042
6C_5->6C_3,6C_5,6C_3,NEAR_ZERO,3,0.0109,0.0,0.0109,0.0109,0.0084,0.0129,,1.0,,,,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.013
6C_5->6C_4,6C_5,6C_4,MINOR,23,0.0839,1.0,0.0839,0.0839,0.084,0.0839,1.0,1.0,,,,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.038
6C_5->6C_5,6C_5,6C_5,STAY,208,0.7591,5.0,1.0,1.0,0.7815,0.7419,1.0,1.0,VOLATILITY_FORCING,0.32,BTC_ANCHOR_FORCING,1.659,2.446,0.11,0.553,0.28,0.833,0.281,0.742,0.652,0.069
