patch,corr_level,best_kernel,best_corr,kernel_gain_over_level,exp_halflife_days,kernel_verdict
26-100,0.1791,flat_w10,0.0145,-0.1646,,LEVEL_SUFFICIENT
101-250,0.1928,flat_w10,0.0236,-0.1692,,LEVEL_SUFFICIENT
251-500,0.1993,flat_w10,0.0216,-0.1777,,LEVEL_SUFFICIENT
501-750,0.2113,flat_w10,0.0299,-0.1814,,LEVEL_SUFFICIENT
751-1000,0.2263,flat_w10,0.0391,-0.1871,,LEVEL_SUFFICIENT
1001-1500,0.2238,flat_w10,0.0287,-0.1951,,LEVEL_SUFFICIENT
1501-2000,0.2282,flat_w10,0.0331,-0.195,,LEVEL_SUFFICIENT
