file,n_rows,n_cells,null_cells,null_frac,failed_flags
02_EDGE_REGISTRY.csv,93,1302,18,0.014,
03_EDGE_HAZARDS.csv,35,525,61,0.116,
03b_EDGE_CLOCK_VERDICTS.csv,6,30,2,0.067,DATA_LIMITED:1
04_EXIT_AVAILABILITY_PRESSURE.csv,14,182,0,0.0,
05_ENTROPY_HIERARCHY.csv,50,650,70,0.108,
06_ENTROPY_DECAY.csv,6,42,0,0.0,
06b_ENTROPY_VELOCITY_INFO.csv,4,16,0,0.0,
07_ROUTE_DEFORMATION.csv,3,18,0,0.0,
07b_ROUTE_DEFORMATION_SUBPERIOD.csv,5,15,0,0.0,
08_FORCING_PRIMITIVES.csv,9,81,0,0.0,
09_FORCING_HIERARCHY.csv,9,27,0,0.0,
09b_FORCING_PAIRWISE.csv,36,180,0,0.0,
10_ROUTE_SPECIFIC_FORCING.csv,162,810,0,0.0,
11_THRESHOLD_DEPENDENCIES.csv,56,560,14,0.025,
11b_THRESHOLD_SUBPERIOD.csv,35,175,0,0.0,
12_THRESHOLD_HIERARCHY.csv,21,168,4,0.024,
12b_THRESHOLD_HIERARCHY_OVERALL.csv,1,2,0,0.0,
13_RESPONSE_FINGERPRINTS.csv,40,480,0,0.0,
14_SATURATION_DATA_COLLAPSE.csv,8,56,22,0.393,
15_RESPONSE_DIMENSIONALITY.csv,7,84,0,0.0,
16_SATURATION_NODE_DYNAMICS.csv,7,147,0,0.0,
17_GLOBAL_HYSTERESIS_RECHECK.csv,7,56,0,0.0,
18_MEMORY_VARIABLES.csv,7,126,0,0.0,
19_MEMORY_KERNEL_PILOT.csv,7,49,7,0.143,LEVEL_SUFFICIENT:7
20_BIRTH_VIABILITY_MAP.csv,48,528,0,0.0,
21_VIABILITY_BOUNDARIES.csv,18,72,0,0.0,
22_ABORTED_FORMATION_MECHANISM.csv,14,112,58,0.518,
23_POTENTIAL_REALIZATION_RECONSTRUCTION.csv,11,55,1,0.018,WEAK:5
24_POTENTIAL_REALIZATION_HIERARCHY.csv,5,50,0,0.0,
25_2022_EVENT_BOUNDARIES.csv,8,32,2,0.062,
26_2022_SNAPBACK.csv,3,12,0,0.0,
27_2022_VARIABLE_STRIP.csv,14,112,0,0.0,
28_2022_END_MECHANISM.csv,14,56,0,0.0,
29_2022_RESIDUE.csv,14,98,0,0.0,NO_RESIDUE:10
30_REGIME_ROUTE_LAW_TABLE.csv,35,910,91,0.1,
31_PROMOTE_MERGE_DISSOLVE.csv,18,126,6,0.048,LEVEL_SUFFICIENT:1
32_NULL_AND_FAILED_RESULTS.csv,37,222,32,0.144,
