stage,feature,n_viable,n_aborted,viable_mean,viable_p25,viable_p75,aborted_mean,cohens_d,p_value,verdict
PRECONDITION,demand,213,266,0.0728,-0.2912,0.3295,0.0776,0.009,0.3398,NO_SEPARATION
PRECONDITION,demand_slope,213,265,0.0071,-0.1273,0.1669,0.0104,0.013,0.6667,NO_SEPARATION
PRECONDITION,breadth,219,267,0.4614,0.3926,0.5186,0.4708,0.096,0.3249,NO_SEPARATION
PRECONDITION,dispersion,219,267,0.4708,0.1234,0.2215,0.2262,0.172,0.0,NO_SEPARATION
PRECONDITION,forcing,211,266,-0.0186,-0.6318,0.3989,-0.1896,0.189,0.0871,NO_SEPARATION
PRECONDITION,concentration,219,267,0.7058,0.6604,0.7401,0.7104,0.101,0.4986,NO_SEPARATION
PRECONDITION,rank_depth,213,266,-0.0362,-0.0575,-0.0041,-0.0326,0.069,0.7193,NO_SEPARATION
PRECONDITION,exit_entropy,219,267,0.6774,0.5576,0.932,0.562,0.304,0.0025,NO_SEPARATION
PRECONDITION,exit_p1,219,267,0.7614,0.6699,0.8201,0.797,0.258,0.0159,NO_SEPARATION
PRECONDITION,capacity_ceiling,219,267,0.9446,0.866,1.0237,1.0023,0.714,0.0,SEPARATES
PRECONDITION,transfer_eff,204,261,0.485,0.338,0.5484,0.4272,0.231,0.0429,NO_SEPARATION
PRECONDITION,thr_position,211,266,-0.1144,-0.4996,0.3405,-0.288,0.178,0.0652,NO_SEPARATION
INITIATION,demand,207,244,-0.0939,-0.7827,0.6104,0.2615,0.365,0.0,SEPARATES
INITIATION,demand_slope,188,235,-0.3372,-1.2882,0.3342,0.1688,0.391,0.0002,SEPARATES
INITIATION,breadth,219,267,0.4084,0.172,0.632,0.5079,0.375,0.0001,SEPARATES
INITIATION,dispersion,215,261,0.4124,0.1164,0.1965,0.1906,0.132,0.0019,NO_SEPARATION
INITIATION,forcing,206,244,-0.0239,-0.6627,0.4436,-0.1037,0.076,0.8494,NO_SEPARATION
INITIATION,concentration,219,267,0.7058,0.6621,0.7368,0.7101,0.093,0.2982,NO_SEPARATION
INITIATION,rank_depth,211,249,-0.0362,-0.0621,-0.0027,-0.0289,0.13,0.2099,NO_SEPARATION
INITIATION,exit_entropy,219,267,0.1516,-0.0,0.0,0.7011,1.295,0.0,SEPARATES
INITIATION,exit_p1,219,267,0.7099,0.5,1.0,0.7525,0.14,0.0021,NO_SEPARATION
INITIATION,capacity_ceiling,219,267,0.9369,0.833,1.1,0.9759,0.363,0.0,SEPARATES
INITIATION,transfer_eff,169,188,0.5021,0.338,0.523,0.4223,0.244,0.1474,NO_SEPARATION
INITIATION,thr_position,206,244,-0.1175,-0.5869,0.3323,-0.1669,0.047,0.8114,NO_SEPARATION
COMMITMENT,demand,214,266,-0.0552,-0.4875,0.3176,0.1246,0.259,0.0012,NO_SEPARATION
COMMITMENT,demand_slope,213,262,0.0361,-0.1731,0.299,-0.0714,0.229,0.0045,NO_SEPARATION
COMMITMENT,breadth,219,267,0.4478,0.3507,0.5443,0.4595,0.081,0.3929,NO_SEPARATION
COMMITMENT,dispersion,218,267,0.2645,0.1167,0.1913,0.2645,0.0,0.1153,NO_SEPARATION
COMMITMENT,forcing,214,265,-0.0664,-0.811,0.2942,-0.0392,0.024,0.1587,NO_SEPARATION
COMMITMENT,concentration,219,267,0.7062,0.6582,0.7389,0.7115,0.113,0.1804,NO_SEPARATION
COMMITMENT,rank_depth,215,266,-0.035,-0.0576,-0.0011,-0.0291,0.112,0.3532,NO_SEPARATION
COMMITMENT,exit_entropy,219,267,0.2678,0.0,0.6394,0.6011,0.786,0.0,SEPARATES
COMMITMENT,exit_p1,219,267,0.5386,0.0,0.8889,0.743,0.696,0.0,SEPARATES
COMMITMENT,capacity_ceiling,219,267,0.9336,0.833,1.0338,0.9757,0.438,0.0,SEPARATES
COMMITMENT,transfer_eff,188,246,0.499,0.338,0.701,0.4539,0.137,0.7137,NO_SEPARATION
COMMITMENT,thr_position,214,265,-0.1312,-0.5913,0.2816,-0.151,0.019,0.2975,NO_SEPARATION
EARLY_SURVIVAL,demand,217,266,-0.0267,-0.3964,0.3564,0.0195,0.07,0.6954,NO_SEPARATION
EARLY_SURVIVAL,demand_slope,213,265,-0.028,-0.2728,0.2163,-0.0086,0.048,0.7638,NO_SEPARATION
EARLY_SURVIVAL,breadth,219,267,0.4503,0.3508,0.536,0.4579,0.059,0.5027,NO_SEPARATION
EARLY_SURVIVAL,dispersion,219,266,0.268,0.1168,0.2132,0.2576,0.012,0.006,NO_SEPARATION
EARLY_SURVIVAL,forcing,216,265,-0.1619,-0.8036,0.3351,-0.091,0.066,0.167,NO_SEPARATION
EARLY_SURVIVAL,concentration,219,267,0.7062,0.6589,0.74,0.7114,0.11,0.2464,NO_SEPARATION
EARLY_SURVIVAL,rank_depth,217,267,-0.0391,-0.057,-0.0011,-0.032,0.12,0.1497,NO_SEPARATION
EARLY_SURVIVAL,exit_entropy,219,267,0.327,0.0,0.6852,0.5047,0.42,0.0,SEPARATES
EARLY_SURVIVAL,exit_p1,219,267,0.5791,0.125,0.8726,0.6881,0.343,0.0727,NO_SEPARATION
EARLY_SURVIVAL,capacity_ceiling,219,267,0.9296,0.833,1.023,0.9628,0.358,0.0001,SEPARATES
EARLY_SURVIVAL,transfer_eff,196,250,0.464,0.166,0.6056,0.437,0.087,0.841,NO_SEPARATION
EARLY_SURVIVAL,thr_position,216,265,-0.1992,-0.6312,0.2393,-0.1826,0.016,0.3445,NO_SEPARATION
