coordinate,viable_mean,aborted_mean,cohens_d,p_value,direction,frac_rising,frac_saturated
demand,-0.0939,0.2615,0.365,0.0,aborted_higher,,
exit_entropy,0.1516,0.7011,1.295,0.0,aborted_higher,,
transfer_eff,0.5021,0.4223,0.244,0.1474,aborted_lower,,
thr_position,-0.1175,-0.1669,0.047,0.8114,aborted_lower,,
capacity_ceiling,0.9369,0.9759,0.363,0.0,aborted_higher,,
exit_p1,0.7099,0.7525,0.14,0.0021,aborted_higher,,
demand_direction_VIABLE,-0.3372,,,,,0.372,
demand_direction_ABORTED,0.1688,,,,,0.54,
post_abort_state_6C_4,,0.408,,,,,
post_abort_state_6C_3,,0.211,,,,,
post_abort_state_6C_1,,0.176,,,,,
post_abort_state_6C_5,,0.114,,,,,
post_abort_state_6C_2,,0.049,,,,,
post_abort_state_6C_0,,0.042,,,,,
