resolution,n,prob,subperiod_coverage,median_days_to_exit,prob_demand_lo,prob_demand_hi,prob_rising,prob_falling,prob_ent_lo,prob_ent_hi,from_state,to_state,edge_class
6CELL,443,0.9191,1.0,16.0,1.0,1.0,0.9123,0.9252,1.0,1.0,6C_0,6C_0,STAY
6CELL,24,0.0498,1.0,10.0,0.0498,0.0498,0.0439,0.0551,1.0,1.0,6C_0,6C_1,MINOR
6CELL,9,0.0187,0.8,0.0,0.0187,0.0187,0.0219,0.0157,1.0,1.0,6C_0,6C_5,NEAR_ZERO
6CELL,2,0.0041,0.4,0.0,0.0041,0.0041,0.0088,0.0,,1.0,6C_0,6C_3,NEAR_ZERO
6CELL,2,0.0041,0.2,0.0,0.0041,0.0041,0.0088,0.0,,1.0,6C_0,6C_4,NEAR_ZERO
6CELL,1,0.0021,0.2,0.0,0.0021,0.0021,0.0,0.0039,1.0,1.0,6C_0,6C_2,NEAR_ZERO
6CELL,216,0.75,1.0,2.0,1.0,1.0,0.782,0.7226,1.0,1.0,6C_1,6C_1,STAY
6CELL,26,0.0903,0.8,2.5,0.0903,1.0,0.0752,0.1032,1.0,1.0,6C_1,6C_4,MINOR
6CELL,19,0.066,1.0,2.0,0.066,0.066,0.0526,0.0774,1.0,1.0,6C_1,6C_5,MINOR
6CELL,12,0.0417,0.6,5.0,0.0417,0.0417,0.0451,0.0387,1.0,1.0,6C_1,6C_2,MINOR
6CELL,8,0.0278,0.8,4.5,0.0278,0.0278,0.015,0.0387,,1.0,6C_1,6C_0,MINOR
6CELL,7,0.0243,1.0,1.0,0.0243,0.0243,0.0301,0.0194,,1.0,6C_1,6C_3,MINOR
6CELL,440,0.8818,1.0,10.0,1.0,1.0,0.8769,0.8849,1.0,1.0,6C_2,6C_2,STAY
6CELL,35,0.0701,1.0,8.0,1.0,1.0,0.0974,0.0526,1.0,1.0,6C_2,6C_4,MINOR
6CELL,11,0.022,0.6,0.0,0.022,0.022,0.0,0.0362,1.0,1.0,6C_2,6C_0,MINOR
6CELL,7,0.014,0.8,0.0,0.014,0.014,0.0205,0.0099,,1.0,6C_2,6C_3,NEAR_ZERO
6CELL,4,0.008,0.6,0.0,0.008,0.008,0.0051,0.0099,1.0,1.0,6C_2,6C_5,NEAR_ZERO
6CELL,2,0.004,0.4,0.0,0.004,0.004,0.0,0.0066,1.0,1.0,6C_2,6C_1,NEAR_ZERO
6CELL,75,0.5282,0.8,0.0,0.5282,1.0,0.5345,0.5,1.0,1.0,6C_3,6C_4,PRIMARY
6CELL,48,0.338,0.8,0.0,0.338,1.0,0.3534,0.2692,1.0,1.0,6C_3,6C_3,STAY
6CELL,8,0.0563,0.8,0.0,0.0563,0.0563,0.0517,0.0769,,1.0,6C_3,6C_1,MINOR
6CELL,7,0.0493,0.8,0.0,0.0493,0.0493,0.0345,0.1154,1.0,1.0,6C_3,6C_2,MINOR
6CELL,4,0.0282,0.6,0.5,0.0282,0.0282,0.0259,0.0385,1.0,1.0,6C_3,6C_0,MINOR
6CELL,350,0.6849,1.0,2.0,1.0,1.0,0.6703,0.6933,1.0,1.0,6C_4,6C_4,STAY
6CELL,75,0.1468,0.8,1.0,1.0,0.1468,0.1459,0.1472,1.0,1.0,6C_4,6C_3,MINOR
6CELL,34,0.0665,1.0,3.0,0.0665,1.0,0.0703,0.0644,1.0,1.0,6C_4,6C_5,MINOR
6CELL,23,0.045,1.0,0.0,0.045,0.045,0.0378,0.0491,1.0,1.0,6C_4,6C_1,MINOR
6CELL,21,0.0411,1.0,2.0,0.0411,0.0411,0.0541,0.0337,1.0,1.0,6C_4,6C_2,MINOR
6CELL,8,0.0157,0.8,0.0,0.0157,0.0157,0.0216,0.0123,1.0,1.0,6C_4,6C_0,NEAR_ZERO
6CELL,208,0.7591,1.0,5.0,1.0,1.0,0.7815,0.7419,1.0,1.0,6C_5,6C_5,STAY
6CELL,23,0.0839,1.0,1.0,0.0839,0.0839,0.084,0.0839,1.0,1.0,6C_5,6C_4,MINOR
6CELL,17,0.062,1.0,1.0,0.062,0.062,0.0672,0.0581,1.0,1.0,6C_5,6C_2,MINOR
6CELL,15,0.0547,1.0,0.0,0.0547,0.0547,0.0336,0.071,1.0,1.0,6C_5,6C_1,MINOR
6CELL,8,0.0292,0.4,0.0,0.0292,0.0292,0.0252,0.0323,1.0,1.0,6C_5,6C_0,MINOR
6CELL,3,0.0109,0.2,0.0,0.0109,0.0109,0.0084,0.0129,,1.0,6C_5,6C_3,NEAR_ZERO
8CELL,43,0.43,0.8,0.0,1.0,0.43,0.4074,0.4384,1.0,1.0,8C_0,8C_0,STAY
8CELL,32,0.32,0.8,1.0,1.0,0.32,0.3704,0.3014,1.0,1.0,8C_0,8C_5,PRIMARY
8CELL,10,0.1,1.0,0.0,0.1,0.1,0.1111,0.0959,1.0,1.0,8C_0,8C_6,MINOR
8CELL,7,0.07,0.4,0.0,0.07,0.07,0.0741,0.0685,1.0,1.0,8C_0,8C_1,MINOR
8CELL,5,0.05,0.6,0.0,0.05,0.05,0.0,0.0685,1.0,1.0,8C_0,8C_3,MINOR
8CELL,2,0.02,0.4,0.0,0.02,0.02,0.037,0.0137,1.0,1.0,8C_0,8C_4,MINOR
8CELL,1,0.01,0.2,0.0,0.01,0.01,0.0,0.0137,,1.0,8C_0,8C_7,NEAR_ZERO
8CELL,443,0.9191,1.0,16.0,1.0,1.0,0.9123,0.9252,1.0,1.0,8C_1,8C_1,STAY
8CELL,24,0.0498,1.0,10.0,0.0498,0.0498,0.0439,0.0551,1.0,1.0,8C_1,8C_3,MINOR
8CELL,9,0.0187,0.8,0.0,0.0187,0.0187,0.0219,0.0157,1.0,1.0,8C_1,8C_0,NEAR_ZERO
8CELL,2,0.0041,0.2,0.0,0.0041,0.0041,0.0088,0.0,,1.0,8C_1,8C_2,NEAR_ZERO
8CELL,2,0.0041,0.4,0.0,0.0041,0.0041,0.0088,0.0,,1.0,8C_1,8C_7,NEAR_ZERO
8CELL,1,0.0021,0.2,0.0,0.0021,0.0021,0.0,0.0039,1.0,1.0,8C_1,8C_6,NEAR_ZERO
8CELL,81,0.4378,0.8,0.0,1.0,0.4378,0.3871,0.4634,1.0,1.0,8C_2,8C_2,STAY
8CELL,52,0.2811,0.8,0.0,1.0,0.2811,0.3065,0.2683,1.0,1.0,8C_2,8C_7,PRIMARY
8CELL,19,0.1027,0.8,1.0,0.1027,0.1027,0.0484,0.1301,1.0,1.0,8C_2,8C_4,MINOR
8CELL,13,0.0703,0.8,0.0,0.0703,0.0703,0.0968,0.0569,1.0,1.0,8C_2,8C_3,MINOR
8CELL,8,0.0432,0.8,0.0,0.0432,0.0432,0.0645,0.0325,1.0,1.0,8C_2,8C_1,MINOR
8CELL,8,0.0432,0.6,0.5,0.0432,0.0432,0.0645,0.0325,1.0,1.0,8C_2,8C_6,MINOR
8CELL,2,0.0108,0.4,0.5,0.0108,0.0108,0.0,0.0163,1.0,1.0,8C_2,8C_0,NEAR_ZERO
