stage,date,n_deviating,deviation_index
PRE_EVENT,2020-06-01,0,
DEVIATION_ONSET,2021-12-16,3,1.825
BREAK_CONFIRMATION,2021-12-19,4,2.301
PEAK_DISTORTION,2022-02-24,5,5.556
EARLY_RECOVERY,2022-03-16,5,2.753
SHAPE_NORMALIZATION,2022-06-08,2,1.86
FULL_SNAPBACK_14D,2022-06-12,1,1.747
RESIDUAL_PERIOD_START,2022-06-12,1,
